,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[175.0, 200.0]","[5.59, 8.99]","[5.79, 9.2]","[5.92, 9.33]","[5.94, 9.35]","[5.84, 9.25]","[5.65, 9.05]","[5.42, 8.82]","[5.21, 8.61]","[5.08, 8.48]","[5.06, 8.47]","[5.16, 8.57]","[5.35, 8.76]"
"[200.0, 225.0]","[5.23, 8.23]","[5.45, 8.44]","[5.57, 8.57]","[5.58, 8.57]","[5.46, 8.45]","[5.25, 8.24]","[5.0, 8.0]","[4.79, 7.78]","[4.66, 7.66]","[4.66, 7.65]","[4.78, 7.77]","[4.99, 7.98]"
"[225.0, 250.0]","[4.87, 7.48]","[5.04, 7.66]","[5.13, 7.75]","[5.11, 7.73]","[4.99, 7.6]","[4.79, 7.41]","[4.58, 7.2]","[4.4, 7.02]","[4.32, 6.93]","[4.34, 6.95]","[4.46, 7.08]","[4.65, 7.27]"
"[250.0, 275.0]","[4.53, 6.7]","[4.69, 6.87]","[4.79, 6.96]","[4.78, 6.96]","[4.69, 6.86]","[4.53, 6.7]","[4.34, 6.51]","[4.18, 6.35]","[4.08, 6.26]","[4.09, 6.26]","[4.18, 6.35]","[4.34, 6.52]"
"[275.0, 300.0]","[4.32, 6.02]","[4.47, 6.17]","[4.57, 6.27]","[4.58, 6.28]","[4.52, 6.22]","[4.39, 6.09]","[4.23, 5.93]","[4.08, 5.78]","[3.98, 5.69]","[3.97, 5.67]","[4.03, 5.73]","[4.16, 5.86]"
"[300.0, 325.0]","[4.19, 5.54]","[4.3, 5.65]","[4.38, 5.73]","[4.4, 5.75]","[4.36, 5.71]","[4.26, 5.61]","[4.14, 5.49]","[4.02, 5.37]","[3.94, 5.29]","[3.92, 5.27]","[3.96, 5.31]","[4.06, 5.41]"
"[325.0, 350.0]","[4.09, 5.17]","[4.19, 5.27]","[4.26, 5.34]","[4.28, 5.36]","[4.25, 5.33]","[4.18, 5.26]","[4.08, 5.16]","[3.98, 5.06]","[3.91, 4.99]","[3.89, 4.97]","[3.92, 5.0]","[3.99, 5.07]"
"[350.0, 375.0]","[4.01, 4.93]","[4.09, 5.01]","[4.15, 5.07]","[4.17, 5.09]","[4.14, 5.06]","[4.08, 5.0]","[3.99, 4.91]","[3.91, 4.83]","[3.85, 4.77]","[3.83, 4.75]","[3.86, 4.78]","[3.92, 4.85]"
"[375.0, 400.0]","[3.92, 4.74]","[3.99, 4.81]","[4.04, 4.86]","[4.06, 4.88]","[4.04, 4.86]","[3.98, 4.8]","[3.91, 4.73]","[3.84, 4.66]","[3.79, 4.61]","[3.77, 4.59]","[3.79, 4.61]","[3.85, 4.67]"
"[400.0, 425.0]","[3.82, 4.58]","[3.89, 4.65]","[3.94, 4.7]","[3.96, 4.72]","[3.94, 4.7]","[3.89, 4.66]","[3.83, 4.59]","[3.76, 4.52]","[3.71, 4.47]","[3.69, 4.45]","[3.7, 4.47]","[3.75, 4.52]"
"[425.0, 450.0]","[3.71, 4.48]","[3.78, 4.54]","[3.82, 4.59]","[3.84, 4.61]","[3.82, 4.59]","[3.78, 4.54]","[3.71, 4.48]","[3.65, 4.42]","[3.6, 4.37]","[3.59, 4.35]","[3.6, 4.37]","[3.65, 4.42]"
"[450.0, 475.0]","[3.62, 4.31]","[3.69, 4.37]","[3.73, 4.42]","[3.76, 4.45]","[3.75, 4.44]","[3.71, 4.4]","[3.65, 4.34]","[3.59, 4.28]","[3.54, 4.23]","[3.52, 4.21]","[3.53, 4.22]","[3.57, 4.26]"
"[475.0, 500.0]","[3.53, 4.18]","[3.59, 4.25]","[3.64, 4.3]","[3.67, 4.32]","[3.66, 4.31]","[3.62, 4.28]","[3.57, 4.22]","[3.51, 4.16]","[3.46, 4.11]","[3.43, 4.09]","[3.44, 4.09]","[3.47, 4.13]"
"[500.0, 550.0]","[3.39, 4.0]","[3.45, 4.05]","[3.5, 4.11]","[3.53, 4.13]","[3.53, 4.13]","[3.5, 4.1]","[3.45, 4.05]","[3.39, 3.99]","[3.34, 3.94]","[3.31, 3.91]","[3.31, 3.92]","[3.34, 3.95]"
"[550.0, 600.0]","[3.23, 3.78]","[3.28, 3.83]","[3.33, 3.88]","[3.36, 3.91]","[3.36, 3.91]","[3.34, 3.89]","[3.3, 3.85]","[3.24, 3.79]","[3.19, 3.75]","[3.17, 3.72]","[3.16, 3.71]","[3.19, 3.74]"
"[600.0, 650.0]","[3.09, 3.59]","[3.14, 3.63]","[3.19, 3.68]","[3.21, 3.7]","[3.22, 3.71]","[3.2, 3.69]","[3.16, 3.65]","[3.12, 3.61]","[3.07, 3.56]","[3.04, 3.53]","[3.04, 3.53]","[3.06, 3.55]"
"[650.0, 700.0]","[2.98, 3.44]","[3.02, 3.48]","[3.06, 3.51]","[3.08, 3.54]","[3.09, 3.54]","[3.07, 3.53]","[3.04, 3.5]","[3.0, 3.46]","[2.97, 3.42]","[2.95, 3.4]","[2.94, 3.39]","[2.95, 3.41]"
"[700.0, 750.0]","[2.92, 3.32]","[2.95, 3.35]","[2.97, 3.37]","[2.99, 3.39]","[2.99, 3.39]","[2.98, 3.38]","[2.96, 3.36]","[2.93, 3.33]","[2.91, 3.31]","[2.89, 3.29]","[2.89, 3.29]","[2.9, 3.3]"
"[750.0, 800.0]","[2.87, 3.23]","[2.89, 3.25]","[2.91, 3.26]","[2.92, 3.27]","[2.92, 3.27]","[2.91, 3.27]","[2.9, 3.25]","[2.88, 3.23]","[2.86, 3.21]","[2.85, 3.2]","[2.85, 3.2]","[2.86, 3.21]"
"[800.0, 850.0]","[2.85, 3.14]","[2.87, 3.16]","[2.88, 3.17]","[2.89, 3.18]","[2.89, 3.18]","[2.89, 3.17]","[2.87, 3.16]","[2.86, 3.14]","[2.84, 3.13]","[2.83, 3.12]","[2.83, 3.12]","[2.84, 3.13]"
"[850.0, 900.0]","[2.84, 3.07]","[2.86, 3.09]","[2.87, 3.1]","[2.88, 3.11]","[2.88, 3.11]","[2.87, 3.11]","[2.86, 3.09]","[2.85, 3.08]","[2.83, 3.06]","[2.82, 3.05]","[2.82, 3.05]","[2.83, 3.06]"
"[900.0, 950.0]","[2.83, 3.02]","[2.84, 3.04]","[2.85, 3.05]","[2.86, 3.06]","[2.86, 3.06]","[2.86, 3.05]","[2.84, 3.04]","[2.83, 3.03]","[2.82, 3.01]","[2.81, 3.0]","[2.81, 3.0]","[2.81, 3.01]"
"[950.0, 1000.0]","[2.81, 2.98]","[2.82, 2.99]","[2.83, 3.01]","[2.84, 3.01]","[2.84, 3.01]","[2.83, 3.01]","[2.82, 3.0]","[2.81, 2.98]","[2.8, 2.97]","[2.79, 2.96]","[2.79, 2.96]","[2.8, 2.97]"
"[1000.0, 1050.0]","[2.78, 2.94]","[2.79, 2.95]","[2.8, 2.96]","[2.81, 2.97]","[2.81, 2.97]","[2.81, 2.97]","[2.79, 2.96]","[2.78, 2.94]","[2.77, 2.93]","[2.76, 2.92]","[2.76, 2.92]","[2.77, 2.93]"
"[1050.0, 1100.0]","[2.76, 2.9]","[2.77, 2.91]","[2.78, 2.92]","[2.78, 2.93]","[2.78, 2.93]","[2.78, 2.93]","[2.77, 2.92]","[2.76, 2.9]","[2.75, 2.89]","[2.74, 2.89]","[2.74, 2.89]","[2.75, 2.89]"
"[1100.0, 1150.0]","[2.74, 2.87]","[2.74, 2.88]","[2.75, 2.89]","[2.76, 2.89]","[2.76, 2.89]","[2.75, 2.89]","[2.74, 2.88]","[2.73, 2.87]","[2.73, 2.86]","[2.72, 2.86]","[2.72, 2.86]","[2.73, 2.86]"
"[1150.0, 1200.0]","[2.72, 2.84]","[2.72, 2.85]","[2.73, 2.86]","[2.74, 2.86]","[2.74, 2.86]","[2.73, 2.86]","[2.72, 2.85]","[2.72, 2.84]","[2.71, 2.83]","[2.7, 2.83]","[2.7, 2.83]","[2.71, 2.83]"
"[1200.0, 1250.0]","[2.7, 2.82]","[2.71, 2.82]","[2.71, 2.83]","[2.72, 2.84]","[2.72, 2.84]","[2.72, 2.83]","[2.71, 2.83]","[2.7, 2.82]","[2.69, 2.81]","[2.69, 2.8]","[2.69, 2.8]","[2.69, 2.81]"
"[1250.0, 1300.0]","[2.68, 2.8]","[2.69, 2.81]","[2.69, 2.82]","[2.7, 2.82]","[2.7, 2.82]","[2.69, 2.82]","[2.68, 2.81]","[2.68, 2.8]","[2.67, 2.8]","[2.66, 2.79]","[2.66, 2.79]","[2.67, 2.8]"
"[1300.0, 1350.0]","[2.67, 2.8]","[2.67, 2.8]","[2.68, 2.81]","[2.68, 2.81]","[2.68, 2.81]","[2.68, 2.81]","[2.67, 2.8]","[2.66, 2.79]","[2.66, 2.79]","[2.65, 2.78]","[2.65, 2.78]","[2.66, 2.79]"
"[1350.0, 1400.0]","[2.66, 2.78]","[2.67, 2.79]","[2.67, 2.79]","[2.68, 2.8]","[2.68, 2.8]","[2.68, 2.8]","[2.67, 2.8]","[2.67, 2.79]","[2.66, 2.79]","[2.66, 2.78]","[2.66, 2.78]","[2.66, 2.78]"
"[1400.0, 1450.0]","[2.65, 2.78]","[2.65, 2.79]","[2.66, 2.79]","[2.66, 2.8]","[2.67, 2.8]","[2.67, 2.8]","[2.67, 2.8]","[2.66, 2.8]","[2.66, 2.79]","[2.65, 2.79]","[2.65, 2.78]","[2.65, 2.78]"
"[1450.0, 1500.0]","[2.63, 2.78]","[2.64, 2.79]","[2.64, 2.79]","[2.65, 2.8]","[2.65, 2.8]","[2.66, 2.81]","[2.65, 2.8]","[2.65, 2.8]","[2.64, 2.79]","[2.64, 2.79]","[2.63, 2.78]","[2.63, 2.78]"
"[1500.0, 1550.0]","[2.62, 2.78]","[2.62, 2.79]","[2.63, 2.79]","[2.64, 2.8]","[2.64, 2.8]","[2.64, 2.81]","[2.64, 2.81]","[2.64, 2.8]","[2.63, 2.79]","[2.62, 2.79]","[2.62, 2.78]","[2.61, 2.78]"
"[1550.0, 1600.0]","[2.61, 2.78]","[2.62, 2.78]","[2.62, 2.79]","[2.63, 2.79]","[2.64, 2.8]","[2.64, 2.8]","[2.64, 2.8]","[2.64, 2.8]","[2.63, 2.79]","[2.62, 2.79]","[2.62, 2.78]","[2.61, 2.78]"
"[1600.0, 1650.0]","[2.61, 2.77]","[2.61, 2.77]","[2.62, 2.78]","[2.63, 2.79]","[2.64, 2.8]","[2.64, 2.81]","[2.64, 2.8]","[2.64, 2.8]","[2.63, 2.79]","[2.62, 2.78]","[2.61, 2.77]","[2.6, 2.77]"
"[1650.0, 1700.0]","[2.59, 2.77]","[2.6, 2.78]","[2.61, 2.79]","[2.62, 2.8]","[2.63, 2.81]","[2.64, 2.81]","[2.64, 2.81]","[2.63, 2.81]","[2.62, 2.8]","[2.61, 2.79]","[2.6, 2.78]","[2.59, 2.77]"
"[1700.0, 1750.0]","[2.58, 2.77]","[2.59, 2.78]","[2.6, 2.79]","[2.61, 2.8]","[2.62, 2.82]","[2.63, 2.82]","[2.63, 2.83]","[2.63, 2.82]","[2.62, 2.81]","[2.6, 2.8]","[2.59, 2.78]","[2.58, 2.78]"
"[1750.0, 1800.0]","[2.58, 2.78]","[2.59, 2.79]","[2.6, 2.8]","[2.61, 2.81]","[2.62, 2.82]","[2.62, 2.83]","[2.62, 2.83]","[2.62, 2.82]","[2.61, 2.81]","[2.59, 2.8]","[2.58, 2.79]","[2.58, 2.78]"
"[1800.0, 1850.0]","[2.57, 2.79]","[2.58, 2.79]","[2.59, 2.8]","[2.6, 2.81]","[2.61, 2.82]","[2.61, 2.83]","[2.61, 2.83]","[2.6, 2.82]","[2.59, 2.81]","[2.58, 2.8]","[2.57, 2.79]","[2.57, 2.78]"
"[1850.0, 1900.0]","[2.56, 2.79]","[2.57, 2.79]","[2.58, 2.8]","[2.59, 2.81]","[2.6, 2.82]","[2.6, 2.82]","[2.6, 2.82]","[2.59, 2.82]","[2.58, 2.81]","[2.57, 2.8]","[2.56, 2.79]","[2.56, 2.79]"
"[1900.0, 1950.0]","[2.55, 2.78]","[2.56, 2.79]","[2.57, 2.8]","[2.57, 2.81]","[2.58, 2.82]","[2.58, 2.82]","[2.58, 2.81]","[2.57, 2.81]","[2.56, 2.8]","[2.55, 2.79]","[2.55, 2.78]","[2.54, 2.78]"
"[1950.0, 2000.0]","[2.52, 2.77]","[2.53, 2.78]","[2.55, 2.79]","[2.55, 2.8]","[2.56, 2.81]","[2.56, 2.81]","[2.55, 2.8]","[2.54, 2.79]","[2.53, 2.78]","[2.52, 2.77]","[2.52, 2.77]","[2.52, 2.77]"
"[2000.0, 2100.0]","[2.49, 2.75]","[2.5, 2.76]","[2.51, 2.77]","[2.52, 2.77]","[2.52, 2.78]","[2.52, 2.77]","[2.51, 2.77]","[2.5, 2.76]","[2.49, 2.75]","[2.49, 2.74]","[2.48, 2.74]","[2.49, 2.74]"
"[2100.0, 2200.0]","[2.43, 2.71]","[2.45, 2.72]","[2.45, 2.73]","[2.46, 2.73]","[2.46, 2.73]","[2.45, 2.73]","[2.44, 2.72]","[2.43, 2.71]","[2.42, 2.7]","[2.42, 2.69]","[2.42, 2.7]","[2.43, 2.7]"
