,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[6,7]","[32.392087,32.634837]","[32.661907,32.757282]","[32.290409,32.883304]","[31.408878,32.555244]","[29.730451,32.594303]","[29.155347,32.141908]","[29.898335,31.650753]","[30.963064,31.839483]","[31.562005,32.557386]","[32.320971,32.433654]","[32.176244,32.572025]","[30.784323,33.920078]"
"[7,8]","[32.311039,32.576245]","[32.627229,32.727725]","[32.354004,32.951507]","[31.593467,32.691156]","[30.584197,32.124200]","[29.245818,32.363504]","[29.988706,31.760769]","[30.597462,32.351278]","[31.438252,32.837384]","[32.386961,32.520079]","[32.172345,32.643987]","[30.646607,33.991347]"
"[8,9]","[32.291748,32.577641]","[32.617585,32.719339]","[32.377828,32.955106]","[31.630282,32.750985]","[30.464319,32.390601]","[29.243812,32.514281]","[30.298248,31.563654]","[30.492680,32.527852]","[31.450223,32.878090]","[32.320688,32.636918]","[32.183206,32.674582]","[30.707713,33.943110]"
"[9,10]","[32.298530,32.587035]","[32.616053,32.719158]","[32.380814,32.949544]","[31.662046,32.749040]","[30.565382,32.375128]","[29.218302,32.672385]","[30.376248,31.627890]","[30.491418,32.642249]","[31.429657,32.968942]","[32.266695,32.732081]","[32.197032,32.693145]","[30.845729,33.834192]"
"[10,11]","[32.340542,32.632766]","[32.642876,32.746915]","[32.380934,32.935662]","[31.646928,32.741938]","[30.677805,32.332473]","[29.157217,32.932562]","[30.532713,31.725772]","[30.851833,32.464268]","[31.414148,33.025533]","[32.213779,32.729916]","[32.258594,32.589591]","[31.588210,33.130090]"
"[11,12]","[32.301501,32.646404]","[32.637634,32.741800]","[32.386482,32.921022]","[31.660203,32.744549]","[30.753640,32.334099]","[29.602200,32.628457]","[30.641975,31.767818]","[30.855921,32.546561]","[31.603540,32.817893]","[32.235760,32.611226]","[32.120425,32.619355]","[31.446598,33.203244]"
"[12,13]","[31.263602,32.917356]","[32.356921,32.498611]","[32.326410,32.855791]","[32.034879,32.575278]","[30.536536,32.881028]","[29.692085,32.820057]","[30.750652,31.849125]","[31.155620,32.376482]","[31.457833,33.013302]","[32.138584,32.563400]","[31.878348,32.409331]","[31.271529,32.655870]"
"[13,14]","[31.458856,33.229967]","[32.560322,32.709396]","[31.995365,33.244479]","[31.861832,32.469837]","[29.414693,33.667316]","[29.618639,32.776075]","[30.805574,31.923905]","[31.177753,32.525379]","[31.443345,33.042437]","[32.081651,32.510531]","[31.967709,32.319584]","[31.140488,33.081325]"
"[14,15]","[31.509073,33.352669]","[32.683019,32.797915]","[32.287179,33.152672]","[31.969456,32.578501]","[29.738691,33.625770]","[29.355675,33.372572]","[30.981222,32.030111]","[31.375876,32.441764]","[31.430928,32.978422]","[31.814930,32.611441]","[31.874089,32.310278]","[31.351813,32.918142]"
"[15,16]","[31.404412,33.418310]","[32.624504,32.812359]","[32.271189,33.165209]","[31.999819,32.620447]","[29.945325,33.575402]","[29.506433,33.440735]","[31.056129,32.198331]","[31.395709,32.650978]","[31.605465,32.991339]","[31.780922,32.775302]","[31.909876,32.339519]","[31.267500,33.005801]"
"[16,17]","[31.398732,33.455200]","[32.607223,32.817512]","[32.255605,33.174054]","[32.086567,32.609016]","[30.080961,33.629472]","[29.824572,33.376645]","[31.177633,32.298548]","[31.483742,32.686675]","[31.608126,33.026740]","[31.809600,32.763679]","[31.917642,32.375749]","[31.306153,33.027079]"
"[17,18]","[31.438761,33.433612]","[32.602054,32.819305]","[32.274487,33.165637]","[32.140168,32.628932]","[30.213826,33.648999]","[30.074446,33.318969]","[30.871864,32.769326]","[31.544781,32.720238]","[31.635472,33.032997]","[31.837648,32.751246]","[31.921938,32.400415]","[31.281091,33.088457]"
"[18,19]","[31.457919,33.400266]","[32.589484,32.812773]","[32.288053,33.171585]","[32.201282,32.644331]","[30.331718,33.638533]","[30.296719,33.186272]","[30.016050,33.667686]","[31.508801,32.764354]","[31.655299,33.023126]","[31.850157,32.771457]","[31.937819,32.425668]","[31.255097,33.132997]"
"[19,20]","[31.465347,33.368465]","[32.579120,32.802451]","[32.314756,33.178419]","[32.259782,32.673744]","[30.438170,33.619451]","[30.467687,33.042700]","[29.293502,34.350142]","[31.506787,32.709863]","[31.639658,33.025980]","[31.876034,32.789079]","[31.954383,32.465869]","[31.235189,33.171706]"
"[20,21]","[31.476205,33.351469]","[32.564476,32.784749]","[32.317170,33.178047]","[32.308139,32.693018]","[30.552802,33.612158]","[30.656599,32.944985]","[29.183000,34.504357]","[31.560424,32.673344]","[31.652912,33.050592]","[31.997986,32.747343]","[32.011773,32.501791]","[31.256393,33.204819]"
"[21,22]","[31.466023,33.343988]","[32.556875,32.776755]","[32.322881,33.180635]","[32.344626,32.703696]","[30.651519,33.593081]","[30.805943,32.882180]","[29.118072,34.635755]","[31.541549,32.727971]","[31.646719,33.069891]","[31.960332,32.789135]","[31.986620,32.527257]","[31.173323,33.280055]"
"[22,23]","[31.482482,33.339994]","[32.549037,32.769791]","[32.325133,33.172952]","[32.370842,32.717427]","[30.781034,33.550058]","[30.952741,32.832552]","[29.122711,34.698354]","[31.611043,32.685876]","[31.572071,33.157427]","[31.930778,32.848166]","[31.954464,32.609451]","[31.002003,33.495875]"
"[23,24]","[31.509774,33.360582]","[32.547684,32.770891]","[32.309877,33.153643]","[32.357938,32.720474]","[30.850009,33.549426]","[31.118814,32.810638]","[29.402075,34.580262]","[31.708720,32.702206]","[31.611411,33.168035]","[31.950023,32.851187]","[31.977114,32.626267]","[30.908292,33.651607]"
"[24,25]","[31.525855,33.371598]","[32.538763,32.770328]","[32.286825,33.150462]","[32.359252,32.714773]","[30.845838,33.595229]","[31.192642,32.813459]","[29.414381,34.644959]","[31.754846,32.707249]","[31.648577,33.159783]","[31.961888,32.869802]","[31.982926,32.667329]","[30.932597,33.678164]"
"[25,26]","[31.511966,33.392568]","[32.536177,32.755885]","[32.282082,33.142009]","[32.405478,32.707270]","[31.232403,33.324613]","[31.364392,32.809464]","[29.804782,34.413648]","[31.824496,32.738741]","[31.674491,33.173343]","[31.974144,32.869322]","[31.993589,32.673274]","[30.992282,33.641116]"
"[26,27]","[31.446901,33.434028]","[32.524880,32.752492]","[32.288618,33.151211]","[32.466886,32.679913]","[31.113194,33.462306]","[31.467167,32.688518]","[29.468556,34.709259]","[31.839224,32.698033]","[31.686175,33.174851]","[31.996999,32.887398]","[31.984073,32.715738]","[30.992226,33.641172]"
"[27,28]","[31.604115,33.333387]","[32.551447,32.774177]","[32.338194,33.133330]","[32.479060,32.687271]","[31.111875,33.483847]","[31.506821,32.679456]","[29.440863,34.776621]","[31.891586,32.685495]","[31.683190,33.211838]","[32.003543,32.912811]","[31.995260,32.743984]","[30.968853,33.715988]"
"[28,29]","[31.568580,33.323848]","[32.543193,32.763931]","[32.348148,33.162801]","[32.511667,32.709313]","[31.139394,33.447946]","[31.489641,32.590903]","[28.900053,35.164640]","[31.856233,32.615377]","[31.675932,33.215597]","[32.057326,32.926301]","[31.979798,32.815855]","[30.926367,33.752339]"
"[29,30]","[31.538056,33.328839]","[32.531474,32.752655]","[32.347643,33.164562]","[32.531433,32.712583]","[31.179598,33.429692]","[31.519624,32.562342]","[28.994231,35.055102]","[31.867926,32.594340]","[31.679022,33.227236]","[32.074782,32.941566]","[31.969807,32.851098]","[30.883379,33.792784]"
"[30,31]","[31.579599,33.352369]","[32.537053,32.762819]","[32.317453,33.136138]","[32.514684,32.672430]","[31.226645,33.443739]","[31.667397,32.637828]","[29.685315,34.668988]","[32.002177,32.703749]","[31.714338,33.288174]","[32.067858,32.931910]","[31.912668,32.884302]","[30.918729,33.793094]"
"[31,32]","[31.592350,33.344652]","[32.537674,32.764343]","[32.328216,33.132903]","[32.524977,32.674316]","[31.251114,33.427524]","[31.682907,32.620089]","[29.488612,34.856800]","[31.970990,32.731582]","[31.711906,33.302538]","[32.081862,32.943210]","[31.948333,32.875220]","[30.936866,33.791353]"
"[32,33]","[31.595715,33.335120]","[32.535849,32.761342]","[32.325495,33.139567]","[32.530351,32.682498]","[31.275122,33.422387]","[31.718609,32.604515]","[29.469601,34.897026]","[31.990769,32.736218]","[31.738276,33.303370]","[32.100394,32.949282]","[31.933974,32.904327]","[30.870637,33.859518]"
