,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[6,7]","[10.410100,11.474269]","[9.394723,11.326101]","[9.365937,11.101038]","[9.982660,11.946650]","[11.005585,14.564400]","[14.140063,16.388940]","[16.570176,18.168951]","[16.756591,19.461679]","[16.525750,17.928831]","[15.213492,15.445617]","[11.778573,14.924262]","[10.892098,12.869259]"
"[7,8]","[10.437630,11.584344]","[9.410402,11.380315]","[9.355736,11.086491]","[9.964111,11.892595]","[11.853443,13.634720]","[14.059863,16.349887]","[16.294788,18.221120]","[15.962959,19.910421]","[15.619855,18.452377]","[14.601575,15.780329]","[11.612506,15.011728]","[10.794108,13.058176]"
"[8,9]","[10.453204,11.658173]","[9.445233,11.367932]","[9.358223,11.054366]","[9.932070,11.879970]","[11.732293,13.687129]","[13.892398,16.363571]","[16.317277,17.913398]","[15.411782,20.083854]","[15.055214,18.668863]","[14.319380,15.866362]","[11.524892,15.086720]","[10.827890,13.119311]"
"[9,10]","[10.484609,11.678524]","[9.441545,11.369649]","[9.338574,11.044264]","[9.927956,11.860591]","[11.731085,13.653339]","[13.674281,16.469729]","[16.047714,17.948558]","[15.107796,20.068444]","[14.367549,19.063139]","[14.212330,15.810712]","[11.515175,15.083961]","[10.803662,13.209796]"
"[10,11]","[10.327192,11.529751]","[9.300471,11.225287]","[9.333949,11.023536]","[10.017120,11.954684]","[11.744534,13.709739]","[13.257568,16.557719]","[15.675223,17.636498]","[15.276548,19.212047]","[13.564060,19.522990]","[14.019742,16.037480]","[12.285033,14.444030]","[11.359300,12.578568]"
"[11,12]","[10.265959,11.595333]","[9.255668,11.159057]","[9.293396,10.986865]","[10.016096,11.948732]","[11.702402,13.726314]","[13.592601,16.091950]","[15.564327,17.556764]","[14.928836,19.477011]","[14.270129,18.983668]","[12.933289,17.511240]","[12.101762,15.040690]","[10.605813,13.567316]"
"[12,13]","[10.474818,11.483782]","[9.689479,11.403252]","[9.781834,11.439661]","[10.435040,12.147824]","[11.481908,13.885351]","[12.473732,16.637593]","[14.251803,18.287566]","[15.229335,18.948317]","[13.683139,19.621336]","[12.849362,17.576917]","[11.984379,14.885091]","[10.905850,12.963968]"
"[13,14]","[10.327539,11.516217]","[10.089715,11.036056]","[10.211576,11.261969]","[10.475647,12.460584]","[11.011458,14.552301]","[12.492589,16.459014]","[13.826145,18.223507]","[14.475232,19.110699]","[13.336966,19.512313]","[12.579807,17.599613]","[12.394471,14.339127]","[10.612587,13.122045]"
"[14,15]","[10.336297,11.398832]","[9.822007,10.876888]","[10.153628,10.881363]","[10.314152,12.366104]","[10.865457,14.454358]","[11.402487,16.942985]","[13.339003,17.580607]","[14.064820,18.161696]","[12.576276,19.240661]","[13.031043,16.796471]","[11.725137,15.192145]","[10.949102,13.016006]"
"[15,16]","[10.308065,11.577220]","[9.708990,11.147472]","[9.964727,11.085256]","[10.218209,12.326557]","[10.863743,14.251430]","[11.197566,16.919014]","[13.000860,17.613130]","[13.056922,18.706412]","[12.321708,18.890825]","[12.111135,17.128814]","[11.711500,14.837519]","[10.879946,13.024945]"
"[16,17]","[10.315518,11.609866]","[9.627504,11.268164]","[9.928323,11.158737]","[10.259963,12.260218]","[10.802634,14.097869]","[10.843437,16.764357]","[11.924503,17.920231]","[12.259286,18.663175]","[11.779563,18.755063]","[11.754613,17.102438]","[11.565119,14.863599]","[10.837928,13.079942]"
"[17,18]","[10.332520,11.606750]","[9.603617,11.312101]","[9.951039,11.152267]","[10.250510,12.223260]","[10.733169,13.958897]","[10.630457,16.543512]","[11.256028,17.976426]","[11.546612,18.737170]","[11.480050,18.556034]","[11.414949,17.162784]","[11.497888,14.833772]","[10.822838,13.087030]"
"[18,19]","[10.334408,11.602693]","[9.595207,11.306457]","[9.968535,11.138954]","[10.256156,12.189885]","[10.661805,13.845533]","[10.446422,16.294695]","[10.488390,18.113831]","[10.378995,19.264296]","[11.189274,18.394037]","[11.154836,17.230134]","[11.512910,14.805131]","[10.828226,13.110192]"
"[19,20]","[10.350112,11.610076]","[9.596022,11.304350]","[9.962265,11.112503]","[10.229777,12.135713]","[10.615428,13.704732]","[10.366661,16.012995]","[9.930414,18.132883]","[10.085913,18.940569]","[11.082368,17.964129]","[10.756377,17.290439]","[11.476084,14.712694]","[10.838861,13.096010]"
"[20,21]","[10.335303,11.588993]","[9.589158,11.314594]","[9.981389,11.111763]","[10.226653,12.093958]","[10.530863,13.577627]","[10.294664,15.655458]","[9.509799,17.963379]","[9.549190,18.869108]","[10.894524,17.665322]","[11.411873,16.326885]","[11.783760,14.242542]","[10.801042,13.052681]"
"[21,22]","[10.334407,11.595357]","[9.607607,11.326400]","[10.001792,11.118862]","[10.219366,12.048193]","[10.459810,13.434146]","[10.236145,15.326588]","[9.371120,17.627758]","[9.515658,18.475374]","[10.815517,17.459149]","[10.540093,17.061553]","[11.154296,14.824558]","[10.794365,13.045430]"
"[22,23]","[10.317070,11.577036]","[9.608376,11.319437]","[10.019738,11.132131]","[10.219515,12.004837]","[10.374714,13.270246]","[10.171916,14.930086]","[9.179057,17.307893]","[9.413184,18.228455]","[10.755254,17.432459]","[10.495305,17.201659]","[11.092254,14.995706]","[10.773440,13.087348]"
"[23,24]","[10.330007,11.582072]","[9.633861,11.340658]","[10.051314,11.135097]","[10.213496,11.957970]","[10.326799,13.109053]","[10.204037,14.526358]","[9.100511,16.927227]","[8.919994,18.290153]","[10.592946,17.278230]","[10.243733,17.270459]","[11.041118,14.963840]","[10.764793,13.072700]"
"[24,25]","[10.331010,11.589970]","[9.657406,11.357857]","[10.056350,11.128132]","[10.186217,11.868704]","[10.222348,12.950349]","[10.188775,14.157249]","[8.778508,16.810371]","[8.822395,17.966496]","[10.492697,17.024102]","[9.941770,17.307419]","[10.971382,14.865734]","[10.710131,13.056533]"
"[25,26]","[10.309284,11.552005]","[9.630372,11.343575]","[10.085769,11.150370]","[10.130280,12.015168]","[10.235165,12.897347]","[10.134910,13.904389]","[9.100677,15.954320]","[8.621225,17.611939]","[10.475831,16.675832]","[9.885689,17.246530]","[11.047217,14.807111]","[10.677203,13.089649]"
"[26,27]","[10.342240,11.602450]","[9.665638,11.340696]","[10.065547,11.106136]","[10.193128,11.805169]","[10.163503,12.770915]","[10.184225,13.612858]","[8.665132,16.088143]","[8.662862,17.214189]","[10.327261,16.472165]","[9.747563,17.127554]","[10.903715,14.849861]","[10.692350,13.110837]"
"[27,28]","[10.373772,11.609447]","[9.651714,11.372195]","[10.053184,11.088222]","[10.164936,11.757624]","[10.096957,12.701923]","[10.161969,13.396073]","[8.688772,15.689525]","[8.615032,16.784004]","[10.190799,16.133472]","[9.562667,16.961750]","[10.860649,14.726017]","[10.711142,13.073631]"
"[28,29]","[10.353333,11.626725]","[9.637720,11.361595]","[10.069361,11.039717]","[10.166946,11.709161]","[10.063216,12.628420]","[10.155886,13.181849]","[8.594287,15.450825]","[8.578539,16.448928]","[9.957494,16.063495]","[9.516998,16.838636]","[10.922858,14.615636]","[10.699490,13.089619]"
"[29,30]","[10.391213,11.639847]","[9.680890,11.359481]","[10.058399,11.034474]","[10.153896,11.653641]","[10.030187,12.560052]","[10.163372,13.032215]","[8.698000,15.130343]","[8.679540,16.042046]","[9.846098,15.825545]","[9.476585,16.580398]","[10.817827,14.553899]","[10.713603,13.050215]"
"[30,31]","[10.383136,11.624023]","[9.669610,11.349704]","[10.066977,11.032102]","[10.173160,11.634679]","[9.998209,12.481948]","[10.089265,12.788338]","[8.613477,14.697447]","[8.598073,15.541465]","[9.751025,15.448678]","[9.443464,16.346640]","[10.769496,14.507522]","[10.677197,13.062445]"
"[31,32]","[10.376537,11.623279]","[9.655300,11.367698]","[10.071213,11.033380]","[10.175455,11.605708]","[9.946341,12.417171]","[9.987103,12.642166]","[8.695524,14.253276]","[8.594683,15.149714]","[9.694480,15.174731]","[9.348773,16.231499]","[10.731009,14.448136]","[10.657694,13.049284]"
"[32,33]","[10.367110,11.640584]","[9.662198,11.366042]","[10.067146,11.030484]","[10.164231,11.573922]","[9.908304,12.337817]","[9.958374,12.454109]","[8.685786,13.965995]","[8.675965,14.755992]","[9.539423,15.077481]","[9.255395,16.174601]","[10.720631,14.400675]","[10.632600,13.068008]"
"[33,34]","[10.411321,11.625801]","[9.692784,11.397391]","[10.077949,11.016686]","[10.119327,11.518469]","[9.862711,12.233833]","[9.994648,12.287247]","[8.811677,13.744024]","[8.502295,14.819872]","[9.535850,14.906132]","[9.292481,15.911097]","[10.677962,14.247350]","[10.630901,12.984784]"
"[34,35]","[10.433072,11.610750]","[9.683542,11.392956]","[10.058288,10.993250]","[10.058205,11.526974]","[9.847709,12.165835]","[9.932935,12.158481]","[8.891130,13.297251]","[8.336428,14.462918]","[9.217804,14.673235]","[9.378049,15.402441]","[10.467578,14.240906]","[10.580708,12.983171]"
