,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[32.53, 32.78]","[32.64, 32.79]","[31.98, 32.90]","[30.96, 32.86]","[30.17, 32.77]","[29.07, 33.75]","[31.10, 32.39]","[31.20, 33.18]","[32.27, 32.61]","[31.77, 33.11]","[31.99, 32.77]","[32.35, 32.57]"
"[7, 8]","[32.53, 32.79]","[32.63, 32.79]","[31.97, 32.90]","[31.02, 32.85]","[30.26, 32.79]","[29.30, 33.65]","[31.22, 32.37]","[31.28, 33.15]","[32.24, 32.65]","[31.71, 33.17]","[31.97, 32.82]","[32.34, 32.62]"
"[8, 9]","[32.54, 32.78]","[32.61, 32.78]","[31.98, 32.88]","[31.06, 32.85]","[30.34, 32.80]","[29.46, 33.58]","[31.29, 32.33]","[31.32, 33.07]","[32.19, 32.64]","[31.69, 33.17]","[31.96, 32.85]","[32.34, 32.64]"
"[9, 10]","[32.55, 32.78]","[32.61, 32.78]","[32.00, 32.87]","[31.12, 32.84]","[30.43, 32.79]","[29.68, 33.47]","[31.38, 32.33]","[31.40, 33.04]","[32.18, 32.67]","[31.68, 33.19]","[31.95, 32.87]","[32.35, 32.64]"
"[10, 11]","[32.55, 32.78]","[32.60, 32.77]","[32.02, 32.85]","[31.15, 32.85]","[30.51, 32.80]","[29.90, 33.36]","[31.45, 32.36]","[31.48, 33.02]","[32.19, 32.68]","[31.68, 33.19]","[31.93, 32.90]","[32.36, 32.65]"
"[11, 12]","[32.54, 32.77]","[32.59, 32.77]","[32.03, 32.84]","[31.19, 32.85]","[30.57, 32.82]","[30.05, 33.31]","[31.49, 32.41]","[31.57, 32.99]","[32.20, 32.70]","[31.65, 33.24]","[31.93, 32.91]","[32.35, 32.67]"
"[12, 13]","[32.46, 32.71]","[32.51, 32.71]","[32.00, 32.80]","[31.22, 32.84]","[30.66, 32.83]","[30.18, 33.29]","[31.53, 32.45]","[31.71, 32.90]","[32.21, 32.73]","[31.64, 33.28]","[31.90, 32.92]","[32.30, 32.62]"
"[13, 14]","[32.32, 32.69]","[32.39, 32.78]","[32.22, 33.07]","[31.45, 33.73]","[30.58, 34.22]","[30.70, 33.71]","[31.67, 32.59]","[31.64, 32.82]","[32.15, 32.66]","[31.67, 33.38]","[32.03, 33.04]","[32.25, 32.74]"
"[14, 15]","[32.15, 32.83]","[32.18, 33.05]","[32.00, 33.43]","[31.00, 34.33]","[29.47, 35.43]","[30.98, 33.45]","[31.66, 32.63]","[31.70, 32.85]","[32.17, 32.80]","[31.71, 33.48]","[32.05, 33.07]","[32.13, 32.84]"
"[15, 16]","[32.12, 32.89]","[32.09, 33.16]","[31.84, 33.61]","[30.88, 34.47]","[29.37, 35.57]","[31.11, 33.38]","[31.73, 32.58]","[31.63, 32.87]","[32.03, 32.80]","[31.62, 33.42]","[31.93, 33.08]","[32.04, 32.89]"
"[16, 17]","[32.08, 32.89]","[32.00, 33.22]","[31.70, 33.76]","[30.97, 34.44]","[29.51, 35.53]","[31.15, 33.44]","[31.80, 32.58]","[31.53, 32.99]","[31.96, 32.88]","[31.66, 33.38]","[31.95, 33.06]","[32.02, 32.90]"
"[17, 18]","[32.06, 32.93]","[31.97, 33.26]","[31.71, 33.76]","[31.00, 34.44]","[29.68, 35.41]","[31.25, 33.42]","[31.84, 32.62]","[31.51, 33.08]","[31.83, 33.06]","[31.62, 33.45]","[32.00, 33.03]","[32.02, 32.91]"
"[18, 19]","[32.05, 32.95]","[31.96, 33.27]","[31.71, 33.76]","[31.03, 34.43]","[29.78, 35.37]","[31.40, 33.34]","[31.85, 32.68]","[31.57, 33.07]","[31.49, 33.43]","[31.57, 33.52]","[31.94, 33.12]","[32.02, 32.94]"
