,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[10.29, 12.02]","[9.19, 11.73]","[9.95, 10.96]","[10.18, 12.31]","[10.26, 14.81]","[11.11, 16.53]","[10.37, 18.93]","[9.27, 20.50]","[8.38, 20.86]","[9.73, 18.34]","[10.45, 15.96]","[11.33, 13.05]"
"[7, 8]","[10.34, 11.90]","[9.22, 11.75]","[9.98, 11.03]","[10.21, 12.30]","[10.25, 14.67]","[11.18, 16.15]","[9.92, 19.05]","[9.08, 20.44]","[8.81, 20.28]","[9.23, 18.73]","[10.44, 15.83]","[11.24, 12.99]"
"[8, 9]","[10.38, 11.82]","[9.19, 11.74]","[9.96, 11.07]","[10.23, 12.30]","[10.26, 14.57]","[11.17, 15.89]","[9.37, 19.19]","[8.93, 20.21]","[9.07, 19.81]","[9.21, 18.70]","[10.55, 15.76]","[11.25, 12.99]"
"[9, 10]","[10.39, 11.80]","[9.18, 11.74]","[9.97, 11.08]","[10.25, 12.27]","[10.24, 14.46]","[11.14, 15.60]","[8.90, 19.22]","[8.76, 19.93]","[8.99, 19.60]","[9.11, 18.69]","[10.57, 15.73]","[11.30, 12.95]"
"[10, 11]","[10.37, 11.77]","[9.16, 11.73]","[9.99, 11.08]","[10.27, 12.27]","[10.24, 14.35]","[11.05, 15.36]","[8.34, 19.28]","[8.54, 19.67]","[8.76, 19.52]","[9.12, 18.59]","[10.59, 15.74]","[11.29, 12.97]"
"[11, 12]","[10.44, 11.83]","[9.25, 11.82]","[10.09, 11.16]","[10.32, 12.29]","[10.18, 14.26]","[10.92, 15.09]","[7.80, 19.25]","[8.38, 19.25]","[8.57, 19.26]","[8.88, 18.57]","[10.59, 15.65]","[11.32, 12.98]"
"[12, 13]","[10.46, 11.83]","[9.39, 11.98]","[10.36, 11.47]","[10.64, 12.57]","[10.29, 14.35]","[10.75, 14.89]","[7.22, 19.08]","[8.55, 18.37]","[8.40, 19.05]","[8.75, 18.63]","[10.55, 15.69]","[11.31, 12.94]"
"[13, 14]","[10.48, 11.84]","[9.39, 12.01]","[9.94, 11.95]","[10.50, 12.72]","[10.27, 14.25]","[10.57, 14.78]","[6.87, 19.00]","[8.25, 18.25]","[8.30, 18.85]","[8.60, 18.64]","[10.60, 15.63]","[11.31, 12.96]"
"[14, 15]","[10.66, 11.98]","[9.35, 11.93]","[9.17, 12.30]","[10.20, 12.83]","[10.55, 14.34]","[10.84, 15.18]","[7.04, 19.20]","[8.21, 17.95]","[8.15, 18.16]","[8.04, 18.49]","[10.54, 15.58]","[11.45, 13.19]"
"[15, 16]","[10.74, 11.98]","[9.45, 11.86]","[9.10, 12.41]","[10.26, 12.77]","[10.74, 14.01]","[10.91, 14.83]","[6.79, 19.18]","[8.46, 17.63]","[8.75, 17.78]","[8.21, 18.75]","[10.54, 15.99]","[11.55, 13.34]"
"[16, 17]","[10.73, 11.74]","[9.66, 11.70]","[9.24, 12.34]","[10.19, 12.67]","[10.72, 13.64]","[10.49, 14.89]","[7.52, 18.32]","[8.65, 17.46]","[9.10, 17.32]","[8.17, 18.35]","[10.47, 15.38]","[11.26, 13.04]"
"[17, 18]","[10.74, 11.70]","[9.64, 11.65]","[9.26, 12.30]","[10.22, 12.65]","[10.67, 13.59]","[10.25, 14.77]","[7.51, 17.71]","[8.69, 16.77]","[8.36, 17.63]","[8.03, 18.35]","[10.70, 15.21]","[11.32, 13.04]"
"[18, 19]","[10.66, 11.70]","[9.63, 11.62]","[9.28, 12.28]","[10.24, 12.64]","[10.58, 13.58]","[10.13, 14.58]","[7.53, 17.20]","[8.44, 16.45]","[6.93, 18.58]","[8.35, 17.74]","[10.34, 15.42]","[11.17, 13.10]"
"[19, 20]","[10.61, 11.76]","[9.66, 11.62]","[9.30, 12.28]","[10.22, 12.59]","[10.46, 13.53]","[10.08, 14.37]","[7.73, 16.70]","[8.01, 16.62]","[6.55, 18.76]","[8.38, 17.56]","[10.43, 15.23]","[11.10, 13.13]"
"[20, 21]","[10.60, 11.78]","[9.65, 11.65]","[9.30, 12.26]","[10.17, 12.55]","[10.32, 13.48]","[9.87, 14.28]","[7.88, 16.15]","[7.80, 16.36]","[6.07, 18.80]","[8.28, 17.33]","[10.39, 15.09]","[11.02, 13.15]"
"[21, 22]","[10.66, 11.85]","[9.64, 11.65]","[9.28, 12.23]","[10.16, 12.52]","[10.18, 13.46]","[9.68, 14.05]","[7.90, 15.44]","[7.58, 15.86]","[5.85, 18.56]","[8.28, 17.26]","[10.23, 15.47]","[11.09, 13.34]"
