,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[23.0, 24.0]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]","[11.5255, 11.5255]"
"[24.0, 25.0]","[5.2482, 13.0878]","[4.5858, 11.7624]","[2.2455, 12.2192]","[4.4898, 9.8918]","[6.7084, 13.0485]","[12.1578, 19.4361]","[18.6565, 26.873]","[22.5197, 31.6743]","[21.3647, 31.4574]","[15.9709, 27.0018]","[9.4758, 21.4449]","[8.0534, 14.2858]"
"[25.0, 26.0]","[5.5598, 12.6195]","[3.87, 11.5453]","[2.7126, 11.848]","[4.0518, 10.3451]","[4.4189, 11.1678]","[6.336, 13.5406]","[9.9521, 17.6124]","[13.928, 22.0439]","[16.1044, 24.676]","[15.1136, 24.1409]","[9.2652, 23.1561]","[7.7721, 16.4055]"
"[26.0, 27.0]","[5.7397, 13.0529]","[3.501, 12.7073]","[1.8738, 13.0571]","[4.4664, 10.2193]","[5.2739, 11.724]","[8.0885, 15.2359]","[12.3712, 20.2157]","[16.1512, 24.6929]","[17.284, 26.5229]","[15.0644, 25.0004]","[8.5458, 23.5339]","[7.5793, 16.4885]"
"[27.0, 28.0]","[5.2692, 13.5943]","[3.9926, 12.561]","[1.143, 14.034]","[4.2952, 10.116]","[4.7823, 11.3413]","[7.4556, 14.7527]","[11.8454, 19.8806]","[15.8456, 24.6189]","[17.1089, 26.6203]","[14.8524, 25.102]","[9.3421, 22.4712]","[7.4323, 16.4082]"
"[28.0, 29.0]","[5.3482, 13.4836]","[3.7368, 12.839]","[1.5707, 13.5032]","[4.612, 9.6294]","[5.2248, 11.0238]","[8.2055, 14.7862]","[12.8944, 20.2567]","[16.9567, 25.1007]","[17.9822, 26.9078]","[15.3479, 25.0551]","[9.6415, 22.104]","[7.4339, 16.2377]"
"[29.0, 30.0]","[5.5193, 13.3208]","[3.3978, 13.0367]","[1.9871, 12.9702]","[4.5537, 9.6628]","[5.157, 11.0032]","[8.0108, 14.5942]","[12.5456, 19.8661]","[16.5727, 24.6303]","[17.7457, 26.5404]","[15.3575, 24.8894]","[9.3442, 22.5733]","[7.5346, 16.3323]"
"[30.0, 31.0]","[5.6082, 13.3563]","[3.3205, 13.2444]","[1.8762, 13.2792]","[4.1984, 10.3511]","[4.9633, 11.6573]","[7.9267, 15.1622]","[12.5042, 20.2812]","[16.5412, 24.8597]","[17.7458, 26.6058]","[15.4407, 24.8421]","[9.2118, 22.784]","[7.5389, 16.4474]"
"[31.0, 32.0]","[5.7009, 13.3263]","[3.2217, 13.3443]","[1.7042, 13.4512]","[4.3237, 10.2085]","[4.9885, 11.4475]","[7.7682, 14.8015]","[12.1617, 19.7692]","[16.1285, 24.3103]","[17.4223, 26.1783]","[15.2988, 24.6292]","[9.1484, 22.829]","[7.6078, 16.4848]"
"[32.0, 33.0]","[5.7141, 13.4081]","[3.1079, 13.5267]","[1.8861, 13.2313]","[4.1672, 10.3762]","[5.047, 11.7816]","[8.1482, 15.4083]","[12.7862, 20.5718]","[16.7666, 25.0778]","[17.8548, 26.6915]","[15.4718, 24.8341]","[9.3198, 22.702]","[7.6386, 16.4707]"
