,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[23.0, 24.0]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]","[34.6824, 34.6824]"
"[24.0, 25.0]","[32.2149, 34.7592]","[32.319, 34.9153]","[31.8449, 35.0921]","[32.3492, 34.4171]","[32.8624, 35.1382]","[34.2267, 36.7103]","[35.7465, 38.438]","[36.3705, 39.2699]","[35.5895, 38.6968]","[33.8872, 37.2024]","[32.3082, 35.8312]","[32.4649, 34.3894]"
"[25.0, 26.0]","[32.0912, 34.6239]","[32.0993, 34.813]","[31.9308, 35.0629]","[32.1191, 34.6569]","[32.1819, 34.659]","[32.7195, 35.136]","[33.6769, 36.0326]","[34.5438, 36.8388]","[34.7539, 36.9881]","[34.1783, 36.3518]","[31.8969, 36.6979]","[32.0803, 35.0591]"
"[26.0, 27.0]","[32.0259, 34.8365]","[32.0123, 35.1483]","[31.6869, 35.4538]","[32.266, 34.6004]","[32.4336, 34.7595]","[33.2198, 35.5373]","[34.3861, 36.6951]","[35.2299, 37.5305]","[35.1645, 37.4566]","[34.2375, 36.5212]","[31.6352, 36.8194]","[32.1524, 34.8973]"
"[27.0, 28.0]","[32.0047, 34.9548]","[32.1682, 35.1048]","[31.4974, 35.7042]","[32.2236, 34.5456]","[32.2638, 34.5983]","[32.9372, 35.2843]","[34.0592, 36.4188]","[34.9421, 37.3143]","[34.965, 37.3497]","[34.1223, 36.5196]","[32.2806, 36.1762]","[32.1705, 34.9403]"
"[28.0, 29.0]","[32.0234, 34.8899]","[32.0721, 35.2038]","[31.6309, 35.5683]","[32.3215, 34.3724]","[32.3107, 34.4046]","[32.9757, 35.1125]","[34.1374, 36.3171]","[35.0687, 37.2914]","[35.0991, 37.3648]","[34.2099, 36.5185]","[32.381, 36.0576]","[32.1363, 34.9023]"
"[29.0, 30.0]","[32.0793, 34.8585]","[31.9629, 35.2701]","[31.7626, 35.3805]","[32.2922, 34.4051]","[32.322, 34.4683]","[32.9938, 35.1734]","[34.1206, 36.3335]","[35.0084, 37.2546]","[35.0297, 37.3094]","[34.177, 36.49]","[32.1934, 36.2766]","[32.1151, 34.9918]"
"[30.0, 31.0]","[32.1179, 34.8677]","[31.933, 35.3266]","[31.7257, 35.4775]","[32.1594, 34.6616]","[32.2279, 34.7072]","[32.8949, 35.3513]","[33.9902, 36.4238]","[34.8633, 37.274]","[34.9177, 37.3056]","[34.1366, 36.5016]","[32.2114, 36.3154]","[32.1232, 35.0627]"
"[31.0, 32.0]","[32.1354, 34.8731]","[31.9058, 35.3599]","[31.6723, 35.5413]","[32.2117, 34.6058]","[32.2369, 34.6205]","[32.8361, 35.2092]","[33.8744, 36.237]","[34.738, 37.0902]","[34.8357, 37.1774]","[34.1184, 36.4496]","[32.1933, 36.3607]","[32.1548, 35.0786]"
"[32.0, 33.0]","[32.1357, 34.8963]","[31.875, 35.4175]","[31.73, 35.4852]","[32.1532, 34.6716]","[32.2469, 34.7143]","[32.9517, 35.3679]","[34.0834, 36.4486]","[34.9781, 37.2921]","[35.037, 37.2999]","[34.2531, 36.4649]","[32.1749, 36.4079]","[32.1265, 35.1085]"
