,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[1.0, 2.0]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.7681, 35.9028]","[32.0579, 36.0624]","[32.0579, 36.0624]","[32.0579, 36.0624]","[32.0579, 36.0624]","[32.0579, 36.0624]"
"[2.0, 3.0]","[32.9674, 35.932]","[32.9674, 35.932]","[32.9674, 35.932]","[32.9674, 35.932]","[32.9674, 35.932]","[32.9674, 35.932]","[32.9674, 35.932]","[32.0734, 36.0262]","[32.0734, 36.0262]","[32.0734, 36.0262]","[32.0734, 36.0262]","[32.0734, 36.0262]"
"[3.0, 4.0]","[33.1772, 36.068]","[33.1772, 36.068]","[33.1772, 36.068]","[33.1772, 36.068]","[33.1772, 36.068]","[33.1772, 36.068]","[33.1772, 36.068]","[32.1156, 36.086]","[32.1156, 36.086]","[32.1156, 36.086]","[32.1156, 36.086]","[32.1156, 36.086]"
"[4.0, 5.0]","[33.3057, 36.2968]","[33.3057, 36.2968]","[33.3057, 36.2968]","[33.3057, 36.2968]","[33.3057, 36.2968]","[33.3057, 36.2968]","[33.3057, 36.2968]","[32.1741, 36.134]","[32.1741, 36.134]","[32.1741, 36.134]","[32.1741, 36.134]","[32.1741, 36.134]"
"[5.0, 6.0]","[33.4639, 36.3789]","[33.4639, 36.3789]","[33.4639, 36.3789]","[33.4639, 36.3789]","[33.4639, 36.3789]","[33.4639, 36.3789]","[33.4639, 36.3789]","[32.2933, 36.1484]","[32.2933, 36.1484]","[32.2933, 36.1484]","[32.2933, 36.1484]","[32.2933, 36.1484]"
"[6.0, 7.0]","[33.4536, 36.5514]","[33.4536, 36.5514]","[33.4536, 36.5514]","[33.4536, 36.5514]","[33.4536, 36.5514]","[33.4536, 36.5514]","[33.4536, 36.5514]","[32.2085, 36.4734]","[32.2085, 36.4734]","[32.2085, 36.4734]","[32.2085, 36.4734]","[32.2085, 36.4734]"
"[7.0, 8.0]","[33.5555, 36.6164]","[33.5555, 36.6164]","[33.5555, 36.6164]","[33.5555, 36.6164]","[33.5555, 36.6164]","[33.5555, 36.6164]","[33.5555, 36.6164]","[32.1741, 36.6982]","[32.1741, 36.6982]","[32.1741, 36.6982]","[32.1741, 36.6982]","[32.1741, 36.6982]"
"[8.0, 9.0]","[33.6725, 36.685]","[33.6725, 36.685]","[33.6725, 36.685]","[33.6725, 36.685]","[33.6725, 36.685]","[33.6725, 36.685]","[33.6725, 36.685]","[32.1646, 36.8966]","[32.1646, 36.8966]","[32.1646, 36.8966]","[32.1646, 36.8966]","[32.1646, 36.8966]"
"[9.0, 10.0]","[33.8621, 36.7072]","[33.8621, 36.7072]","[33.8621, 36.7072]","[33.8621, 36.7072]","[33.8621, 36.7072]","[33.8621, 36.7072]","[33.8621, 36.7072]","[32.2282, 37.0157]","[32.2282, 37.0157]","[32.2282, 37.0157]","[32.2282, 37.0157]","[32.2282, 37.0157]"
"[10.0, 11.0]","[34.1711, 36.6829]","[34.1711, 36.6829]","[34.1711, 36.6829]","[34.1711, 36.6829]","[34.1711, 36.6829]","[34.1711, 36.6829]","[34.1711, 36.6829]","[32.2039, 37.251]","[32.2039, 37.251]","[32.2039, 37.251]","[32.2039, 37.251]","[32.2039, 37.251]"
"[11.0, 12.0]","[34.4248, 36.6529]","[34.4248, 36.6529]","[34.4248, 36.6529]","[34.4248, 36.6529]","[34.4248, 36.6529]","[34.4248, 36.6529]","[34.4248, 36.6529]","[32.2508, 37.3975]","[32.2508, 37.3975]","[32.2508, 37.3975]","[32.2508, 37.3975]","[32.2508, 37.3975]"
"[12.0, 13.0]","[34.6268, 36.67]","[34.6268, 36.67]","[34.6268, 36.67]","[34.6268, 36.67]","[34.6268, 36.67]","[34.6268, 36.67]","[34.6268, 36.67]","[32.342, 37.4563]","[32.342, 37.4563]","[32.342, 37.4563]","[32.342, 37.4563]","[32.342, 37.4563]"
"[13.0, 14.0]","[34.8761, 36.6861]","[34.8761, 36.6861]","[34.8761, 36.6861]","[34.8761, 36.6861]","[34.8761, 36.6861]","[34.8761, 36.6861]","[34.8761, 36.6861]","[32.4582, 37.4962]","[32.4582, 37.4962]","[32.4582, 37.4962]","[32.4582, 37.4962]","[32.4582, 37.4962]"
"[14.0, 15.0]","[35.1718, 36.6184]","[35.1718, 36.6184]","[35.1718, 36.6184]","[35.1718, 36.6184]","[35.1718, 36.6184]","[35.1718, 36.6184]","[35.1718, 36.6184]","[32.5453, 37.5084]","[32.5453, 37.5084]","[32.5453, 37.5084]","[32.5453, 37.5084]","[32.5453, 37.5084]"
"[15.0, 16.0]","[35.4279, 36.5388]","[35.4279, 36.5388]","[35.4279, 36.5388]","[35.4279, 36.5388]","[35.4279, 36.5388]","[35.4279, 36.5388]","[35.4279, 36.5388]","[32.6323, 37.5567]","[32.6323, 37.5567]","[32.6323, 37.5567]","[32.6323, 37.5567]","[32.6323, 37.5567]"
"[16.0, 17.0]","[35.6305, 36.4529]","[35.6305, 36.4529]","[35.6305, 36.4529]","[35.6305, 36.4529]","[35.6305, 36.4529]","[35.6305, 36.4529]","[35.6305, 36.4529]","[32.7183, 37.6047]","[32.7183, 37.6047]","[32.7183, 37.6047]","[32.7183, 37.6047]","[32.7183, 37.6047]"
"[17.0, 18.0]","[35.7724, 36.3749]","[35.7724, 36.3749]","[35.7724, 36.3749]","[35.7724, 36.3749]","[35.7724, 36.3749]","[35.7724, 36.3749]","[35.7724, 36.3749]","[32.7959, 37.6389]","[32.7959, 37.6389]","[32.7959, 37.6389]","[32.7959, 37.6389]","[32.7959, 37.6389]"
"[18.0, 19.0]","[35.8244, 36.3559]","[35.8244, 36.3559]","[35.8244, 36.3559]","[35.8244, 36.3559]","[35.8244, 36.3559]","[35.8244, 36.3559]","[35.8244, 36.3559]","[32.9101, 37.575]","[32.9101, 37.575]","[32.9101, 37.575]","[32.9101, 37.575]","[32.9101, 37.575]"
"[19.0, 20.0]","[35.8688, 36.3292]","[35.8688, 36.3292]","[35.8688, 36.3292]","[35.8688, 36.3292]","[35.8688, 36.3292]","[35.8688, 36.3292]","[35.8688, 36.3292]","[33.1259, 37.465]","[33.1259, 37.465]","[33.1259, 37.465]","[33.1259, 37.465]","[33.1259, 37.465]"
"[20.0, 21.0]","[35.9014, 36.3096]","[35.9014, 36.3096]","[35.9014, 36.3096]","[35.9014, 36.3096]","[35.9014, 36.3096]","[35.9014, 36.3096]","[35.9014, 36.3096]","[33.2626, 37.3961]","[33.2626, 37.3961]","[33.2626, 37.3961]","[33.2626, 37.3961]","[33.2626, 37.3961]"
"[21.0, 22.0]","[35.9174, 36.3045]","[35.9174, 36.3045]","[35.9174, 36.3045]","[35.9174, 36.3045]","[35.9174, 36.3045]","[35.9174, 36.3045]","[35.9174, 36.3045]","[33.2875, 37.4079]","[33.2875, 37.4079]","[33.2875, 37.4079]","[33.2875, 37.4079]","[33.2875, 37.4079]"
"[22.0, 23.0]","[35.9331, 36.3024]","[35.9331, 36.3024]","[35.9331, 36.3024]","[35.9331, 36.3024]","[35.9331, 36.3024]","[35.9331, 36.3024]","[35.9331, 36.3024]","[33.3821, 37.3821]","[33.3821, 37.3821]","[33.3821, 37.3821]","[33.3821, 37.3821]","[33.3821, 37.3821]"
"[23.0, 24.0]","[35.9328, 36.312]","[35.9328, 36.312]","[35.9328, 36.312]","[35.9328, 36.312]","[35.9328, 36.312]","[35.9328, 36.312]","[35.9328, 36.312]","[33.5684, 37.2732]","[33.5684, 37.2732]","[33.5684, 37.2732]","[33.5684, 37.2732]","[33.5684, 37.2732]"
"[24.0, 25.0]","[35.9404, 36.3073]","[35.9404, 36.3073]","[35.9404, 36.3073]","[35.9404, 36.3073]","[35.9404, 36.3073]","[35.9404, 36.3073]","[35.9404, 36.3073]","[33.6403, 37.2664]","[33.6403, 37.2664]","[33.6403, 37.2664]","[33.6403, 37.2664]","[33.6403, 37.2664]"
"[25.0, 26.0]","[35.8918, 36.3498]","[35.8918, 36.3498]","[35.8918, 36.3498]","[35.8918, 36.3498]","[35.8918, 36.3498]","[35.8918, 36.3498]","[35.8918, 36.3498]","[33.6579, 37.2757]","[33.6579, 37.2757]","[33.6579, 37.2757]","[33.6579, 37.2757]","[33.6579, 37.2757]"
"[26.0, 27.0]","[35.6895, 36.5274]","[35.6895, 36.5274]","[35.6895, 36.5274]","[35.6895, 36.5274]","[35.6895, 36.5274]","[35.6895, 36.5274]","[35.6895, 36.5274]","[33.5788, 37.3205]","[33.5788, 37.3205]","[33.5788, 37.3205]","[33.5788, 37.3205]","[33.5788, 37.3205]"
"[27.0, 28.0]","[35.4645, 36.6961]","[35.4645, 36.6961]","[35.4645, 36.6961]","[35.4645, 36.6961]","[35.4645, 36.6961]","[35.4645, 36.6961]","[35.4645, 36.6961]","[33.5044, 37.3304]","[33.5044, 37.3304]","[33.5044, 37.3304]","[33.5044, 37.3304]","[33.5044, 37.3304]"
"[28.0, 29.0]","[35.3912, 36.7272]","[35.3912, 36.7272]","[35.3912, 36.7272]","[35.3912, 36.7272]","[35.3912, 36.7272]","[35.3912, 36.7272]","[35.3912, 36.7272]","[33.5208, 37.326]","[33.5208, 37.326]","[33.5208, 37.326]","[33.5208, 37.326]","[33.5208, 37.326]"
"[29.0, 30.0]","[35.3399, 36.7445]","[35.3399, 36.7445]","[35.3399, 36.7445]","[35.3399, 36.7445]","[35.3399, 36.7445]","[35.3399, 36.7445]","[35.3399, 36.7445]","[33.5329, 37.3298]","[33.5329, 37.3298]","[33.5329, 37.3298]","[33.5329, 37.3298]","[33.5329, 37.3298]"
"[30.0, 31.0]","[35.3421, 36.6963]","[35.3421, 36.6963]","[35.3421, 36.6963]","[35.3421, 36.6963]","[35.3421, 36.6963]","[35.3421, 36.6963]","[35.3421, 36.6963]","[33.4436, 37.3826]","[33.4436, 37.3826]","[33.4436, 37.3826]","[33.4436, 37.3826]","[33.4436, 37.3826]"
"[31.0, 32.0]","[35.2381, 36.7333]","[35.2381, 36.7333]","[35.2381, 36.7333]","[35.2381, 36.7333]","[35.2381, 36.7333]","[35.2381, 36.7333]","[35.2381, 36.7333]","[33.3121, 37.4873]","[33.3121, 37.4873]","[33.3121, 37.4873]","[33.3121, 37.4873]","[33.3121, 37.4873]"
"[32.0, 33.0]","[35.1572, 36.7579]","[35.1572, 36.7579]","[35.1572, 36.7579]","[35.1572, 36.7579]","[35.1572, 36.7579]","[35.1572, 36.7579]","[35.1572, 36.7579]","[33.1876, 37.5645]","[33.1876, 37.5645]","[33.1876, 37.5645]","[33.1876, 37.5645]","[33.1876, 37.5645]"
"[33.0, 34.0]","[35.1303, 36.7464]","[35.1303, 36.7464]","[35.1303, 36.7464]","[35.1303, 36.7464]","[35.1303, 36.7464]","[35.1303, 36.7464]","[35.1303, 36.7464]","[33.0595, 37.6008]","[33.0595, 37.6008]","[33.0595, 37.6008]","[33.0595, 37.6008]","[33.0595, 37.6008]"
