,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[24.0, 25.0]","[8.6899, 10.9753]","[7.8642, 8.1406]","[6.7763, 6.7934]","[4.4467, 7.9717]","[3.4119, 10.4449]","[4.2748, 14.8158]","[6.919, 20.3922]","[6.739, 28.5796]","[16.1349, 23.2412]","[15.4993, 22.3034]","[12.9799, 19.0373]","[11.5293, 13.6318]"
"[25.0, 26.0]","[5.6958, 13.3005]","[5.1847, 10.5393]","[5.1621, 10.3236]","[4.2881, 12.8354]","[-1.4949, 21.3523]","[3.3902, 20.4454]","[5.9445, 23.2699]","[4.722, 30.1714]","[13.5874, 24.8827]","[14.5583, 23.2057]","[10.0472, 22.5763]","[8.9414, 16.3654]"
"[26.0, 27.0]","[4.2492, 14.8043]","[2.6542, 13.448]","[5.4869, 10.4152]","[4.5985, 12.7432]","[-3.17, 23.0998]","[-1.9147, 25.9471]","[2.8755, 26.8401]","[5.8944, 29.6676]","[9.9836, 28.9618]","[13.3169, 24.4773]","[10.1044, 22.2067]","[7.1391, 17.8859]"
"[27.0, 28.0]","[4.3887, 14.6368]","[1.3299, 14.6747]","[2.7925, 12.7606]","[2.9245, 13.9898]","[-2.2914, 22.2075]","[-2.8043, 27.6278]","[-0.7286, 31.9277]","[5.8063, 31.3358]","[10.2221, 29.7685]","[11.7309, 26.373]","[10.7729, 21.4071]","[7.4055, 17.4701]"
"[28.0, 29.0]","[3.0872, 15.5994]","[1.177, 14.6706]","[2.474, 13.2913]","[3.5796, 13.6836]","[-1.3484, 21.2911]","[-3.6481, 27.9352]","[0.1496, 30.1811]","[4.9196, 31.5318]","[10.5894, 29.2185]","[11.7763, 26.5261]","[10.2652, 22.0759]","[7.6927, 17.0298]"
"[29.0, 30.0]","[2.9526, 15.6153]","[1.487, 13.9452]","[2.9756, 12.3417]","[4.7834, 12.2217]","[-1.089, 20.8681]","[-3.3191, 27.1994]","[-0.5214, 29.9799]","[5.8031, 29.4803]","[9.9741, 28.8358]","[12.0203, 25.824]","[10.1148, 22.2663]","[7.8331, 17.0352]"
"[30.0, 31.0]","[3.7432, 14.7926]","[1.6577, 13.4713]","[4.3877, 10.5934]","[5.0064, 11.8777]","[-2.2318, 22.0827]","[-3.196, 27.0527]","[-0.2524, 29.3283]","[6.5521, 28.0354]","[9.0935, 29.0505]","[11.4931, 26.0519]","[10.3848, 22.0888]","[7.7036, 17.3555]"
"[31.0, 32.0]","[4.0854, 14.4172]","[1.4452, 13.3923]","[4.5567, 10.0991]","[4.9286, 11.8326]","[-1.6392, 21.5646]","[-2.6025, 26.4839]","[-0.2945, 29.1083]","[5.7981, 28.2672]","[8.3875, 29.2605]","[11.27, 26.0871]","[10.3283, 22.2781]","[7.9075, 17.3421]"
"[32.0, 33.0]","[4.134, 14.1741]","[0.9559, 13.925]","[4.4578, 10.5534]","[3.7702, 13.4116]","[-1.6786, 21.7076]","[-2.4969, 25.9864]","[-0.8406, 28.959]","[5.5933, 27.8642]","[7.9527, 29.4237]","[11.2, 26.143]","[10.3375, 22.2463]","[7.8071, 17.267]"
"[33.0, 34.0]","[4.0041, 14.3415]","[1.2093, 13.6734]","[4.2944, 10.7577]","[4.6959, 12.5396]","[-1.8505, 21.7917]","[-1.0399, 24.1506]","[-0.7889, 28.2571]","[4.924, 27.8286]","[7.7091, 29.1721]","[10.99, 26.1845]","[10.2093, 22.4382]","[7.7805, 17.3994]"
"[34.0, 35.0]","[4.1153, 14.259]","[1.7062, 13.049]","[4.3457, 10.4895]","[4.6046, 12.4078]","[-1.7617, 21.4683]","[-1.3434, 24.1222]","[-1.0831, 28.0697]","[4.259, 27.9402]","[7.415, 29.022]","[10.7734, 26.2105]","[10.3106, 22.3856]","[7.8813, 17.4248]"
"[35.0, 36.0]","[4.2497, 14.5492]","[0.8424, 14.2957]","[4.2006, 10.9245]","[4.4587, 12.6966]","[-1.4401, 21.048]","[-1.0239, 23.3809]","[-1.0042, 27.2782]","[4.6825, 26.7039]","[7.5732, 28.2197]","[10.6452, 26.0594]","[10.4646, 22.3359]","[7.9245, 17.7335]"
"[36.0, 37.0]","[4.3308, 14.5431]","[0.6325, 14.6884]","[2.9794, 12.4735]","[4.9689, 12.5214]","[-0.9667, 20.6555]","[-0.7162, 22.7212]","[-0.7414, 26.3037]","[4.8111, 25.7949]","[7.2372, 28.0018]","[9.9929, 26.4828]","[10.4127, 22.3738]","[7.8748, 17.8306]"
"[37.0, 38.0]","[4.4742, 14.3811]","[2.1238, 13.2578]","[2.3242, 13.2138]","[4.852, 12.5742]","[-1.0472, 20.3669]","[-0.9041, 22.2509]","[-0.0186, 24.8393]","[4.861, 25.1706]","[6.2315, 28.7156]","[10.2952, 26.0987]","[10.5553, 22.2082]","[7.8221, 17.8422]"
"[38.0, 39.0]","[4.6812, 14.295]","[1.7414, 13.4364]","[2.6803, 12.4113]","[4.737, 12.2469]","[-1.187, 20.2055]","[-1.2177, 22.2954]","[0.2231, 24.1434]","[4.9847, 24.3483]","[6.0119, 28.207]","[9.1917, 26.7665]","[10.4114, 22.3441]","[7.9392, 17.9575]"
"[39.0, 40.0]","[4.5182, 14.5895]","[1.6022, 13.5182]","[3.2552, 11.6145]","[4.9832, 11.7377]","[-1.6193, 20.3893]","[-1.0235, 21.7854]","[-0.0988, 23.9635]","[4.4941, 24.1608]","[5.7732, 27.7819]","[8.7453, 26.8053]","[10.3564, 22.3421]","[8.0106, 18.0464]"
