,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[24.0, 25.0]","[32.9925, 33.8911]","[33.3366, 33.4926]","[33.3045, 33.311]","[32.7088, 33.3058]","[32.1422, 33.3297]","[31.9624, 33.7404]","[31.8979, 35.0329]","[32.314, 36.2282]","[33.7006, 35.8347]","[33.3244, 36.0343]","[32.5389, 35.8056]","[32.5146, 34.8194]"
"[25.0, 26.0]","[32.2398, 34.8425]","[32.6391, 34.3164]","[32.6476, 34.4806]","[32.3679, 34.9409]","[30.3858, 37.0318]","[31.4827, 36.1564]","[31.9471, 36.2124]","[32.1653, 36.7052]","[33.3575, 36.0103]","[32.5654, 36.7075]","[32.2342, 36.3458]","[32.52, 35.1684]"
"[26.0, 27.0]","[31.9721, 35.0408]","[31.893, 35.0741]","[32.7823, 34.3842]","[32.3374, 34.9927]","[29.9888, 37.4206]","[29.9345, 37.6717]","[31.1452, 36.9501]","[31.6521, 37.0979]","[32.1475, 37.0248]","[32.5203, 36.5009]","[31.9691, 36.3638]","[31.7826, 35.7319]"
"[27.0, 28.0]","[31.9569, 35.0293]","[31.3371, 35.5701]","[32.0799, 34.9668]","[31.9802, 35.2259]","[30.1701, 37.211]","[29.8042, 37.9205]","[30.2856, 38.0204]","[31.4258, 37.505]","[31.9196, 37.3121]","[31.8908, 37.0762]","[31.8745, 36.3718]","[31.8367, 35.6255]"
"[28.0, 29.0]","[31.6565, 35.3003]","[31.3307, 35.5498]","[31.9523, 35.115]","[32.1261, 35.1474]","[30.3899, 37.0564]","[29.6728, 38.0618]","[30.4286, 37.826]","[31.2743, 37.5904]","[32.341, 36.8652]","[31.9373, 37.057]","[31.8678, 36.4199]","[32.1649, 35.3063]"
"[29.0, 30.0]","[31.6978, 35.2315]","[31.443, 35.3388]","[32.0682, 34.8812]","[32.2939, 34.9066]","[30.4456, 36.9929]","[29.9023, 37.8543]","[30.4662, 37.7898]","[31.3523, 37.4799]","[32.2784, 36.8956]","[32.0789, 36.9244]","[31.9356, 36.4008]","[32.3019, 35.2071]"
"[30.0, 31.0]","[31.8671, 35.0478]","[31.5218, 35.1903]","[32.4204, 34.4551]","[32.3428, 34.8414]","[30.2934, 37.202]","[29.9546, 37.8882]","[30.6646, 37.6457]","[31.4033, 37.4294]","[31.9743, 37.1788]","[32.0424, 36.9662]","[31.9553, 36.4223]","[32.1966, 35.3499]"
"[31.0, 32.0]","[31.8497, 35.0492]","[31.4751, 35.1635]","[32.4957, 34.2907]","[32.3692, 34.7712]","[30.337, 37.1886]","[30.0969, 37.8238]","[30.6469, 37.7351]","[31.3742, 37.4921]","[31.8572, 37.3046]","[32.0641, 36.9629]","[31.9597, 36.4582]","[32.2239, 35.3557]"
"[32.0, 33.0]","[31.8204, 35.0169]","[31.2864, 35.3655]","[32.4167, 34.475]","[32.1083, 35.1642]","[30.3012, 37.2972]","[30.0637, 37.8447]","[30.6068, 37.7325]","[31.5462, 37.3233]","[31.8509, 37.3796]","[32.124, 36.982]","[31.9404, 36.4949]","[32.1806, 35.3438]"
"[33.0, 34.0]","[31.7631, 35.0841]","[31.3544, 35.3279]","[32.4029, 34.55]","[32.297, 35.0466]","[30.2875, 37.353]","[30.2808, 37.6167]","[30.5749, 37.7137]","[31.6299, 37.1885]","[31.7509, 37.4604]","[32.1557, 36.9636]","[31.8945, 36.5631]","[32.1422, 35.3948]"
