,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25.0, 26.0]","[5.2786, 13.6454]","[4.3846, 12.799]","[4.4028, 13.7361]","[0.3262, 20.2066]","[7.189, 17.1988]","[10.4485, 19.8873]","[13.7848, 23.9997]","[20.0716, 24.0024]","[22.4027, 23.4513]","[15.5044, 26.1419]","[11.3126, 21.9298]","[9.3017, 15.2572]"
"[26.0, 27.0]","[5.5153, 16.3117]","[4.4418, 14.6533]","[2.5823, 15.4149]","[2.4062, 16.265]","[0.7442, 21.1443]","[-0.212, 28.1081]","[4.2979, 30.9424]","[11.5026, 29.4987]","[9.1459, 33.3807]","[13.8778, 25.3733]","[10.018, 22.9866]","[8.3431, 18.2266]"
"[27.0, 28.0]","[3.9416, 17.4225]","[3.3321, 14.9452]","[0.9717, 16.5472]","[1.4287, 17.4005]","[1.1947, 21.0492]","[0.2633, 27.4352]","[0.957, 33.2375]","[8.1778, 31.4264]","[8.9362, 32.6916]","[13.9718, 25.2882]","[11.0472, 22.4751]","[7.4136, 19.3889]"
"[28.0, 29.0]","[4.3784, 16.9671]","[3.2794, 14.7498]","[1.3356, 15.9514]","[1.7055, 17.1303]","[2.3049, 20.0668]","[1.9517, 25.588]","[4.3163, 29.1206]","[7.3012, 31.0711]","[11.4644, 28.9663]","[13.3054, 25.2736]","[10.7755, 22.6486]","[7.8446, 19.0953]"
"[29.0, 30.0]","[3.8308, 17.5855]","[2.4043, 15.6487]","[1.3636, 16.0157]","[1.5347, 17.4632]","[0.6948, 21.7496]","[0.9016, 26.4411]","[1.4599, 31.4982]","[6.7066, 31.1097]","[11.2008, 28.8679]","[13.1333, 25.4003]","[10.7525, 22.8394]","[7.2093, 19.9058]"
"[30.0, 31.0]","[4.027, 17.6493]","[2.0467, 16.1165]","[1.4969, 15.8412]","[2.1683, 16.6782]","[0.2441, 21.9273]","[0.1947, 26.6898]","[-1.1005, 33.3993]","[5.7891, 31.2872]","[8.7328, 30.7412]","[12.0616, 26.2123]","[11.4145, 22.2701]","[7.2887, 20.1101]"
"[31.0, 32.0]","[4.188, 17.6977]","[2.1652, 16.2804]","[0.5624, 17.0399]","[2.8969, 16.0424]","[-0.1804, 22.1317]","[0.1396, 26.1869]","[-2.0912, 33.6266]","[4.6947, 31.6347]","[8.1003, 30.8278]","[11.7125, 26.2805]","[11.5932, 22.0341]","[7.6148, 19.8816]"
"[32.0, 33.0]","[4.3593, 17.4736]","[2.2944, 16.2086]","[0.3778, 17.2428]","[2.3645, 16.439]","[0.2167, 21.4603]","[-0.0293, 26.0614]","[-1.4728, 32.7932]","[5.0149, 31.1676]","[7.5322, 31.2227]","[11.3894, 26.3403]","[11.3948, 21.9291]","[7.8364, 19.4425]"
"[33.0, 34.0]","[4.497, 17.3731]","[2.3811, 16.0384]","[0.4849, 17.0838]","[2.0426, 16.8491]","[0.6404, 21.2008]","[0.4019, 25.686]","[-0.669, 31.8171]","[5.0244, 30.8341]","[6.8528, 31.6433]","[11.1685, 26.5316]","[11.4217, 22.0691]","[8.1213, 19.3359]"
"[34.0, 35.0]","[4.5246, 17.4586]","[2.3461, 16.1933]","[0.0307, 17.7426]","[1.7721, 17.3157]","[0.8736, 20.9227]","[0.7566, 24.884]","[-0.1259, 30.519]","[4.5422, 30.5726]","[6.507, 31.5659]","[10.5864, 27.086]","[11.5775, 22.1085]","[8.2434, 19.4063]"
