,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25.0, 26.0]","[31.9334, 35.3987]","[32.2384, 35.3241]","[32.506, 35.6431]","[31.5292, 37.1046]","[33.6779, 35.3191]","[33.839, 35.7131]","[34.3933, 36.0581]","[35.1624, 36.1814]","[35.5123, 36.0669]","[34.1879, 36.6058]","[33.2681, 36.0397]","[32.9021, 35.0285]"
"[26.0, 27.0]","[32.1162, 35.9954]","[32.3043, 35.7375]","[31.9402, 36.0671]","[31.8966, 36.1079]","[31.2439, 36.9767]","[30.9671, 37.8303]","[31.9768, 37.6159]","[33.2309, 36.9762]","[32.4994, 37.777]","[33.6434, 36.1261]","[32.3626, 36.6461]","[32.3542, 36.043]"
"[27.0, 28.0]","[31.6458, 36.2636]","[31.945, 35.8175]","[31.545, 36.2725]","[31.6433, 36.3206]","[31.2103, 37.0115]","[31.0729, 37.6045]","[31.0697, 38.2349]","[32.5001, 37.3756]","[32.2501, 37.8325]","[33.4963, 36.2775]","[32.4772, 36.6144]","[32.0543, 36.3198]"
"[28.0, 29.0]","[31.7178, 36.1635]","[31.9597, 35.7428]","[31.5812, 36.1956]","[31.6971, 36.2976]","[31.585, 36.7242]","[31.7591, 36.978]","[31.7638, 37.4892]","[32.364, 37.3435]","[32.8626, 37.0152]","[33.0592, 36.5697]","[32.414, 36.6245]","[32.2017, 36.1644]"
"[29.0, 30.0]","[31.7178, 36.219]","[31.756, 35.9842]","[31.6039, 36.218]","[31.6836, 36.3788]","[31.0773, 37.3103]","[31.2833, 37.5155]","[31.1442, 38.1391]","[32.2675, 37.4532]","[32.9421, 36.9637]","[32.9898, 36.7014]","[32.4944, 36.6306]","[31.9938, 36.4532]"
"[30.0, 31.0]","[31.861, 36.1909]","[31.617, 36.1435]","[31.583, 36.1938]","[31.7577, 36.2648]","[30.909, 37.4779]","[30.9905, 37.8107]","[30.5992, 38.6295]","[31.9786, 37.6213]","[32.4945, 37.2916]","[32.9081, 36.7551]","[32.603, 36.6163]","[32.0154, 36.5871]"
"[31.0, 32.0]","[31.8912, 36.2505]","[31.6192, 36.2683]","[31.362, 36.5274]","[31.8895, 36.1899]","[30.7404, 37.6448]","[30.8427, 37.9282]","[30.4464, 38.7541]","[31.8352, 37.7449]","[32.4214, 37.341]","[32.8378, 36.793]","[32.7326, 36.4668]","[32.1149, 36.5147]"
"[32.0, 33.0]","[31.9399, 36.1753]","[31.6545, 36.2449]","[31.3174, 36.5842]","[31.8091, 36.2579]","[30.8185, 37.5432]","[30.7669, 38.0041]","[30.6211, 38.6182]","[31.9768, 37.6542]","[32.3102, 37.4665]","[32.8227, 36.7605]","[32.6273, 36.4854]","[32.203, 36.3526]"
"[33.0, 34.0]","[31.9741, 36.1539]","[31.644, 36.2589]","[31.3747, 36.5257]","[31.7309, 36.3422]","[30.9726, 37.4161]","[30.9435, 37.8813]","[30.9753, 38.3372]","[31.8919, 37.8153]","[32.2545, 37.5863]","[32.7931, 36.8367]","[32.6229, 36.5217]","[32.2703, 36.3071]"
"[34.0, 35.0]","[32.0483, 36.1278]","[31.6714, 36.2792]","[31.2434, 36.7271]","[31.7447, 36.4114]","[31.1186, 37.3279]","[31.056, 37.7713]","[31.1871, 38.0836]","[32.0059, 37.6633]","[32.1347, 37.7178]","[32.6261, 37.0711]","[32.77, 36.4638]","[32.3477, 36.3022]"
"[35.0, 36.0]","[32.084, 36.1196]","[31.5864, 36.4128]","[31.3971, 36.6695]","[31.5702, 36.7179]","[31.3758, 37.1902]","[31.3095, 37.5775]","[31.1512, 38.1134]","[31.9146, 37.7212]","[31.9027, 37.9375]","[32.494, 37.2296]","[32.772, 36.5067]","[32.351, 36.3349]"
"[36.0, 37.0]","[32.1039, 36.108]","[31.6944, 36.3043]","[31.46, 36.6268]","[31.7784, 36.5588]","[31.4648, 37.1523]","[31.4928, 37.4089]","[31.3237, 37.9064]","[31.933, 37.6472]","[31.8552, 37.9526]","[32.6858, 37.0507]","[32.7131, 36.6069]","[32.3609, 36.3587]"
"[37.0, 38.0]","[32.139, 36.1063]","[31.8608, 36.1764]","[31.4573, 36.6751]","[31.8568, 36.5298]","[31.6261, 37.0337]","[31.5114, 37.4141]","[31.3675, 37.8642]","[32.1366, 37.4315]","[31.8188, 37.9789]","[32.5755, 37.1645]","[32.8115, 36.5272]","[32.3883, 36.3598]"
"[38.0, 39.0]","[32.2381, 35.9962]","[31.7889, 36.2]","[31.4611, 36.624]","[32.0166, 36.3403]","[31.5917, 37.0387]","[31.5601, 37.312]","[31.4215, 37.7361]","[32.0947, 37.4165]","[31.9528, 37.8457]","[32.6115, 37.1907]","[32.8251, 36.5953]","[32.45, 36.3452]"
"[39.0, 40.0]","[32.2002, 36.0873]","[31.7941, 36.2655]","[31.5789, 36.6046]","[31.9667, 36.5022]","[31.7122, 37.0054]","[31.6409, 37.2568]","[31.4665, 37.6514]","[32.1746, 37.2667]","[31.9565, 37.7896]","[32.5793, 37.2145]","[32.8816, 36.5681]","[32.509, 36.3319]"
"[40.0, 41.0]","[32.2481, 36.1434]","[31.8584, 36.2888]","[31.5643, 36.6589]","[31.7945, 36.6626]","[31.7531, 36.9306]","[31.6262, 37.2554]","[31.4705, 37.6694]","[32.2431, 37.2487]","[32.0899, 37.7139]","[32.7073, 37.1429]","[32.8723, 36.6436]","[32.4742, 36.4558]"
"[41.0, 42.0]","[32.228, 36.2034]","[31.8443, 36.3238]","[31.3981, 36.8134]","[31.9929, 36.4259]","[31.7015, 36.9399]","[31.502, 37.3562]","[31.449, 37.6934]","[32.3333, 37.1775]","[32.2483, 37.578]","[32.7573, 37.1156]","[32.9209, 36.6243]","[32.5122, 36.4573]"
"[42.0, 43.0]","[32.2227, 36.2435]","[31.9878, 36.1993]","[31.5199, 36.7108]","[31.9702, 36.4872]","[31.7225, 36.9784]","[31.4678, 37.4503]","[31.5204, 37.6585]","[32.2368, 37.2824]","[32.1665, 37.6588]","[32.6702, 37.2171]","[33.0658, 36.517]","[32.5331, 36.4827]"
"[43.0, 44.0]","[32.2527, 36.2769]","[31.9884, 36.2542]","[31.6512, 36.6261]","[31.901, 36.596]","[31.7886, 36.9441]","[31.4777, 37.4607]","[31.6243, 37.5623]","[32.2829, 37.2377]","[32.1757, 37.6583]","[32.6596, 37.2556]","[33.0727, 36.5598]","[32.5724, 36.5062]"
