,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[23.0, 24.0]","[6.6737, 8.2381]","[2.6998, 4.4745]","[1.3355, 3.3205]","[2.083, 4.2783]","[2.5963, 5.0019]","[1.4275, 4.0435]","[-0.303, 2.5233]","[-0.0424, 2.9942]","[3.3935, 6.6405]","[8.2207, 11.678]","[11.0001, 14.6677]","[9.4816, 13.7494]"
"[24.0, 25.0]","[4.9749, 11.5144]","[3.4933, 10.5843]","[7.6183, 7.6568]","[-1.5521, 19.4694]","[3.1579, 17.7926]","[0.108, 24.952]","[0.6195, 30.3687]","[13.6071, 23.8851]","[14.9588, 26.3726]","[13.5419, 26.0916]","[11.5401, 20.9678]","[7.8881, 15.4736]"
"[25.0, 26.0]","[3.4259, 13.5714]","[3.0704, 10.7419]","[5.7007, 9.0306]","[4.0142, 13.2604]","[-3.9998, 23.5401]","[-0.8755, 22.8099]","[-0.2752, 26.324]","[4.3663, 27.635]","[6.4659, 30.7182]","[13.7281, 24.2468]","[10.9633, 21.9784]","[7.4311, 17.0146]"
"[26.0, 27.0]","[2.6182, 13.8761]","[2.5046, 10.9824]","[4.7643, 9.8365]","[5.8404, 11.3805]","[-3.6564, 23.0902]","[-1.8882, 23.6394]","[-0.5763, 26.4445]","[3.9261, 27.967]","[9.3501, 27.7569]","[14.2545, 23.5423]","[10.6839, 21.8823]","[8.0471, 15.8741]"
"[27.0, 28.0]","[2.7256, 13.4525]","[2.3661, 10.8684]","[3.3349, 10.8838]","[6.4479, 10.2241]","[-0.7647, 19.7843]","[-2.6388, 24.5485]","[-1.3537, 28.1167]","[4.7949, 28.4017]","[10.8213, 27.3878]","[13.9405, 24.3221]","[10.744, 21.6811]","[8.0559, 15.4823]"
"[28.0, 29.0]","[4.8976, 11.2086]","[3.2481, 9.9781]","[4.369, 9.787]","[6.2365, 10.2445]","[-2.2455, 20.9329]","[-2.0202, 23.4777]","[-1.4238, 27.638]","[4.4136, 28.1607]","[9.7468, 27.813]","[13.8313, 23.8385]","[10.9231, 21.0603]","[7.97, 15.328]"
"[29.0, 30.0]","[5.3891, 10.6423]","[3.5784, 9.4173]","[4.5703, 9.5806]","[6.5979, 10.2325]","[-3.994, 23.0621]","[-1.3065, 22.6798]","[-1.7565, 27.2417]","[4.2643, 27.2861]","[7.9574, 28.8773]","[14.0441, 23.5211]","[11.8677, 20.4303]","[8.5499, 15.0034]"
"[30.0, 31.0]","[4.2593, 11.7236]","[2.9605, 10.0102]","[3.3533, 10.9162]","[6.3126, 10.725]","[-3.5833, 22.7045]","[-1.9754, 23.0185]","[-0.6935, 25.4756]","[3.5024, 27.2463]","[7.4513, 28.8113]","[13.7911, 23.5618]","[10.396, 21.919]","[8.3504, 15.2299]"
"[31.0, 32.0]","[3.6401, 12.3904]","[2.9892, 9.8399]","[2.6695, 11.4482]","[6.3356, 10.7585]","[-3.2884, 22.6607]","[-2.176, 23.3864]","[-0.3464, 24.9195]","[3.7848, 26.3629]","[7.5097, 28.0623]","[13.9518, 22.9835]","[10.6318, 21.6521]","[8.1505, 15.5823]"
"[32.0, 33.0]","[3.4354, 12.4822]","[2.9993, 9.6138]","[2.7586, 11.1595]","[6.2438, 10.7748]","[-3.113, 22.491]","[-2.2288, 23.3511]","[-0.6356, 24.8844]","[3.9056, 25.7199]","[8.3439, 26.7094]","[13.3795, 23.2339]","[10.4392, 21.7428]","[8.2016, 15.5032]"
