,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[23.0, 24.0]","[32.7623, 33.0397]","[30.7059, 31.1293]","[24.8734, 25.4428]","[15.5627, 16.2781]","[6.545, 7.4065]","[2.759, 3.7665]","[6.4451, 7.5986]","[15.2999, 16.5994]","[24.3893, 25.8348]","[30.0127, 31.6043]","[31.94, 33.6776]","[32.7278, 33.5098]"
"[24.0, 25.0]","[32.2495, 33.6934]","[31.9844, 34.2371]","[33.4377, 33.4483]","[30.5769, 36.6369]","[31.2227, 35.916]","[29.6295, 37.6171]","[30.2168, 37.8363]","[33.1379, 36.1825]","[33.5026, 36.6406]","[33.2626, 36.494]","[32.239, 36.0467]","[32.4084, 34.2821]"
"[25.0, 26.0]","[31.8687, 34.2007]","[31.9063, 34.1156]","[33.0157, 33.5217]","[32.2365, 34.7295]","[29.3034, 37.6738]","[29.6609, 37.2031]","[30.3069, 36.8616]","[30.9302, 37.0948]","[31.5067, 37.4009]","[32.9499, 36.1184]","[31.9327, 36.3155]","[32.0313, 34.932]"
"[26.0, 27.0]","[31.6559, 34.351]","[31.9619, 34.0116]","[32.727, 33.7592]","[32.7653, 34.1453]","[29.4507, 37.4691]","[29.6597, 37.1356]","[30.1602, 36.9071]","[30.9556, 36.9205]","[31.8859, 36.8352]","[32.7813, 36.0977]","[32.0047, 36.0896]","[32.284, 34.5771]"
"[27.0, 28.0]","[31.8029, 34.2064]","[31.9952, 34.0024]","[32.4102, 34.0561]","[33.0235, 33.8123]","[30.2723, 36.5873]","[29.6777, 37.1602]","[29.8266, 37.4044]","[31.2093, 36.8715]","[32.2154, 36.6375]","[32.1221, 36.7642]","[32.1992, 35.8254]","[32.4094, 34.3958]"
"[28.0, 29.0]","[32.2527, 33.7486]","[32.3341, 33.6992]","[32.4871, 34.0433]","[33.1416, 33.766]","[29.8216, 37.0976]","[29.8122, 37.0576]","[29.8398, 37.3847]","[31.0108, 37.022]","[32.0647, 36.7059]","[32.5388, 36.2494]","[32.2378, 35.6985]","[32.4177, 34.3331]"
"[29.0, 30.0]","[32.4068, 33.57]","[32.4912, 33.4992]","[32.465, 34.1094]","[33.3029, 33.7644]","[29.259, 37.8471]","[29.9486, 37.0061]","[29.9076, 37.2505]","[30.959, 36.9338]","[31.7918, 36.8961]","[32.8703, 35.9555]","[32.5804, 35.4581]","[32.6536, 34.1573]"
"[30.0, 31.0]","[32.0978, 33.8636]","[32.2251, 33.7045]","[30.9785, 35.5384]","[33.2473, 33.8053]","[29.3825, 37.7394]","[29.816, 37.1331]","[30.152, 36.9415]","[31.0955, 36.6923]","[31.794, 36.8093]","[32.8094, 35.9987]","[32.1407, 35.9356]","[32.5873, 34.2591]"
"[31.0, 32.0]","[31.9636, 34.0237]","[32.2356, 33.7326]","[31.9723, 34.6132]","[33.2895, 33.8772]","[29.5156, 37.7487]","[29.7486, 37.3191]","[30.2114, 36.9252]","[31.133, 36.6113]","[31.8989, 36.6136]","[32.7923, 35.9359]","[32.1362, 35.9058]","[32.5448, 34.3083]"
"[32.0, 33.0]","[31.9463, 34.0237]","[32.2426, 33.6889]","[32.0021, 34.5345]","[33.2576, 33.8753]","[29.7031, 37.5658]","[29.8328, 37.2733]","[30.0368, 37.1413]","[31.2134, 36.5442]","[32.1918, 36.2995]","[32.6259, 36.0666]","[31.9974, 36.018]","[32.4464, 34.3932]"
"[33.0, 34.0]","[31.9921, 34.0027]","[32.2719, 33.6823]","[31.9099, 34.6044]","[33.1599, 33.8934]","[30.0181, 37.1471]","[29.8263, 37.2042]","[30.1365, 37.0206]","[31.1915, 36.5809]","[32.153, 36.3483]","[32.6232, 36.0533]","[31.9973, 35.9926]","[32.4269, 34.4086]"
"[34.0, 35.0]","[31.957, 34.1008]","[32.275, 33.6748]","[31.8202, 34.6214]","[32.3271, 34.6379]","[30.1098, 37.009]","[29.996, 37.0407]","[30.1087, 37.0684]","[31.1957, 36.5677]","[32.0776, 36.3858]","[32.5802, 36.0733]","[31.9144, 36.1069]","[32.3919, 34.5197]"
"[35.0, 36.0]","[31.903, 34.1987]","[32.2398, 33.7064]","[31.8104, 34.5597]","[31.9104, 34.9504]","[30.2327, 36.8107]","[30.2315, 36.7929]","[30.3414, 36.8664]","[31.2216, 36.5663]","[32.0288, 36.4252]","[32.6212, 36.0073]","[31.9459, 36.0753]","[32.325, 34.6253]"
"[36.0, 37.0]","[31.977, 34.1153]","[32.1976, 33.7124]","[31.8738, 34.4498]","[31.4347, 35.3944]","[30.4425, 36.5966]","[30.3647, 36.6741]","[30.5514, 36.67]","[31.282, 36.508]","[32.0961, 36.3545]","[32.6574, 35.9758]","[31.906, 36.1309]","[32.2685, 34.6945]"
"[37.0, 38.0]","[31.9698, 34.1586]","[32.2287, 33.7489]","[31.866, 34.52]","[32.2268, 34.6114]","[30.4442, 36.5365]","[30.5021, 36.4469]","[30.6773, 36.4805]","[31.2735, 36.5099]","[32.1994, 36.285]","[32.6769, 35.9899]","[31.8836, 36.1659]","[32.2595, 34.7123]"
"[38.0, 39.0]","[31.9541, 34.1716]","[32.2336, 33.7808]","[31.8254, 34.5983]","[32.5648, 34.2509]","[30.3347, 36.5447]","[30.6566, 36.1635]","[31.0232, 36.0588]","[31.2743, 36.5265]","[32.2276, 36.334]","[32.7459, 35.9862]","[31.8493, 36.2116]","[32.2025, 34.7477]"
"[39.0, 40.0]","[31.9668, 34.154]","[32.258, 33.7397]","[31.8046, 34.6192]","[32.6214, 34.2077]","[30.1234, 36.7526]","[30.8156, 35.9625]","[31.078, 35.9393]","[31.4888, 36.2701]","[32.3122, 36.2655]","[32.743, 36.0556]","[31.8811, 36.2521]","[32.1883, 34.7981]"
"[40.0, 41.0]","[31.9802, 34.1799]","[32.296, 33.721]","[31.7537, 34.6513]","[30.9788, 35.7998]","[30.0909, 36.7268]","[30.8889, 35.844]","[31.1167, 35.8715]","[31.6456, 36.0899]","[32.4006, 36.1526]","[32.732, 36.049]","[31.8708, 36.2668]","[32.1517, 34.8652]"
"[41.0, 42.0]","[31.9973, 34.1747]","[32.2799, 33.7487]","[31.8566, 34.5987]","[32.4247, 34.4514]","[30.0237, 36.8982]","[30.7169, 36.0684]","[31.1081, 35.8564]","[31.7008, 35.9673]","[32.4666, 36.0359]","[32.6285, 36.154]","[31.8608, 36.3158]","[32.1201, 34.932]"
"[42.0, 43.0]","[31.9773, 34.2052]","[32.2753, 33.7411]","[31.8291, 34.6144]","[32.4986, 34.3928]","[30.0152, 36.951]","[30.4902, 36.341]","[30.9765, 36.0042]","[31.682, 35.9667]","[32.4394, 36.0333]","[32.4803, 36.2935]","[31.8459, 36.3514]","[32.1191, 34.9621]"
"[43.0, 44.0]","[31.9731, 34.2133]","[32.2767, 33.7406]","[31.7821, 34.6846]","[32.3447, 34.602]","[30.0527, 36.9807]","[30.5528, 36.3226]","[30.8252, 36.1576]","[31.7939, 35.8282]","[32.4775, 35.9724]","[32.3776, 36.3995]","[31.8848, 36.3355]","[32.1035, 34.9975]"
