,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[17.0, 18.0]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]","[14.7947, 15.1398]"
"[18.0, 19.0]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]","[14.7403, 15.189]"
"[19.0, 20.0]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]","[14.8002, 15.2315]"
"[20.0, 21.0]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]","[14.4124, 15.3752]"
"[21.0, 22.0]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]","[14.0988, 16.1787]"
"[22.0, 23.0]","[5.8998, 7.6707]","[-0.7084, 0.7083]","[-0.5313, 0.5312]","[6.2746, 6.9829]","[13.3474, 13.7016]","[14.4105, 14.4105]","[8.958, 9.4539]","[3.395, 4.3867]","[3.5748, 5.0623]","[9.2261, 11.2095]","[14.1828, 16.662]","[13.0462, 15.1712]"
"[23.0, 24.0]","[7.9925, 25.2961]","[7.9925, 25.2961]","[7.9925, 25.2961]","[7.9925, 25.2961]","[7.9925, 25.2961]","[19.2346, 20.8776]","[20.8967, 22.8912]","[21.796, 25.9697]","[24.1585, 26.2494]","[22.996, 23.0042]","[15.3755, 15.9135]","[15.3755, 15.9135]"
"[24.0, 25.0]","[13.788, 16.5755]","[9.8808, 14.9492]","[7.3747, 14.7238]","[6.9554, 16.5854]","[6.8034, 22.1041]","[12.9612, 23.2964]","[19.7568, 23.2248]","[20.6061, 26.5347]","[23.9808, 24.1432]","[22.8163, 23.4911]","[20.6818, 21.6331]","[17.7428, 18.9705]"
"[25.0, 26.0]","[12.1679, 16.6078]","[10.1761, 17.2888]","[8.3603, 18.1459]","[6.9384, 19.3968]","[5.7911, 22.8694]","[10.502, 23.8415]","[19.68, 22.0025]","[18.783, 28.2654]","[23.029, 24.4899]","[17.03, 26.1166]","[14.9921, 21.7741]","[12.2641, 19.3074]"
"[26.0, 27.0]","[8.2713, 16.3713]","[10.7073, 13.3013]","[11.3825, 13.7053]","[6.4121, 19.9126]","[5.9759, 21.8323]","[0.6244, 30.2029]","[7.6736, 28.1656]","[13.5742, 27.5066]","[15.9127, 27.5485]","[16.7075, 24.3686]","[12.4096, 22.5754]","[10.3614, 18.1451]"
"[27.0, 28.0]","[6.65, 17.6934]","[4.4424, 17.4924]","[4.5145, 17.6279]","[7.3709, 17.1389]","[4.9922, 23.109]","[-0.9748, 33.0282]","[3.8071, 31.9011]","[9.4916, 28.8961]","[9.5577, 29.7172]","[14.876, 22.8553]","[12.446, 21.4229]","[7.9076, 20.9143]"
"[28.0, 29.0]","[8.6698, 15.4461]","[5.0809, 16.7472]","[4.6551, 17.3104]","[6.519, 17.4408]","[4.7245, 22.4698]","[4.247, 27.0044]","[5.3478, 30.2279]","[11.5482, 27.5427]","[9.9437, 30.4621]","[12.4986, 26.138]","[12.4508, 21.724]","[9.3772, 19.2881]"
"[29.0, 30.0]","[7.2727, 16.5179]","[5.3849, 16.2544]","[5.0919, 17.039]","[2.6489, 21.6581]","[4.7518, 22.5217]","[3.947, 26.8043]","[2.0904, 32.5444]","[8.9245, 29.2704]","[10.009, 29.9528]","[11.5617, 27.0738]","[12.0791, 22.1811]","[9.1664, 19.3577]"
"[30.0, 31.0]","[6.8335, 16.8686]","[4.9462, 16.6948]","[5.2003, 17.237]","[2.6621, 22.2492]","[5.3697, 22.4934]","[2.7816, 28.1495]","[2.2824, 31.9771]","[6.5304, 30.9631]","[9.6925, 29.6445]","[11.8468, 26.4833]","[12.5142, 21.6912]","[9.3991, 19.0983]"
"[31.0, 32.0]","[7.1791, 16.5752]","[4.5349, 17.3078]","[4.849, 17.7251]","[3.3221, 21.4572]","[5.1468, 22.293]","[2.0663, 28.3224]","[1.9835, 31.8255]","[6.893, 30.3187]","[9.4007, 29.7386]","[11.0677, 27.0344]","[12.7753, 21.175]","[9.2444, 19.098]"
"[32.0, 33.0]","[7.3082, 16.8166]","[4.5004, 17.7403]","[6.5808, 16.2127]","[3.6812, 21.0781]","[4.6019, 22.6367]","[1.7213, 28.3487]","[1.5522, 31.8184]","[6.5441, 30.0849]","[8.0542, 30.4148]","[13.6667, 23.8551]","[11.4521, 22.2162]","[8.7118, 19.7322]"
