,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[17.0, 18.0]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]","[34.2211, 34.4354]"
"[18.0, 19.0]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]","[34.0082, 34.5967]"
"[19.0, 20.0]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]","[33.9226, 34.6003]"
"[20.0, 21.0]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]","[34.2865, 34.321]"
"[21.0, 22.0]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]","[33.7705, 34.7204]"
"[22.0, 23.0]","[15.0526, 15.8564]","[-0.3216, 0.3215]","[-0.2412, 0.2411]","[15.2933, 15.6148]","[31.755, 31.9157]","[34.369, 34.369]","[22.264, 22.4891]","[9.2324, 9.6825]","[9.1211, 9.7963]","[21.9295, 22.8298]","[33.8094, 34.9347]","[31.3548, 32.3194]"
"[23.0, 24.0]","[34.2262, 37.0708]","[34.2262, 37.0708]","[34.2262, 37.0708]","[34.2262, 37.0708]","[34.2262, 37.0708]","[35.9071, 36.8259]","[35.0617, 36.6927]","[34.6996, 36.3069]","[35.3493, 36.1543]","[35.7701, 35.7728]","[34.257, 34.4737]","[34.257, 34.4737]"
"[24.0, 25.0]","[35.6706, 35.6892]","[34.8183, 35.8088]","[33.9787, 35.9412]","[33.3979, 36.3325]","[33.7981, 36.3454]","[34.3622, 36.4179]","[35.034, 36.1332]","[34.89, 36.2767]","[35.5132, 35.534]","[35.0214, 36.1218]","[35.344, 36.1193]","[35.6015, 36.0518]"
"[25.0, 26.0]","[35.0928, 36.3168]","[34.9737, 36.9098]","[34.406, 37.0541]","[33.5478, 36.908]","[33.5046, 36.2475]","[33.744, 36.2035]","[34.8806, 35.9063]","[35.0987, 36.3341]","[35.2846, 36.0175]","[34.8592, 35.7737]","[34.0483, 36.1685]","[34.3616, 36.2137]"
"[26.0, 27.0]","[33.4086, 36.1265]","[34.5942, 35.5167]","[34.8186, 35.6461]","[33.2604, 36.9654]","[33.4643, 36.1715]","[31.0025, 38.3037]","[32.557, 37.044]","[33.5771, 36.6864]","[33.4987, 37.1644]","[34.4787, 35.9382]","[33.1716, 36.5968]","[33.7156, 35.6291]"
