,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[22.0, 23.0]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]","[17.9172, 21.1958]"
"[23.0, 24.0]","[6.9357, 9.8739]","[0.1864, 3.6577]","[-7.696, -3.6916]","[-11.4622, -6.9247]","[-6.8897, -1.819]","[4.801, 10.4048]","[17.197, 23.3339]","[23.6207, 30.2907]","[22.2034, 29.4065]","[16.4623, 24.1986]","[8.9777, 21.5898]","[9.0513, 15.1351]"
"[24.0, 25.0]","[5.1916, 11.655]","[5.0408, 8.0391]","[4.897, 8.6276]","[6.5685, 11.7074]","[9.499, 16.0464]","[12.3495, 20.3053]","[14.0604, 23.4246]","[14.2422, 25.0149]","[13.0226, 25.2038]","[10.647, 24.2366]","[8.0159, 21.5929]","[8.0217, 15.0636]"
"[25.0, 26.0]","[4.2398, 11.5948]","[3.5919, 8.732]","[3.5637, 8.055]","[5.3085, 7.5217]","[5.3843, 10.1059]","[6.2949, 13.5249]","[7.9989, 17.7374]","[9.7757, 22.0226]","[10.3461, 25.1013]","[8.6824, 25.9461]","[8.7262, 20.691]","[7.1275, 15.0162]"
"[26.0, 27.0]","[3.4381, 11.5853]","[3.3647, 8.7216]","[3.9124, 8.0397]","[5.2494, 7.28]","[4.2813, 8.9222]","[4.1047, 11.3558]","[5.4807, 15.3421]","[7.921, 20.3927]","[9.5887, 24.6707]","[8.6236, 26.3158]","[8.8958, 20.8157]","[6.6928, 14.9503]"
"[27.0, 28.0]","[3.3881, 12.0635]","[3.4153, 8.9059]","[3.884, 8.0995]","[5.1978, 7.2815]","[4.2485, 8.8802]","[4.0397, 11.2193]","[5.3107, 15.0383]","[7.6533, 19.9288]","[9.3476, 24.1711]","[8.5736, 25.945]","[8.3539, 21.4126]","[7.0216, 15.0157]"
"[28.0, 29.0]","[3.4219, 11.7163]","[2.9003, 9.2958]","[3.9093, 8.1956]","[5.0744, 7.3353]","[3.7664, 8.5302]","[3.1381, 10.4047]","[4.2623, 14.0318]","[6.8686, 19.1409]","[9.0497, 23.8249]","[8.6462, 25.9243]","[8.3956, 21.5149]","[6.9562, 14.934]"
"[29.0, 30.0]","[3.6383, 11.399]","[2.9833, 9.1781]","[4.0371, 8.1645]","[5.3053, 7.1681]","[3.7856, 8.2588]","[2.8799, 9.9635]","[3.818, 13.5121]","[6.4287, 18.7332]","[8.7557, 23.6705]","[8.4889, 26.0141]","[8.3757, 21.6004]","[6.9112, 14.9614]"
"[30.0, 31.0]","[3.4183, 11.4404]","[3.2587, 8.8417]","[4.1735, 8.1409]","[5.317, 7.2234]","[3.6845, 8.0679]","[2.6193, 9.4796]","[3.5264, 12.8638]","[6.3137, 18.128]","[8.9337, 23.225]","[8.901, 25.6693]","[8.3896, 21.6754]","[6.8899, 14.8976]"
"[31.0, 32.0]","[3.5248, 11.3614]","[3.2575, 8.894]","[4.2164, 8.1129]","[5.2203, 7.2625]","[3.6386, 8.0218]","[2.6683, 9.3924]","[3.7004, 12.7655]","[6.6, 18.006]","[9.2873, 23.0342]","[9.284, 25.3719]","[8.3669, 21.706]","[6.8558, 14.9234]"
"[32.0, 33.0]","[3.3089, 11.5317]","[3.3247, 8.8111]","[4.1673, 8.2023]","[5.1768, 7.3018]","[3.5008, 7.9545]","[2.4069, 9.1894]","[3.3769, 12.488]","[6.3278, 17.7677]","[9.1459, 22.9145]","[9.2635, 25.3608]","[8.3704, 21.7514]","[6.8436, 14.9385]"
"[33.0, 34.0]","[3.2389, 11.7671]","[3.6112, 8.6373]","[3.9039, 8.444]","[5.2346, 7.207]","[3.6558, 7.9798]","[2.719, 9.3946]","[3.7783, 12.8056]","[6.6692, 18.0481]","[9.3181, 23.0486]","[9.2821, 25.3641]","[8.3513, 21.725]","[6.8877, 14.9617]"
"[34.0, 35.0]","[3.1295, 11.8538]","[3.8731, 8.3525]","[4.0102, 8.3714]","[5.183, 7.3916]","[3.6735, 8.1802]","[2.7713, 9.5761]","[3.8276, 12.9306]","[6.7014, 18.1024]","[9.3467, 23.0459]","[9.3297, 25.327]","[8.3808, 21.709]","[6.8783, 14.9729]"
"[35.0, 36.0]","[3.4396, 11.8552]","[4.0346, 8.3861]","[3.962, 8.3534]","[5.1677, 7.2168]","[3.7372, 8.1202]","[3.0148, 9.7317]","[4.1929, 13.2437]","[7.019, 18.4037]","[9.4876, 23.2063]","[9.3132, 25.3658]","[8.3144, 21.7798]","[6.9573, 15.0818]"
"[36.0, 37.0]","[3.2219, 11.9634]","[4.0033, 8.3333]","[4.2423, 8.0897]","[5.176, 7.2904]","[3.7828, 8.0824]","[3.0365, 9.5211]","[4.1974, 12.8671]","[7.081, 17.9358]","[9.6878, 22.7277]","[9.6734, 24.8984]","[8.3359, 21.7336]","[6.9631, 15.0198]"
"[37.0, 38.0]","[3.4502, 11.8835]","[4.0567, 8.4966]","[3.7728, 8.7041]","[5.154, 7.2292]","[3.5739, 7.9677]","[2.7252, 9.4377]","[3.8957, 12.9268]","[6.839, 18.1887]","[9.4629, 23.1313]","[9.3831, 25.3701]","[8.349, 21.821]","[6.9758, 15.0827]"
"[38.0, 39.0]","[3.5824, 11.9768]","[3.9739, 8.6121]","[4.1028, 8.2376]","[5.1132, 7.323]","[3.861, 8.3051]","[3.3472, 10.0257]","[4.6361, 13.5489]","[7.4239, 18.5711]","[9.7791, 23.1606]","[9.5452, 25.161]","[8.1408, 21.9989]","[7.032, 15.2019]"
"[39.0, 40.0]","[3.4935, 12.0438]","[3.8743, 8.6756]","[4.176, 8.1839]","[4.9644, 7.5247]","[3.6996, 8.4255]","[3.1126, 10.0042]","[4.3352, 13.3925]","[7.1385, 18.3615]","[9.6055, 22.9943]","[9.5205, 25.075]","[8.299, 21.8756]","[7.0281, 15.245]"
"[40.0, 41.0]","[3.5877, 12.0716]","[3.9962, 8.7485]","[3.9348, 8.528]","[5.0511, 7.3139]","[3.6488, 8.1421]","[3.004, 9.7279]","[4.2527, 13.207]","[7.1046, 18.2894]","[9.5781, 22.9934]","[9.4496, 25.0955]","[8.4911, 21.6082]","[7.013, 15.2497]"
"[41.0, 42.0]","[3.7156, 11.9192]","[3.9608, 8.8495]","[3.8277, 8.7984]","[4.9855, 7.4275]","[3.299, 8.1427]","[2.3295, 9.5749]","[3.374, 13.0211]","[6.2243, 18.2731]","[8.8288, 23.2793]","[8.8089, 25.661]","[8.4905, 21.6728]","[7.0266, 15.2476]"
"[42.0, 43.0]","[3.6792, 12.0464]","[3.8058, 9.0448]","[3.8996, 8.6909]","[5.095, 7.1549]","[3.3407, 7.7453]","[2.2965, 9.0458]","[3.3105, 12.4046]","[6.2138, 17.6526]","[8.9486, 22.7322]","[9.0856, 25.2139]","[8.3521, 21.8347]","[7.0449, 15.3313]"
"[43.0, 44.0]","[3.7331, 12.028]","[3.738, 9.0952]","[4.2209, 8.3586]","[5.0083, 7.3173]","[3.4196, 7.8492]","[2.507, 9.0575]","[3.6024, 12.2735]","[6.5632, 17.355]","[9.376, 22.2886]","[9.6317, 24.665]","[8.4303, 21.8087]","[7.0934, 15.3573]"
"[44.0, 45.0]","[3.7196, 12.083]","[3.6644, 9.1552]","[4.2402, 8.3507]","[4.9169, 7.5777]","[3.3861, 8.2644]","[2.4831, 9.5789]","[3.4945, 12.8078]","[6.3052, 17.836]","[8.9763, 22.7245]","[9.1532, 25.119]","[8.4162, 21.8443]","[7.0663, 15.4518]"
"[45.0, 46.0]","[3.7494, 12.0454]","[3.6413, 9.2705]","[4.1326, 8.6124]","[4.8354, 7.5026]","[3.0316, 7.7291]","[1.8348, 8.5626]","[2.7943, 11.5523]","[5.9005, 16.6888]","[9.0682, 21.8867]","[9.6761, 24.525]","[8.036, 22.3828]","[7.0907, 15.4924]"
"[46.0, 47.0]","[3.7992, 12.1024]","[3.5939, 9.3866]","[4.2308, 8.5286]","[4.8055, 7.5611]","[2.9483, 7.9325]","[1.6964, 8.909]","[2.552, 11.9931]","[5.5007, 17.1703]","[8.5011, 22.3992]","[8.9852, 25.1118]","[8.1591, 22.2191]","[7.1178, 15.5275]"
"[47.0, 48.0]","[3.6983, 12.2906]","[3.5929, 9.49]","[4.2926, 8.4942]","[4.8506, 7.4208]","[2.9874, 7.716]","[1.7765, 8.6636]","[2.7074, 11.7529]","[5.7274, 16.9313]","[8.7693, 22.1317]","[9.2748, 24.7956]","[8.4032, 21.9429]","[7.0383, 15.6249]"
"[48.0, 49.0]","[3.7467, 12.2889]","[3.4787, 9.5994]","[4.4411, 8.3812]","[4.6851, 7.6346]","[2.8478, 7.7221]","[1.5625, 8.3618]","[2.4246, 11.1487]","[5.5125, 16.1615]","[8.7997, 21.3736]","[9.6389, 24.1376]","[8.2107, 22.1725]","[7.1372, 15.648]"
"[49.0, 50.0]","[3.7946, 12.3246]","[3.4447, 9.7564]","[4.3359, 8.5661]","[4.6958, 7.5757]","[2.6963, 7.6749]","[1.2783, 8.3555]","[2.0559, 11.2317]","[5.093, 16.3675]","[8.3331, 21.7062]","[9.1114, 24.5832]","[8.023, 22.317]","[7.1261, 15.6716]"
"[50.0, 51.0]","[3.7674, 12.3351]","[3.357, 9.8981]","[4.3312, 8.7936]","[4.564, 7.7549]","[2.0615, 7.6367]","[0.039, 7.9984]","[0.4327, 10.7763]","[3.4953, 16.2231]","[7.0505, 22.1625]","[8.1125, 25.6087]","[7.4841, 23.1958]","[7.2046, 15.7719]"
"[51.0, 52.0]","[3.765, 12.3455]","[3.28, 10.053]","[4.3147, 8.9794]","[4.6032, 7.6269]","[1.7344, 7.0601]","[-0.7885, 6.8392]","[-0.711, 9.2188]","[2.4537, 14.6854]","[6.4776, 21.0114]","[8.0872, 24.923]","[7.7128, 22.8792]","[7.1429, 15.882]"
"[52.0, 53.0]","[3.8405, 12.4245]","[3.2815, 10.1943]","[4.2887, 9.0121]","[4.5916, 7.6763]","[1.7015, 7.5208]","[-0.7432, 7.8107]","[-0.6945, 10.5941]","[2.1841, 16.2073]","[5.7112, 22.469]","[6.8159, 26.3083]","[8.0657, 22.4013]","[7.123, 15.8852]"
"[53.0, 54.0]","[3.9476, 12.4677]","[3.2088, 10.3682]","[4.2665, 9.1911]","[4.4067, 7.9029]","[1.243, 7.4177]","[-1.682, 7.1712]","[-2.0534, 9.4783]","[0.7591, 14.9693]","[4.6429, 21.5315]","[6.3085, 25.8757]","[7.847, 22.5208]","[7.2549, 15.9576]"
"[54.0, 55.0]","[3.7733, 12.9192]","[3.2327, 10.5737]","[4.1906, 9.2609]","[4.3797, 7.9857]","[1.646, 7.7963]","[-0.634, 8.0605]","[-0.5116, 10.7272]","[2.338, 16.1211]","[5.8298, 22.1572]","[7.0086, 25.8804]","[7.9813, 22.4734]","[7.2315, 16.0659]"
"[55.0, 56.0]","[3.9351, 12.7028]","[3.1094, 10.715]","[4.2125, 9.3907]","[4.3158, 8.0492]","[1.388, 7.3833]","[-1.2368, 7.0202]","[-1.3242, 9.1946]","[1.6813, 14.4619]","[5.6722, 20.7146]","[7.442, 24.7462]","[8.531, 21.7914]","[7.216, 16.0719]"
"[56.0, 57.0]","[3.8961, 13.003]","[3.0426, 10.9305]","[4.2384, 9.4654]","[4.1861, 8.2359]","[0.8753, 7.6853]","[-2.2923, 7.2779]","[-2.9668, 9.3636]","[-0.3821, 14.7084]","[3.4836, 21.3344]","[5.354, 25.965]","[8.1765, 22.0005]","[7.4011, 16.1283]"
"[57.0, 58.0]","[3.9829, 13.1096]","[2.9836, 11.1917]","[4.207, 9.4865]","[4.1523, 8.3217]","[1.3871, 7.9521]","[-1.0165, 7.9441]","[-1.0842, 10.2719]","[1.6332, 15.3849]","[5.1874, 21.3347]","[6.654, 25.1969]","[8.6845, 21.3881]","[7.087, 16.3749]"
"[58.0, 59.0]","[4.1298, 12.9974]","[2.8738, 11.3387]","[4.2206, 9.6309]","[4.0838, 8.4134]","[0.8412, 7.8]","[-2.2493, 7.3387]","[-2.8899, 9.3274]","[-0.3256, 14.5209]","[3.5179, 20.9936]","[5.4365, 25.5414]","[8.6664, 21.3242]","[7.2131, 16.3741]"
"[59.0, 60.0]","[4.3123, 13.1745]","[2.7888, 11.7124]","[4.1548, 9.7801]","[4.0321, 8.485]","[0.9216, 7.9811]","[-1.9547, 7.7115]","[-2.4641, 9.8087]","[0.0432, 14.9227]","[3.6978, 21.1839]","[5.4602, 25.5529]","[8.6027, 21.389]","[7.6361, 16.1522]"
"[60.0, 61.0]","[3.9991, 13.5308]","[2.7854, 11.749]","[4.1335, 9.9207]","[3.9758, 8.5812]","[0.6944, 7.8281]","[-2.4454, 7.2164]","[-3.1108, 9.0793]","[-0.5012, 14.217]","[3.4756, 20.722]","[5.585, 25.3596]","[8.8575, 21.3698]","[7.6034, 16.3738]"
"[61.0, 62.0]","[4.2526, 13.65]","[2.7743, 12.0452]","[4.0725, 9.9312]","[3.9197, 8.689]","[1.1814, 8.3778]","[-1.1674, 8.4561]","[-1.2898, 10.7608]","[1.2461, 15.7238]","[4.6277, 21.5324]","[6.091, 25.4228]","[8.9009, 21.2464]","[7.5883, 16.455]"
