,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[22.0, 23.0]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]","[34.8423, 35.8718]"
"[23.0, 24.0]","[32.6314, 33.6023]","[29.3619, 30.4177]","[20.9222, 22.0629]","[9.9809, 11.2065]","[2.9311, 4.2417]","[4.705, 6.1005]","[14.3971, 15.8775]","[25.9263, 27.4917]","[33.1376, 34.7878]","[34.5058, 36.241]","[32.0727, 35.9994]","[32.8015, 33.9251]"
"[24.0, 25.0]","[31.7709, 34.2671]","[32.7154, 33.5068]","[32.3883, 34.1292]","[32.1248, 34.4015]","[31.7504, 34.5631]","[31.4867, 34.8352]","[31.4916, 35.376]","[31.6585, 36.0788]","[31.678, 36.6342]","[31.3137, 36.8058]","[30.9987, 36.2797]","[32.302, 34.0979]"
"[25.0, 26.0]","[31.7429, 34.0182]","[32.1759, 33.6747]","[32.3568, 33.7714]","[32.6375, 33.5548]","[32.0396, 34.0198]","[31.5417, 34.5847]","[31.2983, 35.4043]","[31.2155, 36.3843]","[30.9923, 37.2241]","[30.3826, 37.6773]","[31.0548, 36.1513]","[32.1655, 34.0793]"
"[26.0, 27.0]","[31.6938, 33.925]","[32.1355, 33.6613]","[32.454, 33.7465]","[32.5706, 33.5657]","[31.7321, 33.7959]","[30.9489, 34.0814]","[30.5802, 34.7814]","[30.6285, 35.8983]","[30.6918, 37.0303]","[30.3173, 37.7245]","[31.2112, 36.0957]","[32.057, 34.1488]"
"[27.0, 28.0]","[31.7408, 33.9835]","[32.1023, 33.7545]","[32.4839, 33.6989]","[32.6156, 33.4943]","[31.8668, 33.7471]","[31.2035, 34.0852]","[30.9215, 34.8047]","[30.9843, 35.8689]","[31.0104, 36.8964]","[30.606, 37.4935]","[30.9942, 36.3418]","[32.1558, 34.1259]"
"[28.0, 29.0]","[31.7922, 33.8903]","[31.9342, 33.8928]","[32.5205, 33.6555]","[32.6567, 33.4543]","[31.8859, 33.7116]","[31.1962, 34.05]","[30.8971, 34.779]","[30.9569, 35.8669]","[30.9854, 36.9235]","[30.5748, 37.5409]","[30.9674, 36.3695]","[32.1415, 34.1127]"
"[29.0, 30.0]","[31.8387, 33.8065]","[31.9678, 33.8449]","[32.5557, 33.6508]","[32.7029, 33.4137]","[31.8425, 33.6232]","[31.0402, 33.8908]","[30.6699, 34.5905]","[30.7383, 35.7288]","[30.8322, 36.8926]","[30.4809, 37.6111]","[30.9796, 36.3892]","[32.1329, 34.1191]"
"[30.0, 31.0]","[31.8092, 33.8043]","[32.0945, 33.7378]","[32.5507, 33.716]","[32.6292, 33.4898]","[31.7231, 33.5825]","[30.8723, 33.7304]","[30.5115, 34.3683]","[30.6652, 35.5207]","[30.8793, 36.7335]","[30.622, 37.4749]","[30.982, 36.4035]","[32.12, 34.1071]"
"[31.0, 32.0]","[31.8736, 33.7304]","[32.0592, 33.7636]","[32.5545, 33.7076]","[32.6303, 33.4837]","[31.7384, 33.5526]","[30.901, 33.676]","[30.5588, 34.2946]","[30.7385, 35.4351]","[30.9814, 36.6388]","[30.7486, 37.3669]","[30.9841, 36.4155]","[32.1162, 34.1114]"
"[32.0, 33.0]","[31.8704, 33.7304]","[32.1306, 33.6915]","[32.5076, 33.7652]","[32.5684, 33.5464]","[31.6662, 33.5774]","[30.8095, 33.654]","[30.4617, 34.2394]","[30.6643, 35.3753]","[30.9525, 36.5967]","[30.7654, 37.3428]","[31.0002, 36.4195]","[32.1148, 34.1245]"
"[33.0, 34.0]","[31.832, 33.8195]","[32.2282, 33.6458]","[32.3811, 33.9104]","[32.564, 33.5464]","[31.6755, 33.5924]","[30.8545, 33.7059]","[30.5369, 34.3228]","[30.7381, 35.4585]","[30.9936, 36.6485]","[30.7688, 37.3582]","[30.9915, 36.4187]","[32.1212, 34.1332]"
"[34.0, 35.0]","[31.8096, 33.8209]","[32.3221, 33.5342]","[32.4161, 33.8924]","[32.558, 33.5912]","[31.6648, 33.6103]","[30.817, 33.6749]","[30.478, 34.2483]","[30.6892, 35.3719]","[30.9863, 36.5814]","[30.8088, 37.3163]","[31.0312, 36.4073]","[32.1183, 34.1446]"
"[35.0, 36.0]","[31.7573, 33.936]","[32.3496, 33.5555]","[32.3934, 33.9194]","[32.5579, 33.5677]","[31.6824, 33.5965]","[30.8741, 33.6925]","[30.5692, 34.2919]","[30.7856, 35.4127]","[31.0608, 36.5922]","[30.859, 37.2946]","[31.019, 36.4324]","[32.1348, 34.1665]"
"[36.0, 37.0]","[31.7565, 33.9228]","[32.3168, 33.5632]","[32.5107, 33.7853]","[32.5613, 33.5747]","[31.7118, 33.6017]","[30.9166, 33.6831]","[30.6115, 34.2545]","[30.8252, 35.3447]","[31.1078, 36.5039]","[30.9261, 37.1987]","[31.0048, 36.4377]","[32.1467, 34.1518]"
"[37.0, 38.0]","[31.788, 33.9235]","[32.3301, 33.5974]","[32.3017, 34.0401]","[32.5644, 33.5777]","[31.675, 33.581]","[30.8486, 33.6473]","[30.5376, 34.2289]","[30.7687, 35.3528]","[31.073, 36.5497]","[30.8986, 37.268]","[31.0218, 36.4599]","[32.143, 34.1835]"
"[38.0, 39.0]","[31.731, 34.0257]","[32.3188, 33.6183]","[32.4328, 33.8903]","[32.5651, 33.5967]","[31.7342, 33.6497]","[30.9674, 33.7667]","[30.6763, 34.3595]","[30.8769, 35.4439]","[31.1288, 36.5797]","[30.9215, 37.2562]","[31.0125, 36.4776]","[32.1436, 34.2227]"
"[39.0, 40.0]","[31.7234, 34.047]","[32.2877, 33.6462]","[32.4827, 33.8253]","[32.5605, 33.6117]","[31.7632, 33.6925]","[31.0286, 33.836]","[30.746, 34.4315]","[30.9268, 35.4904]","[31.1483, 36.59]","[30.9231, 37.2429]","[31.0046, 36.4744]","[32.1377, 34.2373]"
"[40.0, 41.0]","[31.727, 34.0563]","[32.3209, 33.6591]","[32.3905, 33.9749]","[32.5498, 33.6123]","[31.6881, 33.6197]","[30.8942, 33.6949]","[30.6016, 34.2714]","[30.8306, 35.3695]","[31.1246, 36.5326]","[30.9511, 37.2282]","[31.0796, 36.4303]","[32.1361, 34.2499]"
"[41.0, 42.0]","[31.824, 33.9528]","[32.3005, 33.7014]","[32.3113, 34.0926]","[32.5517, 33.6246]","[31.6434, 33.6257]","[30.8106, 33.7023]","[30.5041, 34.3052]","[30.7398, 35.4502]","[31.0386, 36.6584]","[30.8495, 37.3786]","[31.0704, 36.4593]","[32.1313, 34.2454]"
"[42.0, 43.0]","[31.8037, 33.9858]","[32.2551, 33.7586]","[32.3615, 34.0603]","[32.5747, 33.5755]","[31.6135, 33.5061]","[30.7121, 33.4965]","[30.3696, 34.0457]","[30.6343, 35.2022]","[31.0147, 36.4744]","[30.9122, 37.2637]","[31.0951, 36.466]","[32.1308, 34.2806]"
"[43.0, 44.0]","[31.8187, 33.9997]","[32.2377, 33.7767]","[32.4841, 33.9148]","[32.5758, 33.593]","[31.7135, 33.5422]","[30.9173, 33.5573]","[30.6418, 34.0932]","[30.9172, 35.18]","[31.2757, 36.3499]","[31.1626, 37.0481]","[31.0937, 36.472]","[32.1236, 34.3101]"
"[44.0, 45.0]","[31.8211, 34.0093]","[32.2128, 33.8023]","[32.5051, 33.8924]","[32.5743, 33.6184]","[31.7262, 33.6075]","[30.946, 33.6646]","[30.6716, 34.2274]","[30.9254, 35.3186]","[31.2473, 36.4777]","[31.0979, 37.1655]","[31.0858, 36.5068]","[32.1146, 34.3378]"
"[45.0, 46.0]","[31.8156, 34.0233]","[32.2071, 33.8317]","[32.4526, 33.9759]","[32.5616, 33.6119]","[31.7039, 33.5026]","[30.9171, 33.464]","[30.6767, 33.972]","[31.0148, 35.0583]","[31.4431, 36.235]","[31.3817, 36.9219]","[31.053, 36.5933]","[32.116, 34.3609]"
"[46.0, 47.0]","[31.848, 34.0269]","[32.1935, 33.8657]","[32.5045, 33.9302]","[32.5647, 33.6219]","[31.701, 33.5459]","[30.9072, 33.5399]","[30.6478, 34.0681]","[30.9538, 35.1618]","[31.348, 36.3437]","[31.2619, 37.0453]","[31.0877, 36.5752]","[32.062, 34.4491]"
"[47.0, 48.0]","[31.8063, 34.06]","[32.1862, 33.8899]","[32.5494, 33.922]","[32.5723, 33.5941]","[31.6603, 33.4341]","[30.824, 33.3498]","[30.5765, 33.8544]","[30.9577, 34.9876]","[31.4491, 36.231]","[31.4284, 36.9625]","[31.2094, 36.5292]","[32.1211, 34.4081]"
"[48.0, 49.0]","[31.8079, 34.0725]","[32.1502, 33.919]","[32.6078, 33.8794]","[32.5332, 33.6504]","[31.6187, 33.4091]","[30.7465, 33.21]","[30.4793, 33.6159]","[30.9046, 34.7144]","[31.5047, 35.9876]","[31.6094, 36.7654]","[31.299, 36.519]","[32.1074, 34.4906]"
