,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[1.0, 2.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[2.0, 3.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[3.0, 4.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[4.0, 5.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[5.0, 6.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[6.0, 7.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[7.0, 8.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[8.0, 9.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[9.0, 10.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[10.0, 11.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[11.0, 12.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[12.0, 13.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[13.0, 14.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[14.0, 15.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[15.0, 16.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[16.0, 17.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[17.0, 18.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[18.0, 19.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[19.0, 20.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[20.0, 21.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[21.0, 22.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[22.0, 23.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[23.0, 24.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[24.0, 25.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[25.0, 26.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[26.0, 27.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[27.0, 28.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[28.0, 29.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[29.0, 30.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[30.0, 31.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[31.0, 32.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[32.0, 33.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[33.0, 34.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
"[34.0, 35.0]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]","[34.9612, 35.4338]"
"[35.0, 36.0]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]","[34.9947, 35.3464]"
"[36.0, 37.0]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]","[35.0052, 35.3176]"
"[37.0, 38.0]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]","[34.9791, 35.458]"
