,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[1.0, 2.0]","[22.3057, 25.4244]","[22.3057, 25.4244]","[22.3057, 25.4244]","[22.3057, 25.4244]","[22.3057, 25.4244]","[22.3057, 25.4244]","[22.3057, 25.4244]","[24.5844, 24.5904]","[24.5844, 24.5904]","[24.5844, 24.5904]","[24.5844, 24.5904]","[24.5844, 24.5904]"
"[2.0, 3.0]","[22.3391, 24.9958]","[22.3391, 24.9958]","[22.3391, 24.9958]","[22.3391, 24.9958]","[22.3391, 24.9958]","[22.3391, 24.9958]","[22.3391, 24.9958]","[24.5865, 24.5904]","[24.5865, 24.5904]","[24.5865, 24.5904]","[24.5865, 24.5904]","[24.5865, 24.5904]"
"[3.0, 4.0]","[22.3517, 25.0502]","[22.3517, 25.0502]","[22.3517, 25.0502]","[22.3517, 25.0502]","[22.3517, 25.0502]","[22.3517, 25.0502]","[22.3517, 25.0502]","[24.586, 24.5938]","[24.586, 24.5938]","[24.586, 24.5938]","[24.586, 24.5938]","[24.586, 24.5938]"
"[4.0, 5.0]","[22.3479, 24.9961]","[22.3479, 24.9961]","[22.3479, 24.9961]","[22.3479, 24.9961]","[22.3479, 24.9961]","[22.3479, 24.9961]","[22.3479, 24.9961]","[24.5872, 24.5992]","[24.5872, 24.5992]","[24.5872, 24.5992]","[24.5872, 24.5992]","[24.5872, 24.5992]"
"[5.0, 6.0]","[22.4584, 25.0411]","[22.4584, 25.0411]","[22.4584, 25.0411]","[22.4584, 25.0411]","[22.4584, 25.0411]","[22.4584, 25.0411]","[22.4584, 25.0411]","[24.5935, 24.6007]","[24.5935, 24.6007]","[24.5935, 24.6007]","[24.5935, 24.6007]","[24.5935, 24.6007]"
"[6.0, 7.0]","[22.5814, 24.9176]","[22.5814, 24.9176]","[22.5814, 24.9176]","[22.5814, 24.9176]","[22.5814, 24.9176]","[22.5814, 24.9176]","[22.5814, 24.9176]","[24.5902, 24.6052]","[24.5902, 24.6052]","[24.5902, 24.6052]","[24.5902, 24.6052]","[24.5902, 24.6052]"
"[7.0, 8.0]","[22.7013, 24.7986]","[22.7013, 24.7986]","[22.7013, 24.7986]","[22.7013, 24.7986]","[22.7013, 24.7986]","[22.7013, 24.7986]","[22.7013, 24.7986]","[24.5681, 24.7622]","[24.5681, 24.7622]","[24.5681, 24.7622]","[24.5681, 24.7622]","[24.5681, 24.7622]"
"[8.0, 9.0]","[22.7129, 24.7447]","[22.7129, 24.7447]","[22.7129, 24.7447]","[22.7129, 24.7447]","[22.7129, 24.7447]","[22.7129, 24.7447]","[22.7129, 24.7447]","[24.6728, 24.896]","[24.6728, 24.896]","[24.6728, 24.896]","[24.6728, 24.896]","[24.6728, 24.896]"
"[9.0, 10.0]","[22.667, 24.8261]","[22.667, 24.8261]","[22.667, 24.8261]","[22.667, 24.8261]","[22.667, 24.8261]","[22.667, 24.8261]","[22.667, 24.8261]","[24.7346, 24.8446]","[24.7346, 24.8446]","[24.7346, 24.8446]","[24.7346, 24.8446]","[24.7346, 24.8446]"
"[10.0, 11.0]","[22.3674, 25.3379]","[22.3674, 25.3379]","[22.3674, 25.3379]","[22.3674, 25.3379]","[22.3674, 25.3379]","[22.3674, 25.3379]","[22.3674, 25.3379]","[24.7008, 24.7843]","[24.7008, 24.7843]","[24.7008, 24.7843]","[24.7008, 24.7843]","[24.7008, 24.7843]"
"[11.0, 12.0]","[22.5238, 25.0905]","[22.5238, 25.0905]","[22.5238, 25.0905]","[22.5238, 25.0905]","[22.5238, 25.0905]","[22.5238, 25.0905]","[22.5238, 25.0905]","[24.4661, 24.8006]","[24.4661, 24.8006]","[24.4661, 24.8006]","[24.4661, 24.8006]","[24.4661, 24.8006]"
