,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[17.0, 18.0]","[12.1508, 12.1533]","[10.7569, 16.1219]","[12.8142, 15.7504]","[12.7628, 14.9028]","[13.5572, 13.5572]","[15.4296, 15.565]","[19.62, 19.8908]","[23.6415, 24.0478]","[24.4305, 24.9722]","[21.1353, 21.8125]","[14.8571, 17.8887]","[12.6634, 12.8029]"
"[18.0, 19.0]","[7.3088, 18.7409]","[7.8574, 18.1374]","[8.3197, 17.3057]","[9.1356, 16.3435]","[13.0516, 15.0624]","[15.4287, 19.4743]","[18.754, 24.8343]","[20.6045, 28.7195]","[19.1721, 29.3219]","[14.7876, 26.9721]","[13.3828, 20.0613]","[10.0175, 17.837]"
"[19.0, 20.0]","[7.3495, 18.1717]","[7.2614, 18.0869]","[8.1888, 17.2929]","[8.9117, 16.4515]","[9.2443, 17.5166]","[11.2575, 20.3018]","[14.5894, 24.4057]","[17.3756, 27.9639]","[17.6367, 28.997]","[14.9379, 27.0702]","[13.8141, 20.6248]","[9.9489, 18.264]"
"[20.0, 21.0]","[6.9874, 18.461]","[6.7074, 17.9202]","[5.5192, 17.6343]","[5.1707, 15.9774]","[5.2917, 16.3117]","[7.9939, 19.13]","[12.6254, 23.8777]","[16.7027, 28.0711]","[17.7541, 29.2387]","[15.3462, 26.9469]","[12.183, 22.2049]","[9.79, 18.3327]"
"[21.0, 22.0]","[7.4712, 17.7995]","[5.7855, 18.5418]","[6.3046, 16.9061]","[6.6848, 15.2756]","[7.1437, 15.8955]","[9.7003, 18.8451]","[13.8627, 23.4005]","[17.3991, 27.3299]","[18.1157, 28.4395]","[15.6378, 26.3547]","[12.2788, 22.1126]","[9.4012, 18.7745]"
"[22.0, 23.0]","[7.7877, 17.798]","[5.0227, 19.5358]","[7.3114, 16.0814]","[6.7845, 15.5762]","[8.022, 15.8572]","[10.6173, 19.1053]","[14.6123, 23.753]","[17.7788, 27.5723]","[18.0904, 28.5367]","[15.356, 26.455]","[11.8342, 22.4996]","[9.3493, 19.0308]"
"[23.0, 24.0]","[7.3498, 18.8097]","[7.0997, 18.0095]","[6.9464, 16.422]","[6.8104, 14.7012]","[7.5156, 15.0706]","[10.3245, 18.4212]","[14.7966, 23.435]","[18.3861, 27.5663]","[18.8379, 28.5598]","[16.0124, 26.276]","[11.6024, 22.9409]","[9.5594, 19.1199]"
"[24.0, 25.0]","[8.5251, 18.0173]","[7.5559, 17.397]","[7.556, 15.7618]","[7.7111, 15.4947]","[6.5355, 20.5735]","[17.6565, 17.6565]","[21.4763, 23.0123]","[24.1732, 25.5422]","[20.8243, 27.4372]","[14.895, 26.752]","[12.2718, 21.8346]","[9.7703, 19.2213]"
"[25.0, 26.0]","[6.7565, 18.4983]","[6.2827, 17.0224]","[5.6477, 16.9661]","[6.2794, 17.6611]","[5.8247, 22.3842]","[10.1935, 24.7867]","[17.4936, 24.3717]","[19.484, 26.2561]","[20.6652, 24.1966]","[14.1602, 25.88]","[12.4503, 21.3962]","[9.1383, 19.5066]"
"[26.0, 27.0]","[5.4442, 18.581]","[3.7816, 17.8535]","[3.7843, 17.8603]","[3.9461, 19.8285]","[5.0701, 22.5228]","[3.432, 29.0595]","[6.1433, 31.2912]","[10.9399, 30.019]","[14.4366, 27.2686]","[13.4698, 25.7269]","[11.9367, 22.3074]","[9.0396, 19.5501]"
"[27.0, 28.0]","[5.6622, 17.6846]","[2.9445, 17.7456]","[1.9959, 18.8578]","[2.1256, 21.3417]","[5.592, 22.2069]","[4.5694, 28.4129]","[7.6673, 30.2879]","[12.4546, 28.9621]","[11.6208, 30.5239]","[11.3812, 28.2367]","[11.5213, 22.9601]","[9.5166, 18.8898]"
