,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[17.0, 18.0]","[34.8731, 34.8766]","[34.5213, 36.1728]","[35.0827, 36.1993]","[35.1922, 35.9771]","[35.4099, 35.4099]","[35.4539, 35.4938]","[35.813, 35.8928]","[36.1687, 36.2884]","[36.1101, 36.2696]","[35.554, 35.7534]","[34.5591, 35.4022]","[34.639, 34.6837]"
"[18.0, 19.0]","[33.1859, 36.5573]","[33.1011, 37.0125]","[33.7124, 36.6843]","[33.8603, 36.7013]","[35.0659, 35.7529]","[35.1979, 36.1119]","[35.3586, 36.4997]","[35.3472, 36.7153]","[35.031, 36.6261]","[34.4869, 36.309]","[34.1841, 35.7801]","[33.6267, 35.9686]"
"[19.0, 20.0]","[33.2278, 36.3085]","[32.8366, 37.105]","[33.6813, 36.6253]","[33.7302, 36.6304]","[33.0593, 37.1862]","[33.2961, 37.0253]","[33.7047, 37.0362]","[34.1507, 37.0846]","[34.4032, 36.9394]","[34.3614, 36.5]","[34.1038, 35.9731]","[33.3116, 36.2169]"
"[20.0, 21.0]","[33.0947, 36.4256]","[32.8415, 37.0039]","[32.9485, 36.6719]","[32.616, 36.2395]","[31.4947, 36.814]","[32.0282, 36.7014]","[33.0145, 37.0415]","[33.9992, 37.3801]","[34.5034, 37.2381]","[34.4534, 36.542]","[33.7305, 36.1635]","[33.1156, 36.2201]"
"[21.0, 22.0]","[33.1407, 36.2717]","[32.6717, 37.0179]","[33.1654, 36.4253]","[33.0928, 36.0698]","[32.4626, 36.5434]","[32.9776, 36.651]","[33.7888, 37.0546]","[34.4903, 37.3486]","[34.7159, 37.1667]","[34.4698, 36.513]","[33.8061, 36.0607]","[33.2824, 36.017]"
"[22.0, 23.0]","[33.2871, 36.2712]","[32.4438, 37.3284]","[33.426, 36.2101]","[33.1118, 36.1925]","[32.9075, 36.4407]","[33.4086, 36.7121]","[34.1116, 37.1855]","[34.6179, 37.462]","[34.6399, 37.2544]","[34.2616, 36.6463]","[33.8136, 36.054]","[33.3235, 36.0931]"
"[23.0, 24.0]","[33.1026, 36.4877]","[33.0122, 36.9067]","[33.3561, 36.328]","[33.0653, 35.9839]","[32.6656, 36.1578]","[33.2032, 36.4025]","[34.0899, 36.9964]","[34.8077, 37.4214]","[34.9343, 37.2552]","[34.5253, 36.5533]","[33.6181, 36.2148]","[33.3586, 35.9664]"
"[24.0, 25.0]","[33.5697, 36.1466]","[33.1161, 36.7008]","[33.6274, 36.1079]","[33.4023, 36.3066]","[32.1354, 37.9706]","[35.4828, 35.4828]","[35.8111, 36.0307]","[35.2076, 36.9311]","[34.8026, 36.8287]","[34.1712, 36.4999]","[33.6231, 36.2535]","[33.4629, 36.1431]"
"[25.0, 26.0]","[33.111, 36.2359]","[32.8359, 36.5947]","[33.1077, 36.4631]","[33.1105, 36.672]","[33.1572, 36.9808]","[34.1767, 36.4415]","[34.6861, 36.3556]","[34.8385, 36.3279]","[34.8041, 36.0783]","[34.1346, 36.184]","[33.5793, 36.1755]","[33.2715, 36.1469]"
"[26.0, 27.0]","[32.6412, 36.3655]","[32.2326, 36.8036]","[32.5286, 36.7504]","[32.3551, 37.2569]","[32.7651, 37.1392]","[32.5093, 37.5848]","[32.8463, 37.3421]","[33.0814, 37.1222]","[33.357, 36.7623]","[33.656, 36.2442]","[33.2068, 36.3563]","[32.902, 36.3128]"
"[27.0, 28.0]","[32.6735, 36.1186]","[31.9846, 36.7719]","[31.9246, 37.103]","[31.9738, 37.4946]","[32.7265, 37.1591]","[32.7491, 37.4075]","[33.0424, 37.2307]","[33.3936, 36.8856]","[33.189, 36.9948]","[32.5908, 37.3576]","[32.8187, 36.7422]","[32.8895, 36.2246]"
"[28.0, 29.0]","[32.5454, 36.3674]","[31.9844, 36.9153]","[31.9102, 37.2674]","[32.2409, 37.3709]","[32.6865, 37.3222]","[32.8978, 37.3468]","[32.6407, 37.6757]","[33.119, 37.1632]","[33.1061, 37.0624]","[32.2843, 37.6614]","[32.5972, 36.9989]","[32.8904, 36.3056]"
"[29.0, 30.0]","[32.8348, 36.308]","[32.494, 36.7092]","[32.465, 36.9654]","[32.5513, 37.1742]","[32.699, 37.2944]","[32.8328, 37.3525]","[32.3593, 37.9288]","[32.6739, 37.6159]","[32.8064, 37.3609]","[32.2503, 37.6648]","[32.5401, 37.0449]","[33.0723, 36.216]"
"[30.0, 31.0]","[32.7809, 36.4554]","[32.512, 36.6854]","[32.4718, 36.8781]","[32.6499, 37.0403]","[32.8449, 37.2566]","[33.2022, 37.2088]","[32.7805, 37.7179]","[32.6805, 37.6856]","[32.661, 37.451]","[32.2482, 37.5933]","[32.6958, 36.9057]","[33.1581, 36.2355]"
"[31.0, 32.0]","[32.8513, 36.4598]","[32.6781, 36.6854]","[32.5788, 36.9362]","[32.5149, 37.248]","[32.944, 37.1418]","[33.1644, 37.2403]","[32.9143, 37.6819]","[32.8494, 37.7148]","[32.878, 37.4316]","[32.545, 37.3934]","[32.9527, 36.6425]","[33.1521, 36.2273]"
"[32.0, 33.0]","[33.0521, 36.3578]","[32.7162, 36.6319]","[32.6753, 36.7229]","[32.3743, 37.2837]","[33.0022, 37.0934]","[33.247, 37.2736]","[32.961, 37.747]","[32.945, 37.6249]","[33.0196, 37.1967]","[32.5812, 37.2719]","[32.9257, 36.6898]","[33.2105, 36.2834]"
"[33.0, 34.0]","[32.9094, 36.4409]","[32.6817, 36.6433]","[32.7526, 36.7071]","[32.4666, 37.3081]","[33.1303, 37.0549]","[33.3172, 37.2075]","[32.92, 37.726]","[32.9571, 37.5594]","[32.9083, 37.3195]","[32.662, 37.2515]","[33.2472, 36.4105]","[33.2214, 36.2507]"
"[34.0, 35.0]","[33.1169, 36.3257]","[32.6387, 36.741]","[32.8449, 36.6139]","[32.448, 37.3088]","[33.0322, 37.1711]","[33.2481, 37.3421]","[32.986, 37.73]","[33.0025, 37.5347]","[33.0106, 37.1798]","[32.7305, 37.1359]","[33.23, 36.4315]","[33.1791, 36.3632]"
"[35.0, 36.0]","[33.0437, 36.3771]","[32.7843, 36.598]","[32.7571, 36.7412]","[32.5087, 37.3064]","[33.0758, 37.1727]","[33.2913, 37.3139]","[33.1253, 37.5869]","[32.7918, 37.7486]","[32.7873, 37.4253]","[32.809, 37.0854]","[33.1686, 36.5027]","[33.2212, 36.3052]"
