,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[175.0, 200.0]","[3.524, 10.6648]","[4.8829, 9.5876]","[5.7086, 9.3893]","[5.8884, 9.7164]","[5.7606, 9.7321]","[4.9146, 9.8113]","[4.4173, 9.3906]","[3.5985, 9.7492]","[2.5668, 10.9672]","[4.7077, 9.3113]","[4.0379, 10.2718]","[4.9983, 9.2645]"
"[200.0, 225.0]","[3.0051, 10.2285]","[4.0632, 9.6386]","[4.455, 9.7053]","[5.0156, 9.311]","[4.7167, 9.3187]","[4.6379, 8.7656]","[3.9416, 8.818]","[3.6405, 8.7569]","[3.0357, 9.3393]","[4.4389, 8.0999]","[3.3256, 9.3985]","[4.2154, 8.7045]"
"[225.0, 250.0]","[2.9094, 9.1582]","[3.456, 9.027]","[4.2814, 8.6321]","[4.1371, 8.9179]","[4.3666, 8.3676]","[4.505, 7.5853]","[3.3901, 8.0947]","[3.5831, 7.6323]","[3.2076, 8.0931]","[4.3441, 7.185]","[3.2727, 8.4314]","[3.6723, 8.1597]"
"[250.0, 275.0]","[3.0366, 7.964]","[3.2528, 8.1329]","[4.1551, 7.6262]","[3.2926, 8.6308]","[4.1971, 7.468]","[4.3632, 6.7621]","[3.2737, 7.3327]","[3.5587, 6.7977]","[3.1543, 7.2384]","[4.3322, 6.2152]","[3.096, 7.5746]","[3.4461, 7.3325]"
"[275.0, 300.0]","[3.2547, 6.9048]","[3.2169, 7.3243]","[4.0571, 6.8401]","[3.1488, 7.8621]","[4.1362, 6.6587]","[4.2516, 6.1201]","[3.3822, 6.5942]","[3.6786, 6.0931]","[3.1851, 6.5625]","[4.2254, 5.5637]","[3.1384, 6.6898]","[3.5264, 6.3929]"
"[300.0, 325.0]","[3.2647, 6.2978]","[3.2748, 6.5888]","[4.0362, 6.1296]","[3.1091, 7.1731]","[4.0974, 6.0281]","[4.0994, 5.6877]","[3.515, 5.9485]","[3.6628, 5.6351]","[3.1714, 6.1133]","[4.1243, 5.1977]","[3.2666, 6.0767]","[3.6623, 5.7303]"
"[325.0, 350.0]","[3.3531, 5.7804]","[3.3588, 6.0189]","[3.9585, 5.673]","[3.3164, 6.4259]","[4.0782, 5.5542]","[4.0178, 5.3503]","[3.5754, 5.5296]","[3.6332, 5.3282]","[3.1338, 5.8052]","[4.0089, 4.9502]","[3.3268, 5.6417]","[3.6683, 5.333]"
"[350.0, 375.0]","[3.4703, 5.3806]","[3.3902, 5.6617]","[3.9182, 5.3278]","[3.5253, 5.7986]","[4.0166, 5.2174]","[3.9216, 5.1057]","[3.626, 5.1905]","[3.6005, 5.0883]","[3.0887, 5.5627]","[3.9068, 4.7503]","[3.3069, 5.3668]","[3.6208, 5.1029]"
"[375.0, 400.0]","[3.1365, 5.4765]","[3.335, 5.4347]","[3.8164, 5.0984]","[3.6784, 5.2984]","[3.9257, 4.9919]","[3.8481, 4.9164]","[3.6285, 4.9625]","[3.5496, 4.9155]","[3.0214, 5.3877]","[3.8212, 4.5843]","[3.2525, 5.1814]","[3.5653, 4.9326]"
"[400.0, 425.0]","[3.2616, 5.1048]","[3.2263, 5.287]","[3.6995, 4.9452]","[3.6971, 5.0053]","[3.8302, 4.8269]","[3.7776, 4.7531]","[3.5958, 4.7843]","[3.5209, 4.7385]","[2.991, 5.2003]","[3.7162, 4.4547]","[3.1673, 5.0228]","[3.4767, 4.7764]"
