,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2700.0, 2800.0]","[3.15, 3.21]","[3.15, 3.21]","[3.15, 3.21]","[3.15, 3.21]","[3.15, 3.2]","[3.14, 3.2]","[3.14, 3.2]","[3.14, 3.2]","[3.14, 3.2]","[3.14, 3.2]","[3.14, 3.2]","[3.15, 3.2]"
"[2800.0, 2900.0]","[3.14, 3.19]","[3.14, 3.19]","[3.14, 3.19]","[3.14, 3.19]","[3.14, 3.19]","[3.14, 3.19]","[3.13, 3.19]","[3.13, 3.19]","[3.13, 3.19]","[3.13, 3.19]","[3.13, 3.19]","[3.14, 3.19]"
"[2900.0, 3000.0]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]","[3.13, 3.18]"
"[3000.0, 3100.0]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]","[3.12, 3.17]"
"[3100.0, 3200.0]","[3.11, 3.16]","[3.12, 3.16]","[3.12, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]","[3.11, 3.16]"
"[3200.0, 3300.0]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]","[3.11, 3.15]"
"[3300.0, 3400.0]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]"
"[3400.0, 3500.0]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]","[3.1, 3.14]"
"[3500.0, 3600.0]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.13]"
"[3600.0, 3700.0]","[3.09, 3.13]","[3.09, 3.13]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]","[3.09, 3.12]"
