,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2700.0, 2800.0]","[34.7123, 34.8476]","[34.7005, 34.8134]","[34.4668, 35.0185]","[34.5948, 34.9001]","[34.6838, 34.8456]","[34.7217, 34.8337]","[34.7109, 34.8418]","[34.7248, 34.8081]","[34.7181, 34.8073]","[34.7319, 34.8135]","[34.7372, 34.8395]","[34.7354, 34.8514]"
"[2800.0, 2900.0]","[34.7051, 34.8267]","[34.6928, 34.7925]","[34.4556, 35.0016]","[34.5878, 34.8806]","[34.6746, 34.8302]","[34.7077, 34.8246]","[34.7041, 34.826]","[34.7158, 34.794]","[34.7077, 34.7937]","[34.7212, 34.7992]","[34.7257, 34.825]","[34.7276, 34.8321]"
"[2900.0, 3000.0]","[34.7017, 34.8047]","[34.6861, 34.774]","[34.4479, 34.9835]","[34.5757, 34.8657]","[34.6641, 34.8135]","[34.7102, 34.796]","[34.6995, 34.8065]","[34.7064, 34.781]","[34.7026, 34.7763]","[34.7161, 34.7805]","[34.719, 34.8063]","[34.722, 34.8119]"
"[3000.0, 3100.0]","[34.7009, 34.7835]","[34.6818, 34.757]","[34.4383, 34.9711]","[34.5661, 34.8522]","[34.6554, 34.7987]","[34.7013, 34.7827]","[34.6966, 34.7891]","[34.7001, 34.7678]","[34.6944, 34.7642]","[34.7105, 34.764]","[34.7141, 34.788]","[34.7193, 34.7916]"
"[3100.0, 3200.0]","[34.6965, 34.7702]","[34.6782, 34.7433]","[34.4329, 34.9583]","[34.5581, 34.8403]","[34.6458, 34.7876]","[34.6931, 34.7711]","[34.69, 34.7781]","[34.6926, 34.7592]","[34.6884, 34.7541]","[34.7049, 34.7519]","[34.7102, 34.773]","[34.7164, 34.7758]"
"[3200.0, 3300.0]","[34.6878, 34.7633]","[34.6757, 34.7302]","[34.4286, 34.9467]","[34.551, 34.8313]","[34.6391, 34.7785]","[34.6844, 34.7647]","[34.6856, 34.7683]","[34.686, 34.7521]","[34.6828, 34.7455]","[34.6966, 34.7453]","[34.7054, 34.7623]","[34.7115, 34.765]"
"[3300.0, 3400.0]","[34.6647, 34.7731]","[34.6642, 34.7286]","[34.4254, 34.9365]","[34.544, 34.8243]","[34.6336, 34.7698]","[34.6776, 34.7581]","[34.6811, 34.7602]","[34.681, 34.745]","[34.6776, 34.7383]","[34.6886, 34.7401]","[34.7005, 34.7535]","[34.7071, 34.7558]"
"[3400.0, 3500.0]","[34.6384, 34.787]","[34.6677, 34.7124]","[34.4213, 34.9272]","[34.5367, 34.8182]","[34.6281, 34.7626]","[34.6692, 34.7545]","[34.6749, 34.7547]","[34.6755, 34.7379]","[34.6714, 34.7305]","[34.5855, 34.8286]","[34.6951, 34.7448]","[34.7021, 34.7476]"
"[3500.0, 3600.0]","[34.6135, 34.7992]","[34.6619, 34.706]","[34.4083, 34.9277]","[34.5301, 34.8115]","[34.6212, 34.7559]","[34.6629, 34.7476]","[34.6687, 34.7484]","[34.6691, 34.732]","[34.6645, 34.7245]","[34.5641, 34.8362]","[34.6893, 34.7364]","[34.6966, 34.7396]"
"[3600.0, 3700.0]","[34.5896, 34.8099]","[34.6578, 34.6973]","[34.4032, 34.9204]","[34.5254, 34.8039]","[34.6166, 34.7479]","[34.6554, 34.7427]","[34.663, 34.7422]","[34.6633, 34.7267]","[34.6579, 34.7206]","[34.5804, 34.8091]","[34.6843, 34.7295]","[34.6909, 34.7323]"
"[3700.0, 3800.0]","[34.5751, 34.8124]","[34.6534, 34.6902]","[34.3978, 34.9146]","[34.5195, 34.7982]","[34.61, 34.7426]","[34.6486, 34.7375]","[34.6584, 34.7356]","[34.658, 34.7218]","[34.6524, 34.7162]","[34.5875, 34.7915]","[34.6799, 34.7225]","[34.6865, 34.7247]"
"[3800.0, 3900.0]","[34.5663, 34.8105]","[34.6498, 34.6833]","[34.3942, 34.9078]","[34.516, 34.7912]","[34.6045, 34.7373]","[34.6418, 34.7337]","[34.6536, 34.7302]","[34.6525, 34.7175]","[34.6486, 34.7104]","[34.5893, 34.7797]","[34.6748, 34.7171]","[34.6828, 34.7176]"
"[3900.0, 4000.0]","[34.5566, 34.81]","[34.6475, 34.6756]","[34.3902, 34.9023]","[34.51, 34.7879]","[34.6005, 34.7319]","[34.636, 34.7299]","[34.649, 34.7255]","[34.6482, 34.7131]","[34.6448, 34.706]","[34.5979, 34.7628]","[34.67, 34.7128]","[34.6792, 34.7113]"
"[4000.0, 4100.0]","[34.5558, 34.8028]","[34.6449, 34.67]","[34.3859, 34.8981]","[34.506, 34.7836]","[34.5961, 34.728]","[34.6306, 34.7273]","[34.6443, 34.7221]","[34.644, 34.7094]","[34.6463, 34.6966]","[34.5918, 34.7611]","[34.666, 34.7091]","[34.6767, 34.7061]"
"[4100.0, 4200.0]","[34.5524, 34.7986]","[34.6428, 34.6649]","[34.3768, 34.9004]","[34.4994, 34.7832]","[34.5937, 34.7234]","[34.6276, 34.7231]","[34.6399, 34.7197]","[34.6411, 34.7055]","[34.6453, 34.6907]","[34.588, 34.7576]","[34.6629, 34.7045]","[34.6741, 34.7007]"
"[4200.0, 4300.0]","[34.5602, 34.7869]","[34.6406, 34.6612]","[34.371, 34.8992]","[34.4927, 34.7839]","[34.5904, 34.7224]","[34.6469, 34.6996]","[34.6357, 34.7167]","[34.6396, 34.6959]","[34.6577, 34.6654]","[34.5815, 34.7532]","[34.6596, 34.7009]","[34.6731, 34.6979]"
"[4300.0, 4400.0]","[34.5655, 34.7748]","[34.638, 34.6575]","[34.3644, 34.9023]","[34.4882, 34.7852]","[34.5822, 34.7218]","[34.6551, 34.6733]","[34.6609, 34.6673]","[34.6526, 34.6608]","[34.6515, 34.6583]","[34.5763, 34.7539]","[34.6589, 34.7004]","[34.675, 34.6922]"
