,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150.0, 175.0]","[3.5374, 5.0072]","[3.2219, 4.7525]","[3.1585, 4.4384]","[3.2908, 4.2857]","[3.1019, 4.7769]","[3.4868, 4.8324]","[3.6246, 5.0917]","[3.595, 5.4086]","[3.5765, 5.6312]","[3.8049, 5.5324]","[3.4218, 5.896]","[3.7777, 5.2731]"
"[175.0, 200.0]","[3.5131, 5.0098]","[3.1012, 4.9132]","[3.261, 4.3829]","[3.2557, 4.3201]","[3.1922, 4.6183]","[3.3892, 4.8126]","[3.5716, 5.0083]","[3.5212, 5.3402]","[3.3013, 5.7526]","[3.7394, 5.4316]","[3.5227, 5.6407]","[3.7238, 5.2263]"
"[200.0, 225.0]","[3.479, 4.9832]","[3.1232, 4.887]","[3.2644, 4.3805]","[3.2824, 4.2522]","[3.1494, 4.5597]","[3.3739, 4.6772]","[3.5296, 4.8689]","[3.4334, 5.2245]","[3.3595, 5.471]","[3.7112, 5.2292]","[3.4318, 5.5265]","[3.591, 5.2181]"
"[225.0, 250.0]","[3.4804, 4.9191]","[3.1847, 4.8046]","[3.2649, 4.3689]","[3.2924, 4.2165]","[3.1678, 4.4884]","[3.3192, 4.6445]","[3.5035, 4.7649]","[3.4519, 5.0285]","[3.3473, 5.2684]","[3.6319, 5.0867]","[3.444, 5.3254]","[3.5143, 5.1678]"
"[250.0, 275.0]","[3.496, 4.8312]","[3.2067, 4.7626]","[3.2632, 4.3701]","[3.3316, 4.1568]","[3.1766, 4.4175]","[3.3032, 4.5602]","[3.4877, 4.6573]","[3.405, 4.938]","[3.2952, 5.1674]","[3.5631, 4.9881]","[3.3892, 5.2164]","[3.4903, 5.0622]"
"[275.0, 300.0]","[3.5354, 4.7134]","[3.2275, 4.6999]","[3.2623, 4.345]","[3.3354, 4.1215]","[3.1765, 4.3673]","[3.2824, 4.5067]","[3.467, 4.5772]","[3.4157, 4.7979]","[3.2912, 5.0164]","[3.5322, 4.8515]","[3.3409, 5.1078]","[3.4737, 4.9559]"
"[300.0, 325.0]","[3.5233, 4.6511]","[3.2737, 4.6301]","[3.2712, 4.338]","[3.36, 4.087]","[3.1912, 4.307]","[3.2426, 4.4671]","[3.4459, 4.5016]","[3.403, 4.7072]","[3.269, 4.9247]","[3.49, 4.7629]","[3.2983, 5.0114]","[3.4376, 4.8716]"
"[325.0, 350.0]","[3.5021, 4.5952]","[3.2928, 4.5725]","[3.2799, 4.3155]","[3.3715, 4.0609]","[3.202, 4.2595]","[3.2311, 4.4136]","[3.4305, 4.43]","[3.3796, 4.6296]","[3.2647, 4.8168]","[3.4659, 4.6645]","[3.2591, 4.9254]","[3.4153, 4.7836]"
"[350.0, 375.0]","[3.4891, 4.53]","[3.3115, 4.5129]","[3.294, 4.2863]","[3.3858, 4.0336]","[3.2133, 4.2173]","[3.2189, 4.3699]","[3.4117, 4.3726]","[3.3672, 4.5517]","[3.2736, 4.7052]","[3.4344, 4.5808]","[3.2347, 4.8293]","[3.3885, 4.7016]"
"[375.0, 400.0]","[3.4602, 4.4782]","[3.3314, 4.4425]","[3.3003, 4.2583]","[3.3851, 4.0232]","[3.2218, 4.1839]","[3.214, 4.3226]","[3.3918, 4.3161]","[3.3528, 4.4781]","[3.2774, 4.6106]","[3.4198, 4.5017]","[3.205, 4.7605]","[3.3708, 4.622]"
