,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150.0, 175.0]","[34.7394, 35.0199]","[34.7581, 34.9902]","[34.7781, 34.976]","[34.7937, 34.9699]","[34.772, 34.9937]","[34.7505, 35.0119]","[34.7968, 34.9695]","[34.7359, 35.0491]","[34.7855, 35.0252]","[34.7994, 35.0255]","[34.7882, 35.0269]","[34.7764, 35.0106]"
"[175.0, 200.0]","[34.7581, 35.0301]","[34.7506, 35.0212]","[34.776, 34.9913]","[34.794, 34.9773]","[34.7863, 34.9918]","[34.7556, 35.0301]","[34.8114, 34.9852]","[34.751, 35.0616]","[34.7723, 35.0572]","[34.8036, 35.0346]","[34.7934, 35.0385]","[34.7917, 35.0202]"
"[200.0, 225.0]","[34.7727, 35.0212]","[34.7586, 35.0163]","[34.7756, 34.9913]","[34.8002, 34.9691]","[34.7892, 34.9868]","[34.7711, 35.0121]","[34.8196, 34.9722]","[34.7469, 35.0576]","[34.7875, 35.0329]","[34.8117, 35.0206]","[34.8007, 35.0311]","[34.8127, 35.004]"
"[225.0, 250.0]","[34.7991, 35.0011]","[34.7712, 35.0091]","[34.7831, 34.9857]","[34.8028, 34.9653]","[34.7937, 34.9801]","[34.7757, 35.0052]","[34.8242, 34.9639]","[34.7554, 35.0425]","[34.7968, 35.0146]","[34.8155, 35.0087]","[34.8094, 35.019]","[34.8221, 34.9973]"
"[250.0, 275.0]","[34.817, 34.9865]","[34.7837, 35.001]","[34.7891, 34.9819]","[34.8078, 34.9591]","[34.7987, 34.9719]","[34.7784, 34.9991]","[34.8278, 34.957]","[34.7576, 35.0359]","[34.7955, 35.0094]","[34.8167, 35.0003]","[34.8146, 35.0088]","[34.8282, 34.9905]"
"[275.0, 300.0]","[34.8345, 34.9706]","[34.795, 34.9928]","[34.7995, 34.9735]","[34.811, 34.9556]","[34.8027, 34.9659]","[34.7831, 34.9916]","[34.8292, 34.9523]","[34.7552, 35.0336]","[34.7984, 34.9998]","[34.8195, 34.9899]","[34.8208, 34.9967]","[34.8334, 34.9832]"
"[300.0, 325.0]","[34.8381, 34.966]","[34.809, 34.9809]","[34.8117, 34.9645]","[34.8145, 34.9537]","[34.8063, 34.9611]","[34.7867, 34.9849]","[34.8309, 34.9469]","[34.7627, 35.0226]","[34.8032, 34.9913]","[34.8205, 34.984]","[34.8246, 34.9874]","[34.8363, 34.9762]"
"[325.0, 350.0]","[34.8416, 34.9618]","[34.8208, 34.9713]","[34.8229, 34.9561]","[34.8184, 34.9509]","[34.8129, 34.9532]","[34.7907, 34.978]","[34.8314, 34.9434]","[34.7693, 35.0129]","[34.8051, 34.9853]","[34.8237, 34.9752]","[34.8267, 34.9793]","[34.839, 34.9693]"
"[350.0, 375.0]","[34.843, 34.9577]","[34.8278, 34.9643]","[34.8286, 34.952]","[34.8247, 34.9458]","[34.8189, 34.9466]","[34.7941, 34.9723]","[34.8315, 34.9399]","[34.7717, 35.0066]","[34.8104, 34.9755]","[34.8231, 34.9705]","[34.8306, 34.9696]","[34.8321, 34.9712]"
"[375.0, 400.0]","[34.8428, 34.9545]","[34.8318, 34.9588]","[34.8331, 34.948]","[34.8306, 34.9412]","[34.8257, 34.94]","[34.7988, 34.9657]","[34.8306, 34.937]","[34.766, 35.0078]","[34.8136, 34.968]","[34.8271, 34.9625]","[34.8326, 34.9635]","[34.8421, 34.9571]"
