,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[175.0, 200.0]","[33.6305, 33.8363]","[33.6373, 33.8267]","[33.5641, 33.875]","[33.5728, 33.8435]","[33.5916, 33.8292]","[33.6034, 33.8487]","[33.5713, 33.913]","[33.5785, 33.9115]","[33.5733, 33.8934]","[33.597, 33.8412]","[33.6223, 33.8087]","[33.6275, 33.8204]"
"[200.0, 225.0]","[33.6699, 33.8552]","[33.6796, 33.848]","[33.6286, 33.8809]","[33.6416, 33.8478]","[33.6574, 33.8329]","[33.6766, 33.8393]","[33.6464, 33.8991]","[33.6369, 33.9168]","[33.625, 33.9093]","[33.6343, 33.872]","[33.666, 33.8288]","[33.6526, 33.8541]"
"[225.0, 250.0]","[33.7096, 33.8756]","[33.7172, 33.8698]","[33.6759, 33.8954]","[33.6837, 33.8696]","[33.6947, 33.8579]","[33.707, 33.8656]","[33.6888, 33.9084]","[33.6766, 33.9285]","[33.6699, 33.9209]","[33.6789, 33.8901]","[33.7073, 33.8528]","[33.6943, 33.8757]"
"[250.0, 275.0]","[33.7327, 33.9133]","[33.7588, 33.891]","[33.727, 33.9115]","[33.731, 33.8918]","[33.7381, 33.881]","[33.74, 33.8925]","[33.7278, 33.924]","[33.7182, 33.9414]","[33.7123, 33.9373]","[33.7181, 33.9143]","[33.7515, 33.873]","[33.7313, 33.901]"
"[275.0, 300.0]","[33.7665, 33.9429]","[33.7942, 33.9197]","[33.7757, 33.9303]","[33.7769, 33.9168]","[33.782, 33.9071]","[33.7823, 33.9146]","[33.7705, 33.939]","[33.7611, 33.9533]","[33.7566, 33.9503]","[33.766, 33.9286]","[33.7872, 33.9026]","[33.7744, 33.9228]"
"[300.0, 325.0]","[33.7988, 33.9767]","[33.8251, 33.9533]","[33.8165, 33.9557]","[33.8215, 33.9415]","[33.8216, 33.9371]","[33.823, 33.9386]","[33.7989, 33.9678]","[33.8009, 33.9662]","[33.795, 33.9665]","[33.808, 33.9477]","[33.8176, 33.9392]","[33.815, 33.9506]"
"[325.0, 350.0]","[33.8103, 34.0106]","[33.846, 33.9826]","[33.8528, 33.9793]","[33.8585, 33.9721]","[33.859, 33.9683]","[33.8566, 33.9683]","[33.8365, 33.9872]","[33.8244, 33.9969]","[33.8375, 33.9792]","[33.8396, 33.9717]","[33.8349, 33.9742]","[33.8277, 33.985]"
"[350.0, 375.0]","[33.8557, 34.0275]","[33.8734, 34.0115]","[33.8867, 33.9989]","[33.8915, 33.9953]","[33.8946, 33.9939]","[33.8886, 34.0005]","[33.8721, 34.0145]","[33.8618, 34.0195]","[33.8682, 34.0077]","[33.8704, 34.0033]","[33.8828, 33.9927]","[33.8742, 34.0053]"
"[375.0, 400.0]","[33.8932, 34.0495]","[33.9047, 34.038]","[33.912, 34.0302]","[33.9258, 34.0178]","[33.9286, 34.0177]","[33.9185, 34.0284]","[33.9051, 34.0382]","[33.8966, 34.04]","[33.9013, 34.0298]","[33.9045, 34.0261]","[33.9142, 34.0204]","[33.9052, 34.0348]"
"[400.0, 425.0]","[33.926, 34.0718]","[33.9369, 34.0662]","[33.9538, 34.0522]","[33.96, 34.0458]","[33.96, 34.0428]","[33.9445, 34.0542]","[33.9305, 34.064]","[33.9317, 34.0593]","[33.9315, 34.0569]","[33.9335, 34.0537]","[33.9417, 34.0467]","[33.9303, 34.0619]"
