,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2200.0, 2300.0]","[1.7807, 1.8977]","[1.7827, 1.8998]","[1.7806, 1.907]","[1.7804, 1.9089]","[1.7844, 1.9017]","[1.7762, 1.9042]","[1.7774, 1.8992]","[1.777, 1.9]","[1.7783, 1.9014]","[1.7753, 1.9059]","[1.7808, 1.8991]","[1.7809, 1.897]"
"[2300.0, 2400.0]","[1.741, 1.853]","[1.7418, 1.8558]","[1.7397, 1.8625]","[1.7404, 1.8635]","[1.7455, 1.8555]","[1.7357, 1.86]","[1.7367, 1.8553]","[1.7383, 1.854]","[1.7371, 1.858]","[1.737, 1.8599]","[1.7403, 1.8557]","[1.7406, 1.8533]"
"[2400.0, 2500.0]","[1.7029, 1.8087]","[1.7026, 1.8122]","[1.6997, 1.8191]","[1.7016, 1.8185]","[1.706, 1.8113]","[1.6959, 1.8168]","[1.6984, 1.8114]","[1.7007, 1.8099]","[1.698, 1.8153]","[1.6999, 1.8149]","[1.7019, 1.8117]","[1.7022, 1.8093]"
"[2500.0, 2600.0]","[1.6688, 1.7668]","[1.6686, 1.7698]","[1.6655, 1.7762]","[1.6678, 1.7746]","[1.671, 1.7687]","[1.6619, 1.7737]","[1.6646, 1.7688]","[1.6652, 1.7694]","[1.6635, 1.7738]","[1.6659, 1.7728]","[1.6674, 1.7702]","[1.6682, 1.7675]"
"[2600.0, 2700.0]","[1.6388, 1.7286]","[1.6379, 1.7317]","[1.6349, 1.7372]","[1.637, 1.7354]","[1.6405, 1.7294]","[1.6333, 1.7333]","[1.6346, 1.7306]","[1.6357, 1.7306]","[1.6348, 1.7337]","[1.6354, 1.734]","[1.6374, 1.731]","[1.6385, 1.7286]"
"[2700.0, 2800.0]","[1.6129, 1.6935]","[1.6114, 1.697]","[1.6089, 1.7015]","[1.6113, 1.6995]","[1.6137, 1.695]","[1.6071, 1.6986]","[1.608, 1.6961]","[1.6088, 1.696]","[1.6102, 1.6965]","[1.6076, 1.7002]","[1.6109, 1.6963]","[1.6124, 1.6938]"
"[2800.0, 2900.0]","[1.5903, 1.662]","[1.5883, 1.6662]","[1.5875, 1.6692]","[1.5873, 1.6696]","[1.5895, 1.6648]","[1.5833, 1.6675]","[1.5834, 1.6654]","[1.5843, 1.6653]","[1.5863, 1.6655]","[1.5853, 1.6678]","[1.5873, 1.6654]","[1.5887, 1.6631]"
"[2900.0, 3000.0]","[1.569, 1.6351]","[1.568, 1.6385]","[1.5672, 1.6415]","[1.5665, 1.6422]","[1.5677, 1.6382]","[1.5626, 1.6394]","[1.5632, 1.6367]","[1.5629, 1.6376]","[1.5645, 1.6381]","[1.5662, 1.6379]","[1.5661, 1.6379]","[1.5679, 1.6356]"
"[3000.0, 3100.0]","[1.5514, 1.6105]","[1.5498, 1.6143]","[1.55, 1.616]","[1.5486, 1.617]","[1.5487, 1.6141]","[1.5455, 1.6138]","[1.5457, 1.6117]","[1.5444, 1.6136]","[1.5461, 1.6138]","[1.5489, 1.6123]","[1.5482, 1.613]","[1.5495, 1.6115]"
"[3100.0, 3200.0]","[1.5363, 1.5887]","[1.5343, 1.5928]","[1.5346, 1.5941]","[1.5336, 1.5945]","[1.5335, 1.5919]","[1.5306, 1.5917]","[1.5293, 1.5914]","[1.5292, 1.5922]","[1.5296, 1.5934]","[1.5336, 1.5906]","[1.533, 1.5912]","[1.5332, 1.5908]"
