,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2300.0, 2400.0]","[1.9605, 2.1855]","[1.9605, 2.1594]","[1.9671, 2.1482]","[1.958, 2.1775]","[1.9784, 2.1877]","[1.9939, 2.1939]","[2.0037, 2.1888]","[2.0086, 2.1795]","[1.9952, 2.1917]","[2.0072, 2.1841]","[2.0208, 2.1703]","[1.9868, 2.1885]"
"[2400.0, 2500.0]","[1.8807, 2.1116]","[1.8941, 2.0777]","[1.8839, 2.0913]","[1.8897, 2.112]","[1.894, 2.1384]","[1.9038, 2.1438]","[1.9251, 2.1179]","[1.9216, 2.1102]","[1.9098, 2.1187]","[1.9315, 2.1024]","[1.938, 2.0969]","[1.9091, 2.1107]"
"[2500.0, 2600.0]","[1.818, 2.0352]","[1.8288, 2.0026]","[1.8162, 2.02]","[1.8285, 2.0399]","[1.8141, 2.0903]","[1.8223, 2.0953]","[1.8423, 2.0599]","[1.8405, 2.0371]","[1.8249, 2.0423]","[1.8479, 2.028]","[1.8556, 2.0308]","[1.8493, 2.0295]"
"[2600.0, 2700.0]","[1.7615, 1.9573]","[1.7627, 1.9388]","[1.7536, 1.9524]","[1.7637, 1.9737]","[1.7414, 2.0326]","[1.742, 2.0448]","[1.7553, 2.0105]","[1.7596, 1.9706]","[1.7551, 1.9535]","[1.7657, 1.9475]","[1.7794, 1.9502]","[1.775, 1.959]"
"[2700.0, 2800.0]","[1.6956, 1.8904]","[1.7059, 1.872]","[1.7002, 1.8858]","[1.6919, 1.9237]","[1.6813, 1.9668]","[1.6734, 1.9825]","[1.6764, 1.9529]","[1.6932, 1.8934]","[1.6932, 1.8644]","[1.6949, 1.8628]","[1.6989, 1.8773]","[1.7027, 1.8867]"
"[2800.0, 2900.0]","[1.6505, 1.8095]","[1.6514, 1.8116]","[1.6447, 1.832]","[1.6183, 1.8838]","[1.6276, 1.8962]","[1.6123, 1.9103]","[1.6079, 1.8861]","[1.6278, 1.8267]","[1.6455, 1.7825]","[1.6404, 1.7858]","[1.6435, 1.7974]","[1.6415, 1.8136]"
"[2900.0, 3000.0]","[1.6084, 1.7388]","[1.6023, 1.7549]","[1.5922, 1.7812]","[1.56, 1.8333]","[1.5681, 1.8368]","[1.5576, 1.839]","[1.5504, 1.8187]","[1.5707, 1.7655]","[1.6008, 1.7146]","[1.5918, 1.722]","[1.5956, 1.7295]","[1.5901, 1.7479]"
"[3000.0, 3100.0]","[1.5581, 1.689]","[1.5488, 1.7098]","[1.5458, 1.7272]","[1.4965, 1.7903]","[1.5045, 1.7863]","[1.5024, 1.7753]","[1.4893, 1.7612]","[1.5089, 1.7131]","[1.5482, 1.658]","[1.5427, 1.665]","[1.5483, 1.6723]","[1.5388, 1.6965]"
"[3100.0, 3200.0]","[1.4989, 1.6414]","[1.4912, 1.6633]","[1.4849, 1.6853]","[1.431, 1.7504]","[1.4349, 1.7446]","[1.4352, 1.7256]","[1.4228, 1.7092]","[1.439, 1.6676]","[1.4919, 1.6034]","[1.489, 1.6108]","[1.4917, 1.6212]","[1.4812, 1.6459]"
"[3200.0, 3300.0]","[1.4303, 1.5937]","[1.423, 1.6163]","[1.4143, 1.6417]","[1.362, 1.7051]","[1.3633, 1.6998]","[1.3658, 1.6757]","[1.3526, 1.6584]","[1.3707, 1.6151]","[1.4229, 1.5536]","[1.4222, 1.5606]","[1.4296, 1.567]","[1.4218, 1.5889]"
"[3300.0, 3400.0]","[1.3664, 1.5343]","[1.3572, 1.5567]","[1.3449, 1.5842]","[1.2795, 1.6596]","[1.2894, 1.6444]","[1.288, 1.6226]","[1.2797, 1.5988]","[1.2915, 1.5621]","[1.3507, 1.496]","[1.3563, 1.5004]","[1.3673, 1.5062]","[1.3641, 1.5245]"
"[3400.0, 3500.0]","[1.2982, 1.4734]","[1.294, 1.4872]","[1.2781, 1.5132]","[1.1992, 1.5983]","[1.2153, 1.576]","[1.2069, 1.5623]","[1.2017, 1.5367]","[1.2039, 1.5104]","[1.2686, 1.4398]","[1.279, 1.442]","[1.2941, 1.4476]","[1.2966, 1.463]"
"[3500.0, 3600.0]","[1.2293, 1.4075]","[1.2194, 1.4214]","[1.2072, 1.4355]","[1.1243, 1.5179]","[1.1353, 1.4982]","[1.1222, 1.4905]","[1.1245, 1.4609]","[1.1225, 1.4424]","[1.1815, 1.381]","[1.1973, 1.3819]","[1.2117, 1.3928]","[1.2277, 1.398]"
"[3600.0, 3700.0]","[1.1601, 1.3346]","[1.1473, 1.346]","[1.1375, 1.3523]","[1.0468, 1.4384]","[1.0525, 1.4214]","[1.0382, 1.4145]","[1.0458, 1.3814]","[1.049, 1.362]","[1.0932, 1.3217]","[1.0999, 1.3377]","[1.1313, 1.3351]","[1.1494, 1.3379]"
"[3700.0, 3800.0]","[1.0888, 1.2602]","[1.072, 1.2717]","[1.0632, 1.2728]","[0.9743, 1.3533]","[0.9668, 1.3472]","[0.9504, 1.3421]","[0.9715, 1.2982]","[0.9843, 1.2738]","[1.0018, 1.2653]","[0.9917, 1.3021]","[1.0574, 1.267]","[1.077, 1.2673]"
"[3800.0, 3900.0]","[1.0049, 1.1915]","[0.9973, 1.1922]","[0.9873, 1.1938]","[0.9039, 1.2688]","[0.9007, 1.2588]","[0.8894, 1.2492]","[0.9077, 1.2089]","[0.9197, 1.1866]","[0.9216, 1.1952]","[0.9028, 1.2418]","[0.9853, 1.1897]","[1.0057, 1.188]"
"[3900.0, 4000.0]","[0.9272, 1.1156]","[0.925, 1.1115]","[0.9163, 1.1112]","[0.8352, 1.1822]","[0.836, 1.1672]","[0.8216, 1.162]","[0.8385, 1.1263]","[0.854, 1.1034]","[0.8498, 1.1189]","[0.8276, 1.167]","[0.9116, 1.1109]","[0.9322, 1.1076]"
"[4000.0, 4100.0]","[0.8512, 1.0395]","[0.8488, 1.0349]","[0.8438, 1.0317]","[0.7701, 1.0969]","[0.7728, 1.0814]","[0.7578, 1.0782]","[0.7717, 1.0468]","[0.7908, 1.0217]","[0.7888, 1.0356]","[0.7638, 1.0858]","[0.8459, 1.0294]","[0.8565, 1.0333]"
"[4100.0, 4200.0]","[0.7826, 0.9625]","[0.7856, 0.9522]","[0.7759, 0.9527]","[0.7139, 1.008]","[0.7162, 0.999]","[0.7004, 1.0043]","[0.7206, 0.9707]","[0.7458, 0.9371]","[0.7363, 0.9511]","[0.7117, 0.9937]","[0.7798, 0.9481]","[0.7886, 0.9544]"
"[4200.0, 4300.0]","[0.7354, 0.8803]","[0.7389, 0.8735]","[0.7231, 0.8825]","[0.6717, 0.9274]","[0.6768, 0.9182]","[0.6592, 0.9336]","[0.6935, 0.8978]","[0.7177, 0.8727]","[0.6968, 0.895]","[0.6738, 0.9235]","[0.7343, 0.8713]","[0.736, 0.8771]"
"[4300.0, 4400.0]","[0.7164, 0.8214]","[0.7023, 0.823]","[0.7061, 0.8101]","[0.6677, 0.848]","[0.6734, 0.8446]","[0.6621, 0.8517]","[0.6872, 0.8145]","[0.7003, 0.7903]","[0.7008, 0.7914]","[0.6722, 0.8366]","[0.7185, 0.8116]","[0.7259, 0.8158]"
