,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2300.0, 2400.0]","[34.4001, 34.7817]","[34.5384, 34.7225]","[34.6348, 34.7102]","[34.6616, 34.7132]","[34.6473, 34.7052]","[34.6321, 34.6984]","[34.6447, 34.7069]","[34.6738, 34.7263]","[34.6955, 34.7208]","[34.6644, 34.6949]","[34.6157, 34.6384]","[33.8667, 35.3091]"
"[2400.0, 2500.0]","[34.4068, 34.7885]","[34.5447, 34.7291]","[34.6437, 34.7148]","[34.6702, 34.7196]","[34.6574, 34.7111]","[34.6423, 34.704]","[34.6523, 34.7138]","[34.6803, 34.7331]","[34.7051, 34.7245]","[34.6737, 34.6995]","[34.6238, 34.645]","[33.8731, 35.317]"
"[2500.0, 2600.0]","[34.4144, 34.7902]","[34.55, 34.7315]","[34.6496, 34.7166]","[34.6757, 34.7235]","[34.6653, 34.7148]","[34.6537, 34.7047]","[34.6583, 34.7184]","[34.6859, 34.7359]","[34.7085, 34.7285]","[34.6804, 34.7014]","[34.6275, 34.6515]","[33.8783, 35.3224]"
"[2600.0, 2700.0]","[34.4191, 34.793]","[34.555, 34.7329]","[34.6536, 34.718]","[34.6795, 34.726]","[34.6702, 34.718]","[34.6646, 34.7033]","[34.6658, 34.7196]","[34.6911, 34.737]","[34.7091, 34.732]","[34.6822, 34.7034]","[34.6283, 34.6562]","[33.883, 35.325]"
"[2700.0, 2800.0]","[34.4213, 34.7959]","[34.5594, 34.7337]","[34.6571, 34.7197]","[34.6833, 34.7275]","[34.6747, 34.7196]","[34.6709, 34.7037]","[34.6728, 34.7185]","[34.6951, 34.7372]","[34.7093, 34.7341]","[34.6812, 34.7061]","[34.6295, 34.6574]","[33.8853, 35.3267]"
"[2800.0, 2900.0]","[34.4234, 34.798]","[34.5651, 34.7332]","[34.6606, 34.7218]","[34.6892, 34.7272]","[34.6794, 34.72]","[34.6744, 34.7045]","[34.6791, 34.7161]","[34.6981, 34.7374]","[34.711, 34.7353]","[34.682, 34.7079]","[34.6309, 34.6586]","[33.8897, 35.3254]"
"[2900.0, 3000.0]","[34.4249, 34.8001]","[34.5707, 34.7325]","[34.6629, 34.7252]","[34.6949, 34.7266]","[34.6853, 34.718]","[34.6772, 34.7046]","[34.682, 34.7159]","[34.7025, 34.7363]","[34.7139, 34.7361]","[34.684, 34.7092]","[34.5934, 34.6989]","[33.8929, 35.325]"
"[3000.0, 3100.0]","[34.4281, 34.802]","[34.5766, 34.7321]","[34.6648, 34.7284]","[34.6996, 34.7262]","[34.6903, 34.7163]","[34.6793, 34.705]","[34.6844, 34.7157]","[34.7065, 34.7346]","[34.7157, 34.7369]","[34.686, 34.7103]","[34.6366, 34.6593]","[33.8974, 35.3249]"
"[3100.0, 3200.0]","[34.4293, 34.8045]","[34.5799, 34.7333]","[34.6665, 34.7313]","[34.7029, 34.727]","[34.695, 34.7145]","[34.6821, 34.7041]","[34.6877, 34.7138]","[34.7087, 34.7339]","[34.7168, 34.7375]","[34.687, 34.7111]","[34.6379, 34.6602]","[33.9004, 35.3247]"
"[3200.0, 3300.0]","[34.4319, 34.8043]","[34.5821, 34.734]","[34.668, 34.733]","[34.7036, 34.7292]","[34.6987, 34.713]","[34.6855, 34.7022]","[34.6911, 34.7114]","[34.7105, 34.7328]","[34.7178, 34.7371]","[34.6882, 34.7108]","[34.639, 34.6604]","[33.9018, 35.3251]"
"[3300.0, 3400.0]","[34.4324, 34.8043]","[34.583, 34.7341]","[34.6687, 34.7334]","[34.7034, 34.7304]","[34.7, 34.7123]","[34.6869, 34.7008]","[34.692, 34.7101]","[34.7114, 34.7312]","[34.7177, 34.7364]","[34.6881, 34.7102]","[34.639, 34.6598]","[33.9021, 35.3247]"
"[3400.0, 3500.0]","[34.4323, 34.8036]","[34.5826, 34.7337]","[34.6681, 34.733]","[34.7021, 34.7307]","[34.6995, 34.7118]","[34.6872, 34.6996]","[34.6921, 34.7089]","[34.7115, 34.7296]","[34.7169, 34.7355]","[34.6869, 34.7097]","[34.6387, 34.6589]","[33.904, 35.3219]"
"[3500.0, 3600.0]","[34.4316, 34.8024]","[34.5818, 34.7324]","[34.6673, 34.7318]","[34.7006, 34.73]","[34.698, 34.7113]","[34.6869, 34.6978]","[34.6917, 34.707]","[34.7104, 34.7281]","[34.7154, 34.7344]","[34.6858, 34.7083]","[34.6375, 34.6578]","[33.9041, 35.3198]"
"[3600.0, 3700.0]","[34.4302, 34.8012]","[34.5809, 34.7309]","[34.6658, 34.7311]","[34.6995, 34.729]","[34.697, 34.71]","[34.6861, 34.6961]","[34.6907, 34.7052]","[34.7091, 34.7266]","[34.7134, 34.7334]","[34.6844, 34.7068]","[34.6358, 34.6567]","[33.9036, 35.3175]"
