,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 16],[30.90, 33.87],[32.49, 32.93],[32.14, 33.30],[31.83, 32.79],[30.12, 33.38],[29.08, 33.86],[30.38, 32.91],[30.95, 33.18],[30.82, 33.87],[31.70, 32.90],[31.61, 32.62],[30.41, 33.81]
[16, 17],[30.55, 34.25],[32.09, 33.31],[31.76, 33.67],[32.00, 32.70],[30.04, 33.66],[29.67, 33.52],[30.68, 32.83],[31.11, 33.13],[30.87, 33.84],[31.61, 32.99],[31.63, 32.64],[30.37, 33.90]
[17, 18],[30.55, 34.27],[31.76, 33.64],[31.61, 33.83],[32.06, 32.70],[30.13, 33.72],[29.96, 33.42],[30.62, 33.05],[31.23, 33.09],[30.93, 33.79],[31.53, 33.07],[31.66, 32.63],[30.35, 33.96]
[18, 19],[30.54, 34.26],[31.66, 33.72],[31.53, 33.93],[32.13, 32.71],[30.26, 33.70],[30.17, 33.31],[29.20, 34.51],[31.20, 33.13],[30.96, 33.77],[31.54, 33.09],[31.70, 32.63],[30.36, 33.96]
[19, 20],[30.55, 34.24],[31.63, 33.73],[31.54, 33.95],[32.20, 32.73],[30.36, 33.68],[30.35, 33.16],[27.62, 36.06],[31.15, 33.13],[30.92, 33.80],[31.58, 33.10],[31.72, 32.66],[30.39, 33.96]
[20, 21],[30.58, 34.20],[31.62, 33.72],[31.53, 33.96],[32.25, 32.74],[30.47, 33.68],[30.53, 33.07],[26.68, 37.05],[31.12, 33.18],[30.94, 33.82],[31.64, 33.12],[31.77, 32.70],[30.41, 33.98]
[21, 22],[30.57, 34.20],[31.59, 33.72],[31.54, 33.96],[32.30, 32.74],[30.55, 33.68],[30.68, 33.01],[26.55, 37.24],[31.07, 33.26],[30.92, 33.85],[31.64, 33.12],[31.77, 32.71],[30.37, 34.02]
[22, 23],[30.58, 34.20],[31.59, 33.72],[31.55, 33.95],[32.32, 32.75],[30.66, 33.66],[30.84, 32.95],[26.40, 37.46],[31.13, 33.23],[30.96, 33.82],[31.64, 33.15],[31.77, 32.75],[30.35, 34.08]
[23, 24],[30.67, 34.15],[31.58, 33.72],[31.52, 33.94],[32.31, 32.76],[30.64, 33.74],[31.02, 32.91],[26.72, 37.30],[31.23, 33.24],[31.04, 33.79],[31.64, 33.16],[31.79, 32.76],[30.41, 34.08]
[24, 25],[30.69, 34.15],[31.61, 33.68],[31.56, 33.87],[32.31, 32.75],[30.61, 33.82],[31.07, 32.94],[27.16, 36.93],[31.31, 33.22],[31.07, 33.79],[31.64, 33.19],[31.80, 32.78],[30.46, 34.06]
[25, 26],[30.59, 34.25],[31.67, 33.60],[31.59, 33.83],[32.37, 32.74],[31.11, 33.43],[31.25, 32.93],[27.70, 36.56],[31.39, 33.24],[31.10, 33.80],[31.64, 33.20],[31.81, 32.79],[30.34, 34.21]
