,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 16],[9.74, 12.04],[9.05, 11.62],[9.30, 11.66],[9.84, 12.80],[10.68, 14.59],[11.34, 16.73],[11.75, 18.47],[8.83, 22.29],[8.24, 22.36],[11.19, 17.70],[10.86, 15.60],[10.25, 13.64]
[16, 17],[9.64, 12.15],[9.05, 11.67],[9.02, 12.00],[9.73, 12.90],[10.55, 14.49],[10.90, 16.64],[10.77, 18.69],[8.18, 22.16],[7.88, 22.15],[10.69, 17.90],[10.80, 15.57],[10.23, 13.65]
[17, 18],[9.66, 12.13],[9.01, 11.71],[8.95, 12.09],[9.73, 12.86],[10.47, 14.36],[10.68, 16.41],[10.01, 18.83],[8.20, 21.53],[7.63, 21.96],[10.20, 18.19],[10.70, 15.62],[10.28, 13.60]
[18, 19],[9.71, 12.07],[9.02, 11.69],[8.90, 12.14],[9.75, 12.81],[10.38, 14.26],[10.50, 16.17],[9.63, 18.60],[7.83, 21.29],[6.99, 22.16],[10.03, 18.17],[10.63, 15.67],[10.31, 13.59]
[19, 20],[9.75, 12.05],[9.02, 11.68],[8.87, 12.14],[9.72, 12.76],[10.33, 14.12],[10.40, 15.89],[9.05, 18.64],[7.64, 20.88],[6.71, 21.94],[9.53, 18.36],[10.55, 15.65],[10.34, 13.57]
[20, 21],[9.73, 12.05],[9.03, 11.68],[8.86, 12.16],[9.70, 12.72],[10.23, 14.01],[10.33, 15.56],[8.36, 18.76],[7.36, 20.55],[6.35, 21.80],[9.39, 18.19],[10.39, 15.65],[10.33, 13.51]
[21, 22],[9.76, 12.03],[9.03, 11.71],[8.89, 12.16],[9.68, 12.69],[10.16, 13.87],[10.23, 15.27],[8.14, 18.50],[7.07, 20.39],[6.10, 21.73],[9.18, 18.23],[10.40, 15.58],[10.33, 13.49]
[22, 23],[9.73, 12.03],[9.04, 11.71],[8.90, 12.18],[9.69, 12.63],[10.04, 13.73],[10.14, 14.90],[7.88, 18.25],[6.79, 20.31],[5.89, 21.83],[8.90, 18.56],[10.42, 15.62],[10.30, 13.53]
[23, 24],[9.70, 12.08],[9.07, 11.72],[8.92, 12.19],[9.69, 12.58],[9.93, 13.65],[10.20, 14.47],[7.78, 17.88],[6.40, 20.25],[5.29, 22.08],[8.53, 18.74],[10.32, 15.64],[10.28, 13.53]
[24, 25],[9.66, 12.13],[9.08, 11.75],[8.94, 12.17],[9.71, 12.45],[9.76, 13.55],[10.02, 14.26],[7.60, 17.61],[6.10, 20.12],[4.83, 22.19],[8.10, 18.90],[10.21, 15.58],[10.25, 13.49]
[25, 26],[9.68, 12.06],[9.08, 11.72],[9.01, 12.15],[9.65, 12.59],[9.84, 13.43],[10.10, 13.89],[8.03, 16.66],[6.38, 19.28],[4.45, 22.18],[7.97, 18.89],[10.15, 15.65],[10.31, 13.44]
[26, 27],[9.79, 12.02],[9.09, 11.75],[8.89, 12.20],[9.67, 12.42],[9.83, 13.24],[10.14, 13.61],[7.53, 16.87],[6.39, 18.92],[5.43, 20.84],[8.22, 18.36],[10.07, 15.59],[10.37, 13.39]
[27, 28],[9.83, 12.01],[9.10, 11.76],[8.87, 12.20],[9.66, 12.35],[9.81, 13.11],[10.09, 13.41],[7.55, 16.48],[6.50, 18.35],[5.25, 20.56],[7.48, 18.73],[9.96, 15.51],[10.38, 13.34]
[28, 29],[9.79, 12.06],[9.07, 11.77],[8.88, 12.16],[9.65, 12.30],[9.77, 13.03],[10.09, 13.21],[6.74, 16.98],[6.28, 18.22],[5.04, 20.46],[7.18, 18.83],[9.78, 15.61],[10.30, 13.40]
[29, 30],[9.79, 12.10],[9.17, 11.71],[8.90, 12.12],[9.63, 12.25],[9.77, 12.94],[10.10, 13.06],[6.35, 17.16],[6.09, 18.10],[4.75, 20.40],[6.87, 18.84],[9.56, 15.66],[10.24, 13.43]
[30, 31],[9.78, 12.09],[9.17, 11.71],[8.91, 12.13],[9.65, 12.22],[9.75, 12.84],[10.03, 12.82],[6.58, 16.44],[6.18, 17.47],[4.61, 20.08],[6.68, 18.75],[9.42, 15.67],[10.20, 13.43]
[31, 32],[9.77, 12.10],[9.14, 11.75],[8.92, 12.13],[9.66, 12.18],[9.72, 12.75],[9.95, 12.65],[7.33, 15.34],[5.81, 17.44],[4.57, 19.78],[6.46, 18.73],[9.23, 15.73],[10.20, 13.38]
[32, 33],[9.76, 12.11],[9.16, 11.74],[8.92, 12.12],[9.66, 12.14],[9.71, 12.63],[9.92, 12.47],[7.42, 14.97],[6.05, 16.91],[4.59, 19.49],[6.37, 18.63],[9.07, 15.80],[10.17, 13.39]
