,[1, 1],[2, 2],[3, 3],[4, 4],[5, 5],[6, 6],[7, 7],[8, 8],[9, 9],[10, 10],[11, 11],[12, 12]
[15, 16],[31.86, 33.13],[31.69, 33.23],[31.50, 33.18],[30.86, 33.58],[30.60, 33.74],[30.62, 33.79],[30.75, 33.81],[31.56, 33.08],[32.03, 32.61],[32.03, 32.62],[32.06, 32.68],[32.02, 32.88]
[16, 17],[31.90, 33.10],[31.66, 33.26],[31.49, 33.17],[30.88, 33.52],[30.85, 33.47],[30.86, 33.56],[30.78, 33.80],[31.72, 32.94],[32.01, 32.64],[32.02, 32.62],[32.05, 32.69],[32.02, 32.89]
[17, 18],[31.95, 33.06],[31.68, 33.24],[31.48, 33.19],[30.85, 33.56],[30.74, 33.58],[30.87, 33.55],[30.77, 33.81],[31.71, 32.96],[32.02, 32.64],[32.02, 32.63],[32.04, 32.69],[31.99, 32.91]
[18, 19],[32.02, 33.16],[31.81, 33.36],[31.58, 33.28],[30.89, 33.59],[30.63, 33.65],[30.88, 33.49],[30.78, 33.82],[31.72, 33.00],[32.01, 32.67],[31.98, 32.62],[32.01, 32.66],[32.05, 32.89]
[19, 20],[32.14, 33.17],[31.30, 33.90],[31.57, 33.26],[30.88, 33.57],[30.64, 33.65],[30.76, 33.66],[30.80, 33.82],[31.69, 33.02],[31.97, 32.68],[32.00, 32.64],[32.08, 32.74],[32.13, 32.99]
[20, 21],[32.15, 33.17],[31.44, 33.77],[31.56, 33.26],[30.86, 33.58],[30.63, 33.66],[30.70, 33.71],[30.78, 33.85],[31.68, 33.03],[31.97, 32.70],[31.99, 32.65],[32.08, 32.73],[32.09, 33.03]
[21, 22],[32.12, 33.20],[31.73, 33.48],[31.57, 33.26],[30.89, 33.54],[30.80, 33.48],[30.72, 33.70],[30.79, 33.85],[31.71, 33.02],[31.94, 32.74],[31.97, 32.68],[32.05, 32.76],[32.09, 33.02]
[22, 23],[32.13, 33.19],[31.76, 33.46],[31.59, 33.25],[30.95, 33.49],[30.90, 33.38],[30.74, 33.68],[30.77, 33.87],[31.71, 33.03],[31.91, 32.78],[31.96, 32.69],[32.04, 32.77],[32.08, 33.04]
[23, 24],[32.13, 33.19],[31.64, 33.58],[31.58, 33.25],[30.94, 33.49],[30.79, 33.49],[30.77, 33.66],[30.77, 33.89],[31.70, 33.07],[31.91, 32.79],[31.97, 32.69],[32.04, 32.77],[32.02, 33.09]
[24, 25],[32.11, 33.21],[31.55, 33.67],[31.56, 33.27],[30.88, 33.56],[30.52, 33.76],[30.70, 33.72],[30.74, 33.90],[31.59, 33.14],[31.94, 32.74],[31.98, 32.67],[32.09, 32.72],[32.08, 33.03]
[25, 26],[32.16, 33.16],[31.58, 33.64],[31.58, 33.26],[30.85, 33.60],[30.53, 33.75],[30.57, 33.85],[30.76, 33.88],[31.65, 33.11],[31.95, 32.76],[32.01, 32.66],[32.10, 32.71],[32.06, 33.05]
[26, 27],[32.16, 33.16],[31.55, 33.67],[31.57, 33.26],[30.85, 33.58],[30.76, 33.52],[30.77, 33.66],[30.80, 33.86],[31.72, 33.04],[31.92, 32.78],[32.02, 32.64],[32.09, 32.72],[31.99, 33.12]
[27, 28],[32.16, 33.16],[31.56, 33.66],[31.54, 33.27],[30.89, 33.51],[30.82, 33.44],[30.70, 33.72],[30.77, 33.89],[31.71, 33.06],[31.92, 32.79],[32.01, 32.65],[32.09, 32.73],[32.03, 33.08]
[28, 29],[32.15, 33.18],[31.59, 33.64],[31.56, 33.28],[30.87, 33.57],[30.63, 33.66],[30.74, 33.69],[30.78, 33.88],[31.70, 33.08],[31.98, 32.74],[32.00, 32.67],[32.09, 32.73],[32.05, 33.07]
[29, 30],[32.15, 33.24],[31.66, 33.78],[31.56, 33.56],[30.98, 33.66],[30.68, 33.65],[30.71, 33.65],[30.78, 33.83],[31.70, 33.10],[31.99, 32.78],[32.00, 32.68],[32.05, 32.70],[32.02, 33.04]
[30, 31],[32.14, 33.20],[31.60, 33.72],[31.21, 33.93],[31.13, 33.85],[30.94, 33.98],[30.95, 33.99],[30.88, 34.03],[31.69, 33.10],[31.93, 32.72],[31.98, 32.67],[32.09, 32.75],[32.05, 33.09]
[31, 32],[31.88, 33.39],[31.63, 33.75],[31.34, 34.02],[31.32, 33.95],[31.17, 33.99],[30.84, 34.20],[30.78, 34.14],[31.70, 33.08],[31.94, 32.74],[31.97, 32.73],[32.07, 32.77],[31.92, 33.15]
