,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[8.17, 12.50]","[8.66, 10.97]","[8.49, 11.03]","[8.47, 11.87]","[9.76, 13.06]","[11.84, 15.40]","[13.56, 18.88]","[16.45, 19.64]","[16.67, 19.58]","[13.34, 19.53]","[11.45, 16.34]","[9.39, 13.93]"
"[7, 8]","[8.17, 12.48]","[8.69, 10.94]","[8.50, 11.03]","[8.48, 11.87]","[9.71, 13.05]","[11.78, 15.34]","[13.29, 19.01]","[16.43, 19.54]","[16.58, 19.62]","[13.30, 19.57]","[11.49, 16.29]","[9.40, 13.89]"
"[8, 9]","[8.19, 12.43]","[8.72, 10.88]","[8.51, 11.03]","[8.47, 11.87]","[9.66, 13.06]","[11.75, 15.27]","[13.03, 19.16]","[16.45, 19.46]","[16.54, 19.65]","[13.32, 19.57]","[11.45, 16.35]","[9.44, 13.84]"
"[9, 10]","[8.18, 12.38]","[8.67, 10.82]","[8.42, 10.94]","[8.34, 11.79]","[9.55, 12.96]","[11.68, 15.21]","[12.89, 19.25]","[16.42, 19.51]","[16.54, 19.71]","[13.37, 19.58]","[11.46, 16.37]","[9.41, 13.86]"
"[10, 11]","[8.21, 12.35]","[8.58, 10.75]","[8.29, 10.81]","[8.21, 11.68]","[9.43, 12.95]","[11.64, 15.18]","[12.84, 19.21]","[16.10, 19.69]","[16.43, 19.68]","[13.37, 19.53]","[11.45, 16.46]","[9.49, 13.89]"
"[11, 12]","[8.24, 12.26]","[8.53, 10.80]","[8.27, 10.85]","[8.13, 11.73]","[9.10, 13.20]","[11.58, 15.13]","[12.83, 19.16]","[15.88, 19.89]","[16.40, 19.71]","[13.36, 19.50]","[11.35, 16.46]","[9.45, 13.83]"
"[12, 13]","[8.36, 12.17]","[8.49, 10.87]","[8.21, 10.85]","[8.04, 11.70]","[8.75, 13.52]","[11.61, 15.29]","[13.01, 19.31]","[16.02, 20.06]","[16.42, 19.77]","[13.35, 19.37]","[11.17, 16.43]","[9.40, 13.77]"
"[13, 14]","[8.44, 12.13]","[8.47, 10.89]","[8.21, 10.82]","[8.05, 11.68]","[8.65, 13.62]","[11.60, 15.27]","[12.96, 19.29]","[15.98, 19.98]","[16.33, 19.77]","[13.39, 19.31]","[11.10, 16.55]","[9.44, 13.80]"
"[14, 15]","[8.45, 12.14]","[8.46, 10.90]","[8.20, 10.82]","[8.04, 11.67]","[8.72, 13.50]","[11.60, 15.18]","[12.84, 19.29]","[16.00, 19.88]","[16.38, 19.70]","[13.33, 19.42]","[11.13, 16.60]","[9.41, 13.89]"
"[15, 16]","[8.53, 12.34]","[8.59, 10.97]","[8.26, 10.80]","[8.04, 11.57]","[8.75, 13.36]","[11.50, 15.24]","[13.09, 19.04]","[15.93, 19.88]","[16.32, 19.62]","[13.29, 19.32]","[11.21, 16.52]","[9.42, 14.07]"
