,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[240.79914, 303.56196]","[263.21372, 302.03583]","[265.19187, 296.76309]","[275.83904, 276.01478]","[246.58643, 295.4694]","[212.75276, 310.34297]","[209.33294, 274.22725]","[160.87824, 268.76138]","[168.63999, 219.2326]","[169.70535, 216.23889]","[178.0504, 250.72396]","[223.05574, 269.74033]"
"[25, 30]","[227.86786, 306.74271]","[223.18564, 331.0361]","[246.28644, 312.6342]","[226.95003, 330.23069]","[196.51815, 353.73996]","[199.91833, 331.14679]","[185.204, 309.80799]","[167.59542, 283.3738]","[147.01731, 272.6633]","[135.31833, 283.94411]","[185.31003, 265.30664]","[217.14408, 279.25528]"
"[30, 35]","[229.04154, 308.60359]","[222.7327, 338.57215]","[259.7364, 304.19593]","[225.74663, 328.34909]","[195.91155, 342.77434]","[203.75619, 313.05865]","[188.27656, 296.79416]","[172.15312, 275.55107]","[150.73602, 269.00859]","[145.51998, 272.43596]","[184.19028, 262.88232]","[215.77393, 278.50181]"
"[35, 40]","[224.92832, 308.30191]","[217.70042, 337.3863]","[240.86449, 314.76786]","[222.68006, 321.69106]","[191.96795, 337.23098]","[206.09311, 303.31634]","[183.88109, 296.77394]","[163.11441, 282.64751]","[136.68481, 282.16663]","[149.40013, 267.3843]","[183.80809, 261.18513]","[213.24365, 277.90391]"
"[40, 45]","[219.73619, 306.80684]","[215.47583, 334.20041]","[217.34213, 334.88285]","[219.99202, 320.99277]","[194.97754, 327.70846]","[197.03946, 301.43242]","[182.55392, 284.79821]","[154.63332, 279.31339]","[136.04718, 274.9193]","[145.94594, 266.10147]","[177.67278, 262.94562]","[208.51267, 276.75134]"
"[45, 50]","[215.26405, 306.09671]","[227.11179, 317.23155]","[201.62502, 345.28485]","[213.46834, 321.40463]","[189.58876, 324.5802]","[187.23507, 299.3211]","[172.93678, 279.99631]","[151.7946, 267.80339]","[131.47878, 267.79346]","[139.21004, 264.69241]","[174.54636, 260.41263]","[200.63309, 279.6979]"
"[50, 55]","[213.81019, 299.89334]","[224.96364, 312.0302]","[201.09358, 339.33769]","[206.59067, 322.20782]","[186.08155, 320.7431]","[178.5411, 297.76502]","[163.98533, 275.73128]","[151.3422, 253.90588]","[128.1094, 258.11846]","[128.95044, 264.50566]","[167.01755, 259.59061]","[190.80379, 281.90568]"
"[55, 60]","[206.60942, 298.04982]","[222.00717, 307.10448]","[196.97853, 337.5568]","[201.0588, 323.23265]","[182.99224, 318.62348]","[172.05785, 296.20263]","[158.88012, 269.46867]","[148.85731, 243.22681]","[124.0454, 249.46173]","[122.22991, 260.18006]","[155.87664, 261.02134]","[180.89032, 282.5162]"
"[60, 65]","[193.84792, 297.33996]","[209.65049, 307.94232]","[192.49954, 333.66183]","[194.99733, 323.08018]","[179.28303, 315.86496]","[166.41545, 293.26215]","[154.21923, 263.4715]","[143.86193, 236.93509]","[119.42083, 243.30043]","[117.80026, 253.98646]","[144.60045, 260.60458]","[168.10938, 282.07323]"
"[65, 70]","[188.2469, 294.46361]","[192.15518, 316.21238]","[184.041, 330.04867]","[184.67255, 319.24321]","[172.94266, 308.96874]","[159.94864, 289.79137]","[151.00053, 259.44924]","[139.53038, 233.69859]","[114.91795, 237.36556]","[114.46313, 244.33473]","[132.05273, 260.31325]","[157.14303, 282.61767]"
"[70, 75]","[179.21548, 290.48738]","[182.00461, 316.114]","[184.12674, 322.73268]","[179.77104, 318.44106]","[170.06845, 305.72919]","[155.91784, 286.37916]","[147.03986, 255.0179]","[133.56747, 230.99057]","[111.67583, 231.49502]","[113.17194, 235.08379]","[121.68661, 258.06755]","[144.88984, 281.01135]"
"[75, 80]","[165.35561, 288.95968]","[171.49702, 313.39715]","[177.05765, 320.55828]","[178.90279, 313.29882]","[167.59736, 302.92913]","[153.81946, 281.87363]","[143.02112, 250.88402]","[127.18685, 228.74834]","[108.13527, 226.5273]","[112.86023, 226.05687]","[114.77371, 253.20958]","[134.40898, 276.95858]"
"[80, 85]","[155.9905, 286.06544]","[165.32661, 310.29399]","[184.91537, 305.97153]","[180.88268, 305.33656]","[164.92167, 298.9302]","[151.87904, 276.42767]","[140.19987, 246.4532]","[122.6518, 226.41664]","[105.39928, 221.69571]","[112.30287, 216.77263]","[110.0957, 245.36713]","[124.92119, 272.79394]"
"[85, 90]","[140.25086, 284.77153]","[157.95752, 303.59133]","[199.49989, 281.20503]","[183.32644, 295.05235]","[161.46119, 294.7763]","[149.24179, 270.99461]","[143.41159, 235.58934]","[123.00186, 219.53451]","[107.69232, 212.89839]","[114.06839, 205.99696]","[107.96668, 234.17808]","[115.69929, 265.23615]"
"[90, 95]","[133.97516, 277.11499]","[159.93813, 289.30232]","[165.76666, 304.59699]","[167.94235, 301.51444]","[157.23343, 290.99759]","[149.74469, 263.44029]","[140.58606, 232.4662]","[120.05206, 217.06616]","[104.47899, 209.72116]","[105.45491, 205.641]","[108.60744, 221.49798]","[109.69798, 257.24834]"
"[95, 100]","[122.55114, 275.43895]","[141.42783, 293.05151]","[156.03996, 298.14374]","[163.92138, 289.12462]","[147.88572, 285.50576]","[139.44506, 261.83934]","[134.5498, 229.55543]","[114.63018, 215.1655]","[103.20064, 203.55053]","[107.4678, 194.90121]","[106.10995, 213.73386]","[101.25004, 254.04101]"
"[100, 125]","[122.52944, 282.43907]","[116.91613, 330.6436]","[151.24636, 316.38458]","[154.36907, 307.59498]","[154.85076, 282.71554]","[139.30193, 265.00199]","[134.61498, 234.31459]","[103.38485, 232.0481]","[95.46295, 213.99766]","[106.81471, 193.31708]","[108.47953, 206.95539]","[103.86103, 250.7374]"
