,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[229.97126, 232.41969]","[226.04832, 228.08868]","[222.12538, 223.75767]","[218.20245, 219.42666]","[214.27951, 215.09565]","[210.35657, 210.76464]","[206.43363, 206.43363]","[214.27951, 215.09565]","[222.12538, 223.75767]","[229.97126, 232.41969]","[237.81714, 241.08171]","[233.8942, 236.7507]"
"[25, 30]","[200.79387, 315.92764]","[211.26859, 332.80915]","[227.51181, 330.214]","[223.12082, 334.88185]","[204.26601, 344.89653]","[177.63756, 356.27094]","[165.26531, 347.06858]","[159.68769, 326.20357]","[156.10496, 305.22652]","[198.57454, 250.65475]","[192.21378, 264.94205]","[195.98944, 287.33215]"
"[30, 35]","[199.70561, 312.41806]","[198.95798, 339.93019]","[223.5855, 327.8345]","[220.07006, 329.75113]","[205.73368, 333.35022]","[184.30162, 338.88737]","[168.07062, 334.86493]","[155.2825, 323.90424]","[155.29122, 301.91099]","[197.22583, 249.10679]","[191.74036, 262.31387]","[192.55386, 286.84798]"
"[35, 40]","[200.88049, 304.74046]","[196.70138, 334.45576]","[216.88066, 325.35307]","[207.7919, 330.79727]","[205.21327, 320.65687]","[193.23753, 316.21086]","[176.7876, 314.23007]","[162.79099, 308.05541]","[153.77006, 298.60567]","[194.57247, 248.68884]","[191.87606, 258.73937]","[190.4863, 283.94496]"
"[40, 45]","[196.82054, 301.08699]","[195.75191, 328.46023]","[212.1449, 324.49929]","[206.9192, 325.95495]","[201.27889, 316.20343]","[183.71896, 313.44241]","[171.08923, 305.26542]","[160.97241, 296.09478]","[152.43593, 289.46267]","[184.18474, 251.7302]","[184.54414, 259.74547]","[185.54594, 281.80116]"
"[45, 50]","[192.55137, 296.05037]","[193.75625, 321.61778]","[198.90914, 330.64299]","[205.09241, 321.69531]","[195.29578, 314.38354]","[171.31111, 313.90708]","[160.11739, 300.39056]","[154.76693, 285.54499]","[144.66211, 282.97239]","[173.86566, 251.45768]","[172.48231, 263.37317]","[177.57055, 281.24538]"
"[50, 55]","[187.98951, 291.19245]","[188.49241, 317.86941]","[196.06846, 325.3363]","[200.21526, 319.05899]","[193.34739, 308.12383]","[161.60246, 313.09937]","[147.07273, 300.07196]","[146.04802, 279.20566]","[137.25979, 275.69881]","[161.94434, 250.6038]","[158.62186, 266.44048]","[167.02162, 282.06225]"
"[55, 60]","[181.69475, 288.07515]","[188.82904, 309.3763]","[191.56057, 322.60243]","[198.48553, 314.11688]","[186.07299, 308.53752]","[156.02661, 310.41506]","[137.61793, 298.79042]","[137.70443, 274.18475]","[128.37877, 269.64183]","[149.24186, 248.51216]","[143.09411, 268.73555]","[155.70575, 282.20367]"
"[60, 65]","[174.24762, 286.20511]","[188.40428, 301.94628]","[186.8537, 319.91514]","[194.55675, 310.4917]","[184.44315, 302.3559]","[154.63529, 303.68382]","[129.37185, 298.12783]","[130.53212, 270.91799]","[122.11681, 263.62499]","[139.70398, 244.61994]","[130.96115, 267.76391]","[144.42608, 282.06894]"
"[65, 70]","[165.39131, 285.32326]","[187.29694, 295.04158]","[182.88135, 316.78527]","[191.4004, 306.63503]","[181.02836, 298.55271]","[151.62077, 299.34707]","[124.59217, 295.29084]","[127.03966, 265.91702]","[117.45831, 258.22598]","[131.28692, 241.38665]","[121.46274, 264.96756]","[133.22594, 281.76188]"
