,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[226.84736, 358.11621]","[201.87714, 384.53828]","[267.70686, 301.94242]","[222.71322, 336.54625]","[0.0, 500.0]","[58.09413, 446.62436]","[21.49029, 402.37577]","[45.42462, 291.71237]","[70.26618, 228.71773]","[134.55818, 205.17354]","[177.9689, 259.38138]","[227.15303, 307.31612]"
"[25, 30]","[177.13516, 371.96064]","[188.42556, 395.04584]","[252.98324, 342.58415]","[153.73667, 433.09399]","[45.57918, 500.0]","[87.91145, 440.39725]","[70.96775, 417.02754]","[52.23632, 397.22756]","[82.52913, 342.03097]","[128.15207, 296.49277]","[173.17277, 279.68949]","[205.09232, 295.03808]"
"[30, 35]","[167.71705, 380.57748]","[211.51225, 370.12465]","[254.49721, 337.61347]","[138.32351, 442.19828]","[129.3105, 423.23431]","[119.48497, 395.14815]","[78.93068, 394.40209]","[41.35416, 395.78665]","[77.77954, 339.01834]","[130.53648, 290.83072]","[176.47176, 275.72201]","[200.84803, 299.12659]"
"[35, 40]","[176.27735, 371.35521]","[218.28861, 363.13552]","[252.62524, 340.29403]","[171.46232, 409.29715]","[141.29916, 408.08036]","[137.12878, 369.51391]","[114.81482, 347.46388]","[92.9248, 334.07341]","[94.69553, 316.10407]","[143.18556, 276.5593]","[170.73204, 281.88168]","[199.95748, 300.09653]"
"[40, 45]","[176.52463, 366.99845]","[202.58757, 373.85094]","[246.36602, 341.75236]","[159.05275, 417.72974]","[108.3612, 436.86703]","[122.77442, 377.54665]","[111.71205, 341.03236]","[101.56059, 313.92586]","[107.32454, 292.79536]","[141.77608, 270.33556]","[161.98576, 286.02268]","[195.75304, 300.84924]"
"[45, 50]","[174.90264, 364.12819]","[197.81162, 372.98801]","[249.43731, 334.13967]","[154.72522, 419.52861]","[105.78379, 436.96381]","[116.76325, 377.84174]","[99.74, 342.67115]","[84.80729, 317.9248]","[107.75194, 281.3432]","[141.74438, 263.72456]","[158.67562, 286.20981]","[193.98422, 299.90341]"
"[50, 55]","[171.03965, 360.19353]","[179.54008, 383.97168]","[244.20736, 333.69732]","[149.32672, 420.85746]","[103.51552, 435.33018]","[114.08635, 374.99802]","[96.32418, 338.28065]","[81.88488, 311.69323]","[102.96784, 277.23145]","[134.54243, 263.13963]","[153.27788, 284.49079]","[185.72924, 300.78667]"
"[55, 60]","[164.19576, 355.56214]","[165.56071, 388.90761]","[232.45056, 338.29348]","[147.93098, 415.37188]","[102.16258, 428.97639]","[110.99708, 369.79502]","[93.45779, 333.216]","[78.77466, 307.50998]","[97.40243, 275.12304]","[124.64528, 263.51662]","[146.30082, 279.70369]","[167.20638, 306.62846]"
"[60, 65]","[158.5598, 342.71548]","[138.77012, 396.59638]","[213.39943, 342.5771]","[142.19843, 412.35977]","[106.03198, 419.78649]","[119.87199, 354.93781]","[95.82559, 322.3991]","[78.62901, 298.26912]","[94.08796, 270.46392]","[119.19649, 262.27284]","[145.74781, 271.69661]","[151.38755, 308.80174]"
"[65, 70]","[152.71151, 337.19834]","[148.90587, 378.72424]","[205.91287, 345.374]","[131.90991, 417.83078]","[85.67484, 432.40083]","[93.76605, 370.4809]","[75.69926, 331.77927]","[62.52213, 305.7895]","[81.50791, 276.26258]","[105.86809, 268.01087]","[145.87336, 261.11726]","[134.22896, 313.47474]"
"[70, 75]","[164.94615, 303.88404]","[180.43464, 338.7691]","[222.15397, 333.16568]","[227.77322, 336.22333]","[234.41472, 307.0791]","[167.18017, 328.74938]","[159.00188, 284.01491]","[131.50219, 266.84692]","[132.10539, 239.70129]","[130.34888, 236.64851]","[129.49631, 254.29794]","[118.41486, 301.37018]"
"[75, 80]","[196.30034, 284.97181]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
