,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[176.42936, 178.46536]","[200.88554, 229.84229]","[226.46242, 282.3399]","[226.02575, 308.82398]","[196.10985, 303.73765]","[185.21641, 259.26329]","[182.81893, 234.11159]","[190.48078, 236.14418]","[218.57186, 221.08827]","[190.10075, 229.09407]","[180.18327, 188.48625]","[160.89389, 172.03378]"
"[25, 30]","[155.50781, 306.90261]","[190.10576, 310.10565]","[200.9247, 322.46297]","[212.69904, 313.08277]","[185.69208, 327.4149]","[160.66595, 334.39544]","[137.67498, 338.75264]","[155.44533, 300.3986]","[179.05359, 253.47014]","[140.31912, 272.4492]","[146.63569, 261.59015]","[140.25594, 286.15944]"
"[30, 35]","[180.21787, 277.81956]","[192.54913, 294.25518]","[212.02461, 292.14842]","[217.80031, 289.69681]","[176.39242, 324.68679]","[164.93531, 324.88948]","[152.76881, 321.97321]","[163.10395, 291.57504]","[180.50897, 251.31679]","[174.04233, 240.27096]","[169.44312, 242.58422]","[166.40809, 262.35819]"
"[35, 40]","[172.28027, 269.38845]","[227.69229, 243.20948]","[180.23498, 308.95334]","[216.88689, 273.73316]","[161.98838, 318.48604]","[154.6381, 313.50139]","[161.41742, 296.51143]","[174.13334, 272.78401]","[178.08299, 253.30296]","[144.66021, 269.82762]","[142.39142, 264.0205]","[123.02575, 292.96595]"
"[40, 45]","[122.46912, 305.087]","[187.89979, 274.50007]","[191.16091, 294.98208]","[206.53656, 279.93407]","[163.25569, 305.24433]","[113.46657, 334.73783]","[156.62612, 280.34877]","[157.36687, 275.2485]","[180.59759, 244.53838]","[137.81226, 272.77559]","[133.31268, 264.76155]","[116.914, 285.19211]"
"[45, 50]","[126.53768, 293.58929]","[199.58932, 251.06026]","[195.06292, 279.2991]","[185.86941, 292.3642]","[171.46953, 290.92129]","[67.43887, 371.48062]","[148.90099, 271.88472]","[142.36423, 269.32035]","[164.18203, 242.03188]","[127.16766, 271.99498]","[129.38985, 264.19412]","[117.17772, 281.63579]"
"[50, 55]","[132.24043, 275.77802]","[180.68601, 254.69773]","[229.62492, 234.11077]","[201.77693, 276.8258]","[146.76746, 324.63267]","[151.26385, 295.0675]","[142.43343, 274.55476]","[130.61803, 265.21626]","[149.21378, 237.05049]","[114.04261, 269.92516]","[115.36079, 269.59818]","[108.78539, 282.46044]"
"[55, 60]","[136.3957, 264.92351]","[158.28172, 267.51587]","[181.33754, 271.27803]","[199.15907, 269.80589]","[143.42461, 320.58292]","[151.78798, 286.44852]","[133.68953, 270.48999]","[122.94078, 254.47877]","[137.05785, 228.90418]","[107.79289, 259.46178]","[108.14818, 266.34551]","[106.03745, 278.86682]"
"[60, 65]","[129.05877, 262.15548]","[150.26986, 261.40264]","[174.57509, 263.74393]","[196.60088, 263.80579]","[146.43016, 315.77941]","[150.43316, 286.61128]","[123.86899, 271.3925]","[117.12238, 240.74155]","[114.64299, 226.42961]","[97.76973, 248.00976]","[95.81127, 265.10464]","[103.32192, 272.90392]"
"[65, 70]","[131.08062, 254.55981]","[153.01841, 256.36577]","[176.01013, 259.22567]","[195.37608, 258.45979]","[146.54647, 306.61697]","[145.39928, 283.39489]","[120.12307, 269.56722]","[109.29087, 244.07583]","[109.30328, 224.85755]","[98.20193, 236.58442]","[95.13972, 252.89888]","[89.74838, 276.01375]"
"[70, 75]","[130.56479, 245.31198]","[151.26301, 248.21729]","[172.72007, 251.88145]","[191.03607, 252.40453]","[142.98256, 301.51362]","[143.29261, 278.80792]","[112.79, 270.53316]","[105.42799, 239.5799]","[96.65752, 226.14862]","[99.1463, 222.45196]","[99.06439, 236.19003]","[89.90302, 264.82759]"
"[75, 80]","[132.24672, 244.68161]","[158.77604, 253.26618]","[180.63651, 257.1819]","[193.93115, 252.53179]","[141.89897, 294.57047]","[140.97336, 271.23953]","[110.35426, 270.72581]","[118.48036, 232.12271]","[127.84165, 199.40931]","[99.01297, 217.38066]","[101.33363, 220.41661]","[76.41294, 267.16977]"
"[80, 85]","[135.90411, 238.2022]","[163.08656, 251.17045]","[183.55619, 257.42589]","[193.28839, 252.94389]","[140.71182, 291.29588]","[139.08351, 267.33145]","[112.123, 265.07691]","[118.16673, 230.61708]","[123.86927, 200.61632]","[96.00123, 213.9264]","[101.11115, 211.30646]","[75.73006, 259.85345]"
