,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[246.15642, 290.62333]","[275.86922, 308.38667]","[272.42907, 308.86451]","[259.65162, 300.71213]","[246.87417, 292.55975]","[234.09672, 284.40737]","[221.31927, 276.25499]","[208.54182, 268.10261]","[195.76437, 259.95024]","[182.98692, 251.79786]","[191.41553, 283.06331]","[232.0051, 277.49568]"
"[25, 30]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[30, 35]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[35, 40]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[40, 45]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[45, 50]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[50, 55]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[55, 60]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[60, 65]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[65, 70]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[70, 75]","[238.99079, 294.97393]","[234.10882, 310.59332]","[235.91585, 311.88469]","[238.83899, 303.79171]","[226.56788, 296.16552]","[214.29676, 288.53934]","[202.02565, 280.91316]","[189.75453, 273.28698]","[177.48342, 265.6608]","[165.21231, 258.03461]","[152.94119, 250.40843]","[125.8846, 288.85682]"
