,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[20, 25]","[204.21838, 287.6937]","[191.26113, 313.14624]","[211.16159, 303.19691]","[218.35535, 302.54288]","[201.4342, 317.16055]","[207.50241, 295.08425]","[194.20361, 281.16053]","[207.09982, 240.80111]","[198.25433, 234.78009]","[194.47132, 242.07591]","[198.79956, 255.01906]","[201.95324, 272.78886]"
"[25, 30]","[193.99602, 307.77695]","[183.42205, 335.70342]","[192.06528, 329.09189]","[180.20682, 334.93188]","[198.05375, 311.55557]","[177.22223, 327.93999]","[180.43372, 314.74024]","[172.07083, 303.32345]","[165.09091, 286.92062]","[192.68858, 246.41757]","[186.72492, 260.33779]","[189.2468, 283.61406]"
"[30, 35]","[192.58108, 300.28836]","[186.39564, 322.10614]","[194.50291, 315.23753]","[176.93433, 325.65519]","[189.88886, 305.81005]","[169.07902, 322.23371]","[176.04022, 308.23006]","[167.28299, 302.4418]","[161.1666, 290.00928]","[193.71238, 246.21734]","[188.02612, 257.70738]","[192.27672, 275.1532]"
"[35, 40]","[192.29935, 294.67218]","[188.07321, 314.51272]","[194.68476, 308.39477]","[171.65987, 321.84476]","[181.66036, 301.72119]","[159.05975, 318.13314]","[176.96622, 294.44607]","[177.07241, 283.56155]","[160.89016, 285.08564]","[189.84906, 246.701]","[186.29794, 255.53912]","[188.64206, 273.54823]"
"[40, 45]","[192.02147, 289.82837]","[184.99759, 311.08759]","[195.96068, 299.90717]","[172.62792, 313.07889]","[175.47942, 298.28197]","[147.58204, 316.6363]","[169.92186, 285.26215]","[169.84072, 273.80172]","[152.61124, 279.08895]","[177.45135, 249.55656]","[179.47638, 256.78317]","[185.16583, 272.79634]"
"[45, 50]","[186.1429, 290.6268]","[185.3004, 305.88383]","[200.21316, 290.54689]","[172.81392, 306.98849]","[167.3445, 298.41836]","[144.76789, 307.95928]","[160.25945, 279.73722]","[159.26349, 267.20354]","[143.79122, 271.64838]","[165.79051, 248.27025]","[167.72018, 259.49525]","[180.71589, 270.98683]"
"[50, 55]","[183.49186, 281.54014]","[183.92426, 295.61144]","[195.99356, 285.62523]","[171.67072, 301.90847]","[162.82286, 296.87671]","[137.06024, 305.91107]","[149.30154, 275.7191]","[146.47003, 262.05894]","[132.8439, 265.79898]","[155.75605, 245.11138]","[150.3049, 266.43011]","[173.82326, 267.44302]"
"[55, 60]","[198.72306, 262.88426]","[209.27888, 266.91135]","[202.79875, 275.23539]","[194.98122, 274.77116]","[162.71149, 291.98383]","[134.40019, 300.52116]","[141.53711, 271.08438]","[132.84494, 259.79475]","[124.12676, 258.17943]","[148.2802, 239.21704]","[143.73703, 264.21617]","[161.8397, 274.37705]"
"[60, 65]","[174.74074, 280.00396]","[185.67592, 286.30982]","[196.71911, 276.77316]","[175.46458, 287.81099]","[158.20292, 288.54082]","[130.85754, 295.72451]","[134.74309, 269.03476]","[128.41691, 253.35408]","[121.4162, 246.78639]","[139.56361, 231.55962]","[122.02654, 270.39435]","[136.86766, 287.7768]"
