,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[258.98689, 270.20290]","[262.61301, 269.12564]","[249.42832, 279.67630]","[132.38498, 388.01230]","[241.46127, 266.71796]","[238.87472, 258.67526]","[238.91198, 254.04187]","[154.21400, 341.17891]","[218.24870, 284.13919]","[243.81588, 266.65241]","[241.58918, 276.10926]","[223.89551, 300.07122]"
"[7, 8]","[258.15077, 270.19571]","[262.27020, 269.22992]","[249.13838, 280.46104]","[131.50946, 389.91143]","[240.87614, 268.61340]","[239.44820, 259.62059]","[239.00442, 255.67925]","[159.76807, 337.40749]","[211.58980, 292.22056]","[242.08503, 268.99244]","[241.48665, 275.87663]","[220.83550, 302.21443]"
"[8, 9]","[257.70332, 270.33922]","[262.34308, 269.48420]","[249.45655, 281.27220]","[137.40757, 385.69720]","[240.19418, 271.14237]","[240.20185, 260.65047]","[234.32727, 262.07056]","[163.93093, 334.89735]","[208.54143, 296.67608]","[240.84580, 271.07119]","[241.58715, 275.88287]","[222.59796, 300.06559]"
"[9, 10]","[257.75054, 270.49611]","[262.41273, 269.70718]","[249.32581, 281.59956]","[136.63239, 386.61145]","[239.84269, 271.94653]","[240.66824, 261.35738]","[232.00808, 266.30036]","[167.81810, 333.16000]","[209.00773, 297.91666]","[240.30965, 272.50508]","[241.92339, 275.80304]","[225.13207, 297.60623]"
"[10, 11]","[257.54070, 270.24812]","[262.60920, 270.12537]","[249.59463, 282.15272]","[136.86270, 386.84569]","[240.57443, 271.60330]","[240.75357, 262.28077]","[233.01776, 267.09374]","[169.87469, 332.91166]","[209.83142, 297.72142]","[239.18294, 272.56754]","[241.11239, 274.54815]","[224.54438, 296.48027]"
"[11, 12]","[257.48609, 270.32599]","[262.47917, 270.16775]","[249.21676, 281.76431]","[134.80455, 388.28470]","[241.39291, 271.30448]","[237.60572, 266.76721]","[232.61554, 267.90248]","[168.99617, 331.55813]","[208.23036, 294.45871]","[235.95875, 270.21995]","[239.14682, 272.55263]","[225.06423, 294.49076]"
"[12, 13]","[252.28264, 266.54396]","[257.90375, 265.81154]","[245.09641, 278.14306]","[129.84001, 387.47964]","[236.06586, 273.42326]","[235.76687, 268.23326]","[231.78997, 270.74046]","[179.27078, 324.25597]","[208.74405, 295.82403]","[232.04845, 273.11994]","[236.66550, 270.44840]","[221.80242, 290.23498]"
"[13, 14]","[247.69046, 263.19840]","[250.95789, 261.24849]","[238.66103, 272.48525]","[131.90505, 376.15281]","[191.87305, 312.91255]","[238.39562, 264.76240]","[228.58654, 274.95946]","[171.54799, 333.28064]","[205.56729, 300.14322]","[223.44621, 282.57437]","[236.07187, 270.62084]","[221.54603, 286.95246]"
"[14, 15]","[218.33886, 268.81654]","[227.41911, 239.89564]","[212.30961, 250.02113]","[128.90403, 348.34072]","[156.98783, 344.13439]","[237.65357, 279.26735]","[232.14110, 284.56062]","[173.77050, 333.69121]","[200.45185, 301.86915]","[219.95896, 286.40398]","[238.02563, 273.54052]","[220.36697, 285.52519]"
"[15, 16]","[197.93959, 287.65056]","[218.55762, 254.79297]","[207.10731, 265.60797]","[126.57746, 359.02500]","[147.13911, 356.57242]","[233.27873, 282.31593]","[231.38580, 284.93398]","[177.54433, 332.99574]","[203.43154, 302.96820]","[220.95778, 285.79839]","[234.85760, 271.80877]","[211.74315, 287.81574]"
"[16, 17]","[184.02856, 300.16305]","[173.53732, 299.72296]","[146.30944, 327.09964]","[138.63909, 348.04041]","[114.86654, 390.61774]","[233.15344, 285.51845]","[227.58406, 293.04333]","[176.79543, 338.06282]","[202.84927, 306.17381]","[220.93942, 285.82736]","[232.34365, 272.31883]","[196.59902, 300.56219]"
"[17, 18]","[172.67940, 311.25058]","[137.99807, 335.10003]","[106.46714, 366.31883]","[140.49255, 345.63375]","[108.23515, 398.10432]","[234.48076, 287.27437]","[227.35847, 297.83511]","[189.40242, 329.53619]","[203.77990, 307.14056]","[221.09136, 285.24531]","[229.55325, 273.65711]","[170.22479, 325.90020]"
"[18, 19]","[163.48710, 320.41447]","[122.72348, 349.89414]","[87.39684, 384.75631]","[140.77204, 345.47011]","[109.15905, 398.81112]","[235.64869, 289.11770]","[223.63402, 304.88673]","[192.57452, 328.79207]","[203.71448, 308.25519]","[220.36298, 286.09443]","[228.69953, 274.46798]","[160.52225, 335.71042]"
"[19, 20]","[160.12195, 323.99372]","[120.25493, 352.77348]","[88.02544, 384.68601]","[140.78011, 346.18207]","[109.63111, 399.39636]","[236.37351, 289.97426]","[216.46100, 314.10866]","[197.59944, 325.89710]","[201.40203, 312.26880]","[218.16911, 289.26867]","[227.42627, 276.10659]","[159.28394, 337.07130]"
"[20, 21]","[159.02791, 325.59098]","[120.58356, 352.77136]","[86.56824, 385.72941]","[140.73011, 346.00800]","[109.26788, 401.16893]","[238.50678, 291.15904]","[210.37154, 323.89342]","[196.95050, 328.42160]","[197.03212, 315.71584]","[216.19825, 288.58468]","[224.37623, 276.86483]","[159.13108, 336.56239]"
"[21, 22]","[158.49009, 326.51828]","[120.65565, 352.35481]","[87.43425, 384.50142]","[140.82958, 346.50249]","[108.26666, 404.03037]","[239.88756, 292.21645]","[211.44900, 324.73667]","[198.94506, 327.28043]","[195.02405, 317.90546]","[214.97849, 290.14195]","[224.54641, 277.56716]","[160.23116, 336.44619]"
"[22, 23]","[157.43297, 327.94813]","[118.35366, 354.07000]","[86.78275, 383.78424]","[138.99755, 347.63087]","[107.57253, 405.90622]","[241.13333, 293.64475]","[212.77935, 325.72004]","[198.96584, 327.50530]","[192.48815, 318.57351]","[212.49511, 290.22467]","[223.89649, 276.95865]","[162.66419, 334.15777]"
"[23, 24]","[160.51042, 325.52604]","[119.21177, 352.91474]","[84.69650, 384.58597]","[138.49187, 347.07705]","[94.71408, 419.22257]","[244.26789, 292.52888]","[214.29686, 326.42455]","[198.62980, 328.71445]","[189.81297, 320.42448]","[209.33981, 291.94748]","[224.91432, 275.29237]","[166.56622, 330.73118]"
"[24, 25]","[163.15350, 322.27480]","[123.61493, 348.37697]","[103.01064, 367.70872]","[148.49483, 340.16288]","[106.03039, 411.39823]","[240.92117, 298.12407]","[217.11264, 323.89674]","[199.93457, 326.43192]","[187.37508, 321.94277]","[208.57263, 292.56501]","[224.48620, 275.95983]","[169.07712, 328.07346]"
"[25, 26]","[163.34288, 323.05831]","[131.65983, 339.66960]","[108.74306, 359.58334]","[140.36111, 346.41087]","[122.11878, 396.45574]","[245.31213, 298.17597]","[219.41057, 326.85135]","[203.25588, 326.04605]","[181.09161, 327.78535]","[203.56908, 295.46606]","[223.34001, 275.92434]","[169.96772, 327.81104]"
"[26, 27]","[147.30867, 337.95066]","[120.07361, 350.42524]","[74.86030, 393.00485]","[143.15326, 343.07477]","[112.76070, 404.72523]","[245.41976, 296.49823]","[220.72274, 324.09083]","[191.05477, 337.52327]","[175.47917, 333.42786]","[201.75188, 297.48357]","[222.85254, 276.12103]","[155.40827, 341.43794]"
"[27, 28]","[154.68439, 330.91040]","[109.54314, 361.44368]","[64.08594, 404.21399]","[142.52680, 344.24806]","[110.83883, 407.66039]","[245.37602, 298.11363]","[219.46657, 327.06260]","[202.74947, 327.01593]","[167.95625, 341.21678]","[202.49526, 296.29531]","[221.49900, 276.93895]","[149.58833, 347.13845]"
"[28, 29]","[155.17058, 331.45305]","[106.96949, 366.53322]","[83.16804, 388.84634]","[143.70546, 346.78672]","[112.37818, 408.37570]","[239.95550, 303.56947]","[210.76019, 334.00901]","[197.04404, 330.34029]","[168.42031, 338.77417]","[200.72795, 296.81635]","[220.02461, 277.76380]","[163.91636, 332.77912]"
"[29, 30]","[157.66625, 329.31025]","[121.63026, 350.69595]","[87.01359, 382.26191]","[140.22739, 347.21063]","[110.32860, 408.46049]","[243.57319, 299.40073]","[206.89631, 337.81963]","[195.30547, 331.40099]","[162.05198, 343.67341]","[198.00675, 298.18409]","[219.02192, 278.47761]","[165.82786, 331.51864]"
"[30, 31]","[156.00634, 329.94295]","[120.14523, 350.75981]","[85.81854, 382.16594]","[139.06163, 347.85236]","[111.26403, 407.90719]","[241.33588, 302.38292]","[200.02729, 345.00812]","[196.67339, 329.54509]","[160.65223, 344.05182]","[194.52427, 300.67645]","[216.54909, 280.25559]","[164.57674, 332.11535]"
"[31, 32]","[157.03508, 328.37028]","[117.53138, 352.97713]","[87.51297, 380.36535]","[139.74864, 347.48095]","[112.44337, 407.30899]","[240.57341, 303.52394]","[208.97959, 335.75167]","[193.42984, 331.67923]","[155.41440, 347.70895]","[194.58580, 299.08942]","[213.27994, 282.39155]","[164.48147, 331.46094]"
"[32, 33]","[154.99736, 330.33042]","[117.58295, 352.74324]","[85.85911, 381.34117]","[137.73377, 348.56269]","[107.38181, 411.70767]","[239.98341, 303.89185]","[208.64913, 335.85450]","[191.62648, 332.58820]","[154.08748, 347.27456]","[191.65219, 299.92568]","[211.39627, 282.67912]","[163.83600, 331.43217]"
"[33, 34]","[151.98832, 333.48735]","[116.90533, 353.64059]","[83.06492, 384.03546]","[138.12455, 347.70245]","[108.48375, 409.97213]","[239.35053, 303.87674]","[207.75702, 335.98191]","[188.89730, 334.20861]","[151.00245, 348.87123]","[188.41821, 301.61384]","[210.52842, 282.43752]","[165.84320, 329.02914]"
"[34, 35]","[149.78212, 335.11440]","[119.58443, 350.56633]","[100.07393, 367.16674]","[141.82342, 344.58205]","[108.03768, 410.66673]","[230.61472, 311.60326]","[206.45696, 334.72932]","[177.00071, 342.69061]","[149.37920, 347.37848]","[186.86144, 301.12843]","[208.22541, 283.70624]","[169.41880, 324.84302]"
"[35, 36]","[161.34162, 323.42177]","[127.30070, 342.24865]","[107.53934, 358.61525]","[142.82758, 342.58984]","[108.52477, 409.86999]","[234.15906, 308.38105]","[203.44098, 338.01411]","[177.73644, 341.47558]","[143.26819, 352.21299]","[186.29359, 300.25629]","[203.58420, 287.44546]","[165.98695, 328.02294]"
"[36, 37]","[148.45368, 335.27294]","[120.06976, 349.32003]","[78.91901, 388.20615]","[147.83442, 339.46519]","[113.59313, 406.84480]","[234.17484, 309.65633]","[202.20264, 339.24842]","[167.22660, 350.77822]","[135.98000, 357.62444]","[181.95514, 302.59288]","[199.36870, 289.82406]","[150.28202, 342.18252]"
"[37, 38]","[142.15938, 339.98371]","[107.24759, 361.59365]","[70.82000, 395.24897]","[139.21745, 345.07952]","[109.10269, 406.57072]","[228.76717, 310.32832]","[201.31248, 337.24695]","[177.58319, 339.59331]","[129.54146, 363.83029]","[175.88435, 307.36716]","[198.03969, 288.52016]","[144.81454, 344.90023]"
"[38, 39]","[149.50990, 333.55945]","[111.01473, 360.55557]","[88.74727, 381.76200]","[141.00506, 347.73164]","[112.97469, 404.67604]","[220.07292, 317.14695]","[191.77062, 341.86385]","[169.96069, 341.61239]","[126.19481, 363.03619]","[173.95561, 307.20531]","[194.25410, 291.55324]","[153.84392, 335.79738]"
"[39, 40]","[147.55945, 334.44082]","[116.37060, 352.26204]","[87.76217, 378.01413]","[137.48841, 346.11436]","[108.08033, 405.55769]","[223.10401, 311.62644]","[189.08054, 342.74163]","[167.40330, 341.98661]","[123.75905, 362.78899]","[172.34467, 306.47856]","[191.53538, 293.05248]","[153.95665, 335.23699]"
"[40, 41]","[146.76958, 333.28160]","[113.56632, 354.10881]","[88.59799, 377.31499]","[137.64122, 346.37746]","[109.13711, 403.91494]","[218.19269, 314.17037]","[182.67834, 345.31716]","[166.41656, 338.79190]","[119.78415, 363.19412]","[167.89787, 308.14545]","[186.18077, 295.99227]","[150.82997, 336.02440]"
"[41, 42]","[144.80194, 333.90720]","[110.17677, 356.19027]","[86.47351, 378.32415]","[136.55619, 346.62974]","[109.42699, 402.92624]","[213.70836, 317.75992]","[179.16888, 347.47594]","[163.03660, 340.39019]","[114.87162, 366.17974]","[164.24481, 310.03360]","[183.18776, 297.48348]","[149.42699, 336.07401]"
"[42, 43]","[144.51023, 333.65130]","[110.60495, 355.58109]","[83.68734, 380.48058]","[135.45908, 346.17874]","[106.30623, 403.59118]","[215.63935, 312.72807]","[174.61424, 348.49472]","[159.11746, 340.43082]","[110.26897, 366.73663]","[160.29270, 310.21839]","[179.67057, 298.11709]","[147.56898, 336.30946]"
"[43, 44]","[141.76776, 334.56151]","[110.18064, 355.83481]","[82.55774, 382.38559]","[137.25046, 344.42677]","[108.65422, 399.52554]","[213.74812, 311.77080]","[173.35634, 347.41529]","[153.57876, 345.18475]","[108.09127, 369.13101]","[158.97411, 311.22284]","[176.71528, 299.30108]","[148.59423, 332.69633]"
"[44, 45]","[143.56578, 332.65249]","[111.61922, 354.67759]","[97.73512, 365.92189]","[132.91032, 345.51417]","[115.13413, 389.19475]","[209.78727, 312.91008]","[174.37591, 344.81390]","[155.23512, 341.82443]","[104.18469, 369.78341]","[149.65119, 315.86988]","[175.53987, 296.12855]","[149.74689, 329.28431]"
