,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[200.69698, 328.31055]","[249.28119, 290.83117]","[250.64200, 294.61330]","[237.87647, 298.35838]","[211.05301, 300.86701]","[165.82659, 316.27479]","[127.38379, 334.20847]","[184.68319, 274.75289]","[155.96743, 316.96772]","[230.60240, 261.04656]","[239.66098, 267.35416]","[242.88443, 275.30734]"
"[7, 8]","[207.68642, 321.66437]","[250.09545, 289.94889]","[250.23669, 294.73608]","[236.74681, 299.61351]","[209.51682, 303.36944]","[168.13214, 315.53505]","[127.21636, 335.77114]","[188.25645, 271.76030]","[158.39447, 314.32974]","[227.66806, 263.58167]","[240.02960, 266.97138]","[242.51836, 276.06582]"
"[8, 9]","[207.81304, 321.44859]","[250.09989, 289.74367]","[250.14500, 294.61744]","[234.70588, 301.64128]","[209.98445, 303.22660]","[167.73161, 316.53339]","[126.41848, 337.19971]","[190.43711, 270.00733]","[164.67589, 308.20669]","[230.29249, 260.95420]","[239.91217, 267.06245]","[242.09347, 276.47018]"
"[9, 10]","[211.45912, 317.75110]","[250.89026, 289.67957]","[250.34170, 295.14987]","[234.48489, 302.35777]","[209.46030, 304.35043]","[169.02597, 316.22534]","[126.96305, 337.66782]","[192.60047, 268.00401]","[167.64888, 303.91800]","[228.54810, 260.21860]","[237.72565, 266.73975]","[241.13822, 276.00246]"
"[10, 11]","[210.36289, 315.70884]","[249.47984, 288.60235]","[249.91970, 294.54941]","[235.04780, 302.92066]","[212.25747, 304.66626]","[171.49957, 317.62852]","[127.80607, 339.77592]","[193.94934, 267.50773]","[168.83144, 301.40881]","[227.38978, 258.63565]","[233.22156, 267.96305]","[237.25952, 276.55064]"
"[11, 12]","[215.15748, 312.41142]","[250.35386, 288.39742]","[250.24637, 293.81637]","[236.19108, 301.26221]","[211.32710, 306.20012]","[173.47856, 317.60519]","[129.51702, 340.31811]","[196.46660, 266.17505]","[170.48004, 299.49071]","[226.69395, 258.53789]","[230.92905, 270.23995]","[232.52835, 282.44359]"
"[12, 13]","[220.36514, 308.16599]","[251.72860, 287.15223]","[251.35160, 292.23528]","[238.38419, 298.88270]","[215.65926, 302.72370]","[175.15682, 317.72833]","[130.59075, 341.13627]","[199.14422, 264.66493]","[173.80699, 296.55604]","[225.39082, 260.12031]","[229.17248, 272.79074]","[232.79436, 283.40673]"
"[13, 14]","[220.29376, 308.26448]","[252.79497, 285.76663]","[250.25955, 292.75289]","[235.51932, 301.35242]","[217.66055, 300.81645]","[172.61444, 320.68117]","[129.50684, 342.41451]","[198.57136, 264.81798]","[176.03364, 293.41352]","[223.73951, 260.88569]","[228.85957, 272.68904]","[234.74364, 281.47769]"
"[14, 15]","[224.16443, 304.63344]","[252.89185, 286.13209]","[250.34906, 292.82102]","[235.93849, 300.56702]","[215.46002, 302.50687]","[166.90781, 326.38450]","[131.59271, 341.12045]","[196.89905, 267.69362]","[183.09667, 287.23938]","[224.42061, 260.36394]","[229.29690, 271.92067]","[233.56515, 282.43747]"
"[15, 16]","[224.88025, 301.56106]","[251.54679, 285.21333]","[249.48793, 293.24231]","[237.99740, 300.46033]","[220.51426, 300.62994]","[180.81531, 314.96449]","[121.64468, 351.81043]","[191.17633, 272.91894]","[166.85088, 303.00632]","[224.14206, 260.76073]","[230.51194, 270.74542]","[235.68565, 279.20407]"
"[16, 17]","[226.10142, 300.28927]","[251.49006, 284.92317]","[249.52142, 292.52455]","[235.02511, 302.63337]","[222.04291, 298.48114]","[190.36587, 305.08679]","[117.96363, 355.31971]","[193.03367, 270.82502]","[167.84921, 301.63597]","[224.11712, 260.41691]","[230.06339, 271.00720]","[234.77777, 280.10497]"
