,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 5]","[314.58977, 360.82316]","[314.59812, 374.74238]","[272.83511, 420.81776]","[225.50401, 452.21940]","[240.31970, 386.67345]","[58.21338, 487.48572]","[75.01495, 390.08010]","[81.75085, 343.85523]","[56.79563, 390.37370]","[126.53496, 388.00085]","[242.09208, 348.73539]","[306.96169, 339.28422]"
"[5, 10]","[310.06003, 360.20195]","[311.25616, 371.39932]","[270.89305, 405.51802]","[214.36620, 426.15648]","[174.48241, 391.36157]","[9.92230, 456.37940]","[57.16022, 324.08716]","[42.93319, 309.30069]","[34.98954, 358.12913]","[93.17801, 387.08945]","[220.89783, 350.66834]","[298.16369, 338.30438]"
"[10, 15]","[305.79854, 359.92517]","[307.57748, 368.58277]","[256.53213, 399.35010]","[188.54757, 410.77516]","[97.69744, 409.36518]","[7.66070, 392.58846]","[54.38185, 264.12147]","[9.07658, 289.22643]","[20.86667, 327.76801]","[71.12609, 373.88551]","[194.78586, 352.24960]","[288.27365, 335.52162]"
"[15, 20]","[299.09451, 361.64534]","[299.61689, 368.90953]","[236.66386, 397.37635]","[156.22853, 403.32922]","[41.23818, 414.77125]","[20.52432, 328.55351]","[48.93354, 225.44570]","[0.00000, 278.17802]","[9.20469, 305.26382]","[56.78123, 356.83230]","[169.52521, 353.27313]","[277.44739, 333.25643]"
"[20, 25]","[291.21324, 364.20611]","[287.04439, 371.75623]","[216.45743, 393.05383]","[118.71133, 400.97662]","[15.83953, 394.38659]","[24.69657, 283.65705]","[42.80460, 199.63287]","[0.00000, 273.81924]","[0.00000, 288.76889]","[49.52680, 334.49057]","[145.82284, 353.40004]","[268.44862, 329.72251]"
"[25, 30]","[281.25792, 368.42406]","[270.04062, 377.46265]","[196.01905, 387.94874]","[88.13945, 393.14179]","[7.70086, 361.33409]","[35.56438, 238.63595]","[32.16093, 184.84592]","[0.00000, 259.33877]","[0.00000, 270.93495]","[44.51409, 312.58168]","[126.90544, 350.91930]","[259.95250, 326.86275]"
"[30, 35]","[266.73360, 373.93547]","[245.82397, 386.24565]","[176.81242, 380.69133]","[63.17417, 383.87273]","[12.38771, 322.70532]","[47.63645, 198.70523]","[22.97511, 171.50304]","[0.00000, 221.83600]","[0.00000, 255.37975]","[39.94098, 292.99619]","[110.11098, 349.25559]","[250.85872, 324.84078]"
"[35, 40]","[248.66621, 377.76229]","[217.71731, 395.70213]","[163.49838, 368.35381]","[44.69914, 372.24084]","[34.89321, 271.50530]","[52.07222, 171.34271]","[16.33214, 160.53510]","[0.00000, 204.03759]","[0.00000, 243.48513]","[34.30419, 279.06553]","[97.35214, 344.13251]","[240.37696, 320.58430]"
"[40, 45]","[227.54484, 379.95935]","[184.56950, 405.22026]","[151.52197, 353.75217]","[37.78670, 354.09128]","[47.06097, 239.51705]","[55.37063, 153.53623]","[9.35478, 155.04693]","[0.00000, 193.45429]","[0.00000, 229.88685]","[28.66052, 267.90464]","[87.95832, 337.62761]","[230.40510, 314.58335]"
"[45, 50]","[200.75902, 375.11705]","[144.01307, 410.26633]","[139.26363, 335.85839]","[32.93693, 339.91505]","[46.83256, 229.96320]","[57.37592, 144.00106]","[2.60750, 150.95865]","[0.00000, 180.78723]","[0.00000, 219.37720]","[21.50634, 262.75074]","[82.71730, 328.50798]","[220.17393, 302.63672]"
"[50, 55]","[180.38702, 372.37086]","[114.20016, 416.35069]","[129.13663, 326.65048]","[29.57103, 330.68226]","[46.34665, 222.70225]","[59.60573, 134.75392]","[0.00000, 149.35130]","[0.00000, 170.64497]","[0.00000, 210.48861]","[13.97361, 258.75211]","[79.52804, 317.87634]","[211.19413, 293.01130]"
"[55, 60]","[156.03133, 370.30519]","[78.93318, 425.49744]","[121.37770, 316.14854]","[28.49401, 323.19943]","[41.53036, 223.99083]","[64.25881, 125.28752]","[0.00000, 148.80502]","[0.00000, 160.68251]","[0.00000, 206.18130]","[7.97364, 258.15795]","[77.19422, 309.40490]","[201.41893, 283.40238]"
"[60, 65]","[142.50470, 370.66309]","[59.86697, 431.66055]","[114.11334, 314.02676]","[26.89898, 320.02458]","[37.42509, 226.27675]","[69.41852, 118.48426]","[0.00000, 154.69783]","[0.00000, 164.00796]","[0.00000, 200.27296]","[7.32526, 253.93738]","[74.53590, 305.11368]","[194.93394, 279.45713]"
"[65, 70]","[139.65496, 366.94449]","[59.82534, 426.72563]","[96.93486, 328.60627]","[14.85748, 329.50426]","[41.06225, 217.06630]","[65.97674, 112.89041]","[5.41559, 117.95570]","[0.00000, 144.74375]","[0.00000, 209.28998]","[6.39268, 254.93229]","[72.37692, 305.45375]","[190.77765, 278.45643]"
"[70, 75]","[141.05014, 359.12569]","[63.87254, 410.67497]","[138.47603, 275.90271]","[27.42858, 307.37313]","[66.23526, 178.82095]","[55.10799, 102.98873]","[9.04550, 89.16846]","[0.00000, 99.54217]","[0.00000, 224.31214]","[8.28158, 260.71604]","[111.72192, 277.32722]","[191.97760, 281.32627]"
"[75, 80]","[194.00118, 258.86018]","[192.35917, 227.11507]","[151.48691, 212.61430]","[25.01164, 279.28426]","[92.39513, 145.98739]","[81.60896, 81.99652]","[48.60733, 48.67740]","[0.00000, 75.86232]","[0.00000, 178.13521]","[2.52610, 228.48104]","[96.12119, 256.57971]","[169.96869, 264.93079]"
