,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 5]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[293.18223, 500.00000]","[107.55476, 413.75830]","[142.77252, 361.17912]","[164.44715, 450.97940]","[199.68585, 421.36003]","[169.06488, 290.95833]","[62.80040, 258.24565]","[22.69628, 423.47927]","[410.97399, 450.19004]"
"[5, 10]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[312.29237, 500.00000]","[39.79487, 405.25157]","[67.14608, 313.42289]","[95.52467, 428.11462]","[170.88006, 395.68299]","[148.79716, 248.94833]","[8.15426, 223.53223]","[0.00000, 412.98936]","[434.37601, 474.78327]"
"[10, 15]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[295.79765, 500.00000]","[0.00000, 391.28617]","[0.00000, 263.61140]","[50.31282, 364.23351]","[138.87795, 352.50811]","[140.08571, 198.54462]","[0.00000, 191.45227]","[0.00000, 403.41263]","[438.79076, 479.84184]"
"[15, 20]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[228.76975, 500.00000]","[0.00000, 388.77786]","[0.00000, 215.39431]","[33.83501, 309.75966]","[100.27689, 315.70681]","[123.14488, 170.55978]","[0.00000, 173.86350]","[0.00000, 407.84525]","[409.36336, 452.42842]"
"[20, 25]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[180.65469, 500.00000]","[0.00000, 381.66835]","[0.00000, 180.94740]","[20.30674, 278.19912]","[74.69387, 292.41980]","[106.87391, 155.88217]","[0.00000, 157.92182]","[0.00000, 404.77333]","[386.35995, 434.97720]"
"[25, 30]","[0.00000, 500.00000]","[0.00000, 500.00000]","[440.01735, 500.00000]","[134.28255, 500.00000]","[0.00000, 376.21787]","[0.00000, 173.53351]","[8.31226, 259.94321]","[49.49622, 276.72784]","[90.81208, 144.44007]","[1.06270, 149.87565]","[0.00000, 393.55969]","[362.13563, 418.73647]"
"[30, 35]","[486.54466, 500.00000]","[0.00000, 500.00000]","[348.82567, 500.00000]","[83.89168, 500.00000]","[0.00000, 367.25241]","[0.00000, 169.98023]","[2.53241, 235.92896]","[27.24653, 252.68287]","[77.70001, 135.72009]","[12.02652, 153.29186]","[0.00000, 396.31209]","[327.71589, 390.86455]"
"[35, 40]","[402.21977, 500.00000]","[400.78050, 500.00000]","[255.02504, 500.00000]","[34.48193, 496.98305]","[0.00000, 364.22253]","[10.42578, 165.75086]","[0.00000, 217.80854]","[5.92398, 230.20238]","[66.84515, 125.01121]","[22.40675, 158.60458]","[0.00000, 396.77156]","[293.30731, 364.89443]"
"[40, 45]","[337.99807, 500.00000]","[316.84579, 500.00000]","[184.44881, 500.00000]","[0.00000, 472.53466]","[0.00000, 359.91974]","[18.64929, 161.28604]","[0.00000, 198.54873]","[0.00000, 205.47481]","[59.71379, 115.35258]","[28.70369, 165.43516]","[0.00000, 402.53354]","[267.04488, 346.18119]"
"[45, 50]","[308.54080, 491.62651]","[275.97295, 500.00000]","[146.61437, 500.00000]","[0.00000, 453.35040]","[0.00000, 350.43389]","[21.72343, 154.85099]","[1.78518, 180.16305]","[0.00000, 188.51206]","[53.27702, 105.63710]","[28.58399, 163.03256]","[0.00000, 398.98437]","[254.43674, 339.12620]"
