,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 5]","[486.34660, 500.00000]","[0.00000, 500.00000]","[419.32081, 500.00000]","[235.49158, 414.06708]","[84.91671, 338.09054]","[115.46797, 293.49126]","[134.03696, 361.58040]","[159.29111, 338.68337]","[135.36636, 233.80680]","[50.81337, 208.47364]","[19.40242, 340.14470]","[326.43710, 362.87763]"
"[5, 10]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[252.00367, 448.49453]","[27.99027, 328.64621]","[51.65516, 252.59953]","[76.49565, 343.86174]","[137.47213, 317.95820]","[118.65299, 200.04926]","[4.91733, 178.92307]","[0.00000, 329.67017]","[346.84245, 385.30081]"
"[10, 15]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[237.91311, 471.21766]","[0.00000, 314.72328]","[0.00000, 211.17699]","[39.28485, 291.95789]","[111.78333, 282.27679]","[111.15160, 159.47013]","[0.00000, 153.20995]","[0.00000, 321.58640]","[350.96728, 387.75354]"
"[15, 20]","[0.00000, 500.00000]","[0.00000, 500.00000]","[459.01154, 500.00000]","[183.69508, 461.45822]","[0.00000, 311.38527]","[0.00000, 171.42612]","[26.40892, 247.13887]","[80.76233, 252.04555]","[97.81024, 135.98066]","[0.00000, 138.91994]","[0.00000, 324.69750]","[327.83532, 364.85629]"
"[20, 25]","[0.00000, 500.00000]","[0.00000, 500.00000]","[408.35591, 500.00000]","[144.58935, 454.49404]","[0.00000, 304.66155]","[0.00000, 142.99578]","[15.64483, 221.24634]","[60.04750, 232.81852]","[84.95592, 123.52151]","[0.00000, 125.87808]","[0.00000, 322.19349]","[309.16943, 349.76578]"
"[25, 30]","[457.19423, 500.00000]","[497.56625, 500.00000]","[353.57654, 500.00000]","[107.07482, 441.80515]","[0.00000, 299.74421]","[0.00000, 136.76184]","[5.99135, 206.38304]","[39.74542, 219.79875]","[72.02610, 114.08136]","[0.00000, 119.00904]","[0.00000, 313.28566]","[289.56391, 335.62725]"
"[30, 35]","[390.75471, 500.00000]","[411.34710, 500.00000]","[280.39364, 500.00000]","[66.64982, 422.12780]","[0.00000, 292.35762]","[0.00000, 133.76467]","[1.42896, 187.07169]","[21.95950, 200.37835]","[61.48429, 106.90470]","[7.73577, 121.11181]","[0.00000, 315.43394]","[262.00316, 312.87582]"
"[35, 40]","[323.57560, 459.12571]","[323.17448, 500.00000]","[205.61738, 497.69336]","[27.27189, 397.61080]","[0.00000, 289.79138]","[7.16632, 130.31254]","[0.00000, 172.49021]","[5.03329, 182.31466]","[52.71692, 98.30711]","[16.27110, 124.83700]","[0.00000, 315.70323]","[234.61558, 291.90276]"
"[40, 45]","[272.39618, 414.77491]","[256.28891, 477.74261]","[149.36167, 449.89034]","[0.00000, 377.88660]","[0.00000, 286.13434]","[13.74811, 126.67979]","[0.00000, 157.07659]","[0.00000, 162.55250]","[46.95503, 90.59336]","[21.44693, 129.95512]","[0.00000, 320.20532]","[213.64162, 276.94538]"
"[45, 50]","[248.76354, 395.31456]","[223.58956, 448.73841]","[119.13873, 422.88540]","[0.00000, 362.29945]","[0.00000, 278.39731]","[16.31898, 121.39497]","[1.13285, 142.36073]","[0.00000, 149.00017]","[41.77673, 82.86090]","[21.45647, 127.85410]","[0.00000, 317.18947]","[203.40387, 271.35707]"
"[50, 55]","[223.21329, 373.52746]","[189.23659, 417.20629]","[88.88366, 394.50888]","[0.00000, 346.73836]","[0.00000, 270.60991]","[20.13656, 117.40071]","[4.94949, 130.27281]","[0.00000, 139.63869]","[37.93705, 76.44438]","[24.34399, 126.21245]","[0.00000, 319.05636]","[192.37279, 265.03143]"
"[55, 60]","[191.27659, 344.06478]","[147.11400, 376.28763]","[53.89522, 359.45431]","[0.00000, 329.31629]","[0.00000, 265.41705]","[26.27456, 115.93715]","[9.15940, 118.56373]","[0.00000, 125.11299]","[34.43380, 71.28425]","[30.15051, 126.65380]","[0.00000, 320.45385]","[179.43743, 255.84016]"
"[60, 65]","[167.17644, 321.26077]","[115.30879, 343.81501]","[27.90351, 330.83161]","[0.00000, 313.77485]","[0.00000, 259.13287]","[28.32586, 116.88560]","[12.30153, 109.09810]","[0.00000, 115.73140]","[31.38080, 68.11801]","[34.87134, 127.89729]","[0.00000, 323.16815]","[169.84867, 249.51112]"
"[65, 70]","[175.88566, 329.59136]","[125.41240, 352.42550]","[33.83527, 334.15577]","[0.00000, 310.16980]","[0.00000, 241.96718]","[27.14025, 111.96926]","[18.77148, 103.27484]","[0.00000, 124.09308]","[29.74443, 67.03347]","[32.12249, 122.79307]","[0.00000, 311.68129]","[172.43693, 252.83523]"
"[70, 75]","[173.76806, 328.73394]","[129.34584, 353.32313]","[41.12566, 334.11436]","[0.00000, 305.76342]","[0.00000, 227.30934]","[21.28548, 112.38312]","[21.64273, 98.75772]","[0.00000, 124.43349]","[31.05777, 68.61652]","[30.62592, 121.31134]","[0.00000, 305.37797]","[164.91452, 250.86900]"
"[75, 80]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]"
"[80, 85]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]","[0.00000, 500.00000]"
