,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 35]","[175.37575, 310.62132]","[157.44763, 321.40130]","[135.90799, 334.71366]","[79.84375, 382.70015]","[88.49971, 363.81170]","[36.55145, 402.62159]","[69.59429, 358.03075]","[75.67616, 349.55421]","[78.05644, 358.06715]","[134.83572, 321.57438]","[166.84231, 309.34308]","[183.46704, 303.19077]"
"[35, 40]","[172.21510, 312.07518]","[163.15282, 317.97976]","[141.21605, 332.68489]","[91.68287, 372.10526]","[91.29785, 359.65806]","[44.74108, 392.29856]","[72.40678, 354.10635]","[75.29064, 349.45425]","[78.58413, 355.42762]","[130.40039, 320.68533]","[152.60893, 316.23495]","[181.67236, 299.05255]"
"[40, 45]","[171.02232, 306.30626]","[163.18726, 312.59636]","[142.32198, 326.02859]","[85.85034, 370.66209]","[94.24293, 347.20558]","[44.84302, 380.86813]","[73.43843, 340.58742]","[65.77588, 345.74048]","[75.12135, 345.21780]","[121.88284, 315.73863]","[142.01012, 314.72971]","[176.71236, 294.37509]"
"[45, 50]","[159.24372, 299.65946]","[163.62436, 304.34780]","[143.66987, 322.22470]","[69.77887, 381.02024]","[79.00592, 349.07653]","[50.78221, 356.82909]","[63.99684, 333.30204]","[69.77276, 328.78380]","[77.33273, 329.93480]","[101.23571, 317.43398]","[128.56968, 302.49002]","[156.29033, 288.60715]"
"[50, 55]","[144.54973, 301.72447]","[159.83192, 297.46972]","[134.73141, 320.39775]","[56.92070, 381.44919]","[63.42852, 350.24729]","[36.55241, 355.24165]","[56.79599, 323.76080]","[58.04390, 322.76978]","[79.39179, 308.97375]","[81.45683, 317.76304]","[103.72406, 308.90555]","[135.50697, 293.62502]"
"[55, 60]","[131.76187, 303.03043]","[153.57112, 288.91480]","[127.93696, 309.71929]","[51.85232, 368.79857]","[54.30661, 342.77876]","[34.35895, 340.92061]","[52.75254, 309.27023]","[50.33806, 309.47015]","[71.80650, 295.41728]","[71.22606, 310.10993]","[91.08803, 308.33440]","[125.86438, 292.77798]"
"[60, 65]","[118.51554, 296.19827]","[144.98856, 279.14596]","[119.36000, 302.16667]","[46.12726, 359.18227]","[46.59212, 333.91802]","[36.42437, 320.31026]","[50.00316, 292.62995]","[48.74299, 292.55945]","[70.10339, 280.03460]","[61.71846, 302.77435]","[76.96588, 304.23628]","[112.29111, 286.45887]"
"[65, 70]","[111.50360, 282.60623]","[133.79233, 270.42400]","[110.41082, 292.68913]","[41.26070, 346.48972]","[41.33965, 321.21452]","[39.28488, 298.56053]","[48.71439, 274.83986]","[48.00597, 275.23048]","[69.07254, 264.32173]","[55.96785, 292.02867]","[64.00382, 299.40025]","[101.35309, 277.71830]"
"[70, 75]","[108.47805, 266.32109]","[121.98460, 262.10354]","[106.00613, 277.13744]","[33.85940, 334.73058]","[37.61467, 306.53325]","[41.70400, 278.11205]","[49.70727, 256.03531]","[47.64495, 258.23265]","[67.85327, 248.88221]","[51.99215, 279.78620]","[55.16651, 291.62988]","[95.05553, 266.15943]"
"[75, 80]","[106.60153, 249.15295]","[110.63410, 253.38502]","[102.07720, 260.49055]","[31.73406, 316.81712]","[35.52113, 290.13024]","[43.79777, 259.37079]","[51.37316, 238.99193]","[48.48628, 242.25912]","[65.73190, 235.31145]","[50.63533, 264.62618]","[49.01333, 280.50303]","[92.40230, 250.75031]"
"[80, 85]","[105.21000, 232.44729]","[100.52315, 244.17079]","[99.08981, 243.12886]","[33.91785, 294.55649]","[34.70098, 272.85193]","[45.42980, 242.46002]","[51.61538, 225.55879]","[49.42930, 228.43874]","[64.27341, 222.68253]","[50.62592, 248.95645]","[47.43993, 265.33335]","[90.89653, 234.92722]"
"[85, 90]","[104.50808, 216.36910]","[93.42001, 233.75148]","[95.80885, 227.93173]","[36.71986, 273.19910]","[34.95898, 255.65129]","[45.75206, 228.02114]","[50.13631, 215.36774]","[50.31213, 216.50625]","[62.47497, 212.10411]","[50.25425, 234.86760]","[48.28247, 248.53943]","[89.52279, 219.80639]"
"[90, 95]","[101.89568, 204.41733]","[90.32292, 220.79853]","[94.13667, 212.03062]","[42.02610, 250.26623]","[35.72956, 239.33487]","[45.49846, 215.93709]","[48.73000, 206.81317]","[49.91310, 207.20298]","[60.41968, 202.97741]","[49.50428, 222.71325]","[49.02571, 234.03837]","[90.75375, 204.61237]"
"[95, 100]","[98.31729, 194.08382]","[89.17608, 207.04919]","[92.34971, 198.15175]","[45.89753, 231.04204]","[36.37871, 225.05289]","[44.83018, 205.38460]","[46.94046, 199.17798]","[48.35981, 199.62228]","[58.04866, 195.17583]","[46.28705, 214.33011]","[48.57191, 221.86540]","[88.66839, 193.46716]"
"[100, 125]","[85.75163, 175.42287]","[77.79582, 184.31448]","[81.85063, 173.56949]","[44.11227, 199.77048]","[37.50419, 194.76344]","[41.23592, 183.14294]","[38.80941, 182.53465]","[38.76534, 183.53306]","[47.39991, 178.89441]","[35.75959, 197.48770]","[43.70980, 199.26246]","[78.80926, 174.74604]"
"[125, 150]","[79.24870, 146.11805]","[74.10674, 150.02136]","[75.09731, 143.20551]","[38.77364, 170.99684]","[36.27980, 164.03576]","[37.06287, 154.58818]","[32.76253, 153.01737]","[24.87603, 159.90100]","[32.86407, 156.86755]","[24.55333, 175.08145]","[35.78674, 175.54448]","[69.84758, 151.01884]"
