,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[275.9271, 319.3934]","[280.8394, 307.8492]","[285.7516, 296.3051]","[279.2164, 299.8345]","[271.8178, 303.1256]","[274.0083, 291.925]","[252.2505, 303.112]","[267.6775, 306.7274]","[261.6793, 343.7014]","[284.8815, 310.2737]","[266.1026, 342.4818]","[271.0149, 330.9376]"
"[175, 200]","[298.2961, 362.7854]","[300.512, 344.0302]","[271.6685, 347.8235]","[257.8818, 343.5072]","[267.2976, 330.9739]","[240.8317, 364.5845]","[243.4562, 368.7065]","[245.4576, 368.058]","[233.8041, 380.867]","[293.459, 330.6065]","[270.0423, 372.327]","[302.1969, 356.9225]"
"[200, 225]","[301.0873, 361.7227]","[303.2232, 342.533]","[277.6669, 344.1447]","[256.2005, 349.5879]","[268.9995, 335.3582]","[239.0042, 372.8807]","[244.3196, 373.6379]","[247.1117, 371.4585]","[238.4562, 381.1205]","[287.2326, 341.8707]","[265.2322, 381.743]","[301.9111, 360.4748]"
"[225, 250]","[298.2406, 362.6274]","[305.0154, 340.5555]","[284.0849, 341.7263]","[258.6775, 354.1007]","[271.0, 340.5533]","[239.4473, 378.712]","[243.7735, 381.1581]","[252.4635, 376.0027]","[245.8477, 386.2737]","[278.9627, 361.8497]","[269.881, 383.9189]","[299.655, 363.6432]"
"[250, 275]","[297.4652, 364.249]","[307.7638, 340.1102]","[289.0187, 341.1713]","[257.6497, 361.11]","[272.4898, 345.8055]","[243.7265, 381.4841]","[244.4206, 387.8727]","[258.9988, 376.9978]","[251.9039, 387.1346]","[284.2082, 361.755]","[276.2675, 380.2971]","[299.762, 364.5295]"
"[275, 300]","[300.3494, 364.8779]","[308.0277, 344.1227]","[293.1406, 342.4203]","[258.6887, 366.2018]","[275.8966, 348.6844]","[249.7525, 381.559]","[249.5436, 388.7483]","[265.0701, 376.9991]","[260.0312, 385.004]","[285.8468, 365.5349]","[280.6671, 380.3236]","[302.9596, 364.9242]"
"[300, 325]","[304.1776, 364.6655]","[307.3302, 349.228]","[294.2067, 346.9932]","[262.6929, 368.7938]","[278.2456, 352.9584]","[255.1165, 381.8908]","[256.5644, 386.1742]","[269.3819, 376.2974]","[266.2523, 382.2095]","[287.2049, 367.7386]","[284.7215, 379.8488]","[306.6718, 364.671]"
"[325, 350]","[306.5943, 364.6424]","[308.8238, 350.9766]","[293.5996, 352.1026]","[267.9417, 369.0141]","[281.583, 355.0369]","[259.171, 382.092]","[261.0408, 384.364]","[272.6564, 374.5641]","[270.4966, 379.2484]","[288.0836, 368.4547]","[286.3799, 380.1149]","[310.1379, 363.2875]"
"[350, 375]","[309.5112, 360.2806]","[312.3519, 351.9164]","[292.9652, 357.9682]","[271.5245, 367.0093]","[283.5823, 357.1146]","[264.6659, 383.3918]","[263.9706, 381.9253]","[273.9118, 373.0897]","[276.6258, 377.2795]","[272.229, 353.4283]","[280.542, 375.82]","[312.5253, 363.569]"
"[375, 400]","[310.5073, 358.3817]","[311.5686, 352.587]","[290.3184, 361.5458]","[274.7639, 367.5021]","[283.5091, 358.0667]","[266.5463, 381.5071]","[266.4847, 379.096]","[274.3853, 371.5942]","[278.3735, 372.8455]","[270.8832, 351.9082]","[278.4879, 377.4421]","[312.6308, 362.0658]"
"[400, 425]","[309.0763, 357.7798]","[309.9114, 353.3284]","[287.66, 363.4943]","[276.5688, 367.083]","[282.918, 357.9423]","[267.4479, 377.6353]","[267.6852, 376.0123]","[273.6598, 369.9307]","[278.71, 368.6212]","[269.1592, 351.3368]","[276.197, 377.3294]","[310.1623, 361.1334]"
"[425, 450]","[306.0122, 358.5912]","[306.2938, 355.5805]","[284.7371, 363.8988]","[277.2975, 365.8465]","[281.5571, 357.8662]","[267.5421, 374.6722]","[267.135, 373.7799]","[271.7142, 368.9738]","[278.7498, 363.9268]","[267.4885, 348.8697]","[272.9941, 376.5543]","[307.7891, 359.6244]"
"[450, 475]","[303.8836, 357.0806]","[303.4427, 356.0632]","[280.7437, 364.464]","[275.7407, 365.0184]","[278.7953, 357.1845]","[266.9468, 371.0456]","[266.6863, 371.0736]","[269.744, 366.3556]","[277.7707, 358.6786]","[264.7435, 348.1499]","[271.1224, 374.6302]","[305.0147, 357.3475]"
"[475, 500]","[301.1145, 356.3553]","[298.5796, 357.4074]","[277.3542, 363.7096]","[274.1227, 363.9262]","[275.6152, 356.021]","[265.2407, 368.3827]","[264.9846, 368.0788]","[267.5881, 364.1243]","[276.9384, 353.3259]","[262.3099, 345.6977]","[268.3554, 373.0682]","[302.3249, 355.1158]"
