,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2600, 2700]","[176.983, 221.331]","[174.6845, 220.4979]","[177.1819, 216.0032]","[177.2452, 215.0641]","[177.9319, 212.9278]","[180.923, 206.9196]","[170.4828, 214.1319]","[173.3076, 210.6632]","[171.7106, 215.7549]","[177.6265, 215.9878]","[177.1701, 221.6693]","[181.8385, 218.5206]"
"[2700, 2800]","[177.6699, 216.9918]","[171.947, 219.2952]","[175.67, 213.775]","[177.014, 212.3017]","[176.1118, 212.6829]","[176.7476, 209.6157]","[170.873, 212.2361]","[172.2983, 209.6999]","[171.1848, 213.8016]","[176.2676, 214.5697]","[176.4985, 219.3902]","[180.2805, 216.8484]"
"[2800, 2900]","[179.8912, 212.8896]","[170.4648, 214.1162]","[176.2391, 211.1254]","[176.9099, 210.0166]","[174.9356, 209.3185]","[176.4016, 207.74]","[172.2313, 210.706]","[171.3792, 209.2467]","[171.0056, 212.3948]","[173.3461, 209.6036]","[176.2363, 216.5566]","[179.5414, 213.1196]"
"[2900, 3000]","[178.8561, 210.3385]","[171.0175, 212.1466]","[176.5737, 208.3955]","[175.8449, 207.8165]","[174.0034, 207.4237]","[176.1996, 206.2964]","[172.4726, 208.5055]","[171.2924, 208.6663]","[170.7307, 211.1431]","[172.759, 208.2229]","[175.6933, 214.8401]","[180.0408, 210.2944]"
"[3000, 3100]","[178.6326, 209.7618]","[172.3092, 210.961]","[176.2554, 207.9193]","[174.7495, 206.9266]","[173.647, 206.4902]","[174.7516, 206.9975]","[172.443, 207.9573]","[171.5528, 208.8821]","[170.4175, 211.255]","[172.1447, 208.3992]","[176.2962, 213.1466]","[180.5419, 208.6823]"
"[3100, 3200]","[178.457, 209.7005]","[174.0036, 210.1745]","[176.5779, 208.0863]","[174.5368, 206.5963]","[173.8927, 206.8145]","[174.7709, 207.6284]","[172.7857, 208.5667]","[171.8635, 209.8917]","[170.9108, 211.7187]","[171.9968, 209.5474]","[177.0043, 212.8406]","[181.1892, 208.3736]"
"[3200, 3300]","[178.688, 210.2774]","[175.7379, 210.293]","[177.2861, 208.8595]","[175.1008, 206.8913]","[174.6992, 207.1982]","[174.3579, 209.0379]","[173.8766, 209.577]","[172.6877, 210.9647]","[171.8868, 212.5308]","[172.0125, 211.3731]","[177.8878, 213.4144]","[182.0865, 208.872]"
"[3300, 3400]","[179.5261, 211.6175]","[176.9724, 211.0779]","[178.3533, 209.7862]","[175.699, 208.0174]","[175.3443, 208.4893]","[174.5973, 211.132]","[174.8389, 210.7759]","[173.6841, 212.2895]","[173.4555, 213.6597]","[172.6322, 213.0919]","[178.9852, 214.2447]","[183.0769, 209.7218]"
"[3400, 3500]","[180.3389, 213.0896]","[178.3546, 211.6743]","[179.1085, 210.5743]","[176.5484, 208.802]","[175.8718, 209.0563]","[175.054, 212.462]","[175.5891, 212.2345]","[174.661, 213.5422]","[173.9487, 214.5926]","[173.4761, 214.5764]","[179.8571, 215.3786]","[184.3652, 210.4616]"
"[3500, 3600]","[180.5558, 214.3646]","[179.2362, 212.0937]","[179.9705, 211.4051]","[177.7728, 209.934]","[176.6993, 210.5203]","[175.7558, 214.2602]","[176.6895, 213.8054]","[175.6714, 214.9287]","[174.3023, 215.8142]","[174.2839, 215.9856]","[180.4363, 216.941]","[185.829, 211.2923]"
"[3600, 3700]","[181.2862, 215.9463]","[180.9064, 213.4846]","[181.1765, 212.8394]","[178.8433, 211.1754]","[177.7001, 212.1262]","[176.7532, 215.9446]","[178.2472, 215.5136]","[177.0403, 216.4469]","[174.8138, 216.5142]","[174.2416, 217.323]","[180.9293, 218.7937]","[187.349, 212.3485]"
"[3700, 3800]","[182.2399, 217.5176]","[182.545, 214.693]","[182.4646, 214.4609]","[180.0887, 212.5634]","[178.8824, 213.3426]","[177.878, 217.5173]","[179.6086, 217.13]","[178.4469, 217.8731]","[175.2443, 216.7715]","[174.0476, 218.2411]","[181.2687, 220.9407]","[188.6649, 213.6459]"
"[3800, 3900]","[183.0535, 218.9037]","[183.5021, 215.3732]","[183.7357, 215.9249]","[181.3299, 214.2299]","[180.023, 214.8974]","[178.9472, 219.0971]","[180.8824, 218.8142]","[179.9243, 219.5009]","[175.9596, 217.1071]","[174.86, 219.7774]","[180.8003, 223.6229]","[190.1266, 214.9718]"
"[3900, 4000]","[184.2987, 220.4093]","[184.8416, 216.8089]","[184.938, 217.2168]","[182.7064, 215.6882]","[181.2629, 215.748]","[179.7439, 219.422]","[181.7412, 220.1891]","[180.4634, 220.8407]","[176.6258, 214.9616]","[175.0269, 220.3859]","[179.7952, 226.525]","[191.2333, 216.4883]"
"[4000, 4100]","[185.101, 221.155]","[185.832, 218.6088]","[185.852, 217.648]","[183.8595, 217.2043]","[182.3701, 216.8037]","[180.7169, 218.6166]","[181.5069, 220.9236]","[180.8208, 222.089]","[178.9585, 212.3484]","[175.3876, 220.6923]","[179.7356, 228.747]","[191.3956, 218.6282]"
"[4100, 4200]","[186.2509, 222.1324]","[186.5526, 219.5033]","[186.8232, 218.528]","[185.5123, 219.2385]","[183.3916, 218.6376]","[185.1913, 209.7545]","[181.9655, 221.5866]","[179.7502, 219.6067]","[186.7048, 202.6082]","[176.0477, 219.9258]","[180.6315, 229.9157]","[192.4238, 219.761]"
"[4200, 4300]","[188.9804, 224.2987]","[187.6078, 221.2824]","[187.1594, 219.2125]","[186.0674, 219.8435]","[184.2713, 220.6105]","[198.6782, 202.6218]","[189.41, 207.2035]","[195.7169, 199.1098]","[197.655, 201.0239]","[183.4051, 223.2445]","[182.2026, 231.6518]","[191.8649, 224.2374]"
"[4300, 4400]","[189.1191, 224.4015]","[188.1575, 222.2612]","[188.564, 220.6738]","[187.3897, 220.8708]","[184.3334, 220.1573]","[196.9425, 200.7721]","[194.1107, 197.6709]","[194.1429, 197.3966]","[197.4973, 200.7798]","[186.8143, 221.3408]","[182.9052, 232.3637]","[191.9326, 224.5557]"
"[4400, 4500]","[189.6396, 225.0813]","[188.5149, 223.1443]","[189.1206, 221.405]","[188.0574, 221.5064]","[185.0966, 220.6638]","[197.6238, 201.2995]","[194.7717, 198.1729]","[194.767, 197.9304]","[198.1687, 201.2902]","[187.5533, 221.8043]","[183.4457, 233.0243]","[192.4452, 225.2339]"
"[4500, 4600]","[189.9667, 225.6783]","[189.6255, 222.9692]","[190.4272, 221.0714]","[188.5648, 222.0053]","[191.9627, 214.8036]","[198.1738, 201.7211]","[195.3462, 198.5314]","[195.224, 198.3944]","[198.679, 201.7192]","[188.3177, 222.0022]","[183.8609, 233.5724]","[192.8678, 225.7532]"
"[4600, 4700]","[190.6433, 226.4955]","[190.5762, 223.5933]","[190.2843, 221.3269]","[189.5847, 218.9912]","[199.8845, 203.8113]","[197.0944, 200.5763]","[195.308, 198.3803]","[195.959, 199.0381]","[199.4442, 202.4099]","[188.7905, 222.0581]","[183.7571, 233.6321]","[193.0364, 226.0793]"
"[4700, 4800]","[191.1445, 226.6838]","[194.3571, 220.445]","[196.0025, 216.1721]","[197.8972, 211.2074]","[200.1659, 204.0745]","[197.4516, 200.805]","[195.6919, 198.61]","[196.344, 199.2661]","[199.8082, 202.6512]","[187.7179, 223.7515]","[183.8582, 234.1934]","[193.6672, 226.1462]"
"[4800, 4900]","[191.132, 227.1048]","[197.3859, 215.1206]","[195.3496, 212.2359]","[199.6118, 204.9204]","[199.0918, 202.9096]","[197.7742, 200.9941]","[196.5152, 199.4443]","[196.7892, 199.7018]","[199.6164, 202.5069]","[183.9742, 227.1126]","[184.1092, 234.7072]","[194.4815, 226.8568]"
"[4900, 5000]","[188.8547, 225.7896]","[203.7083, 205.1451]","[195.9481, 209.7886]","[199.8038, 205.2094]","[199.9244, 203.7284]","[198.4471, 201.4645]","[196.3879, 199.5203]","[196.4238, 199.5157]","[199.4212, 202.684]","[194.6517, 216.9855]","[188.0779, 230.6794]","[193.467, 225.9825]"
"[5000, 5100]","[198.202, 206.0178]","[199.21, 209.7775]","[200.218, 213.5371]","[200.1114, 205.1789]","[199.7813, 202.6917]","[198.7479, 201.2428]","[197.704, 201.0808]","[197.1079, 199.9894]","[196.8113, 199.8319]","[196.561, 198.3829]","[196.1861, 198.4984]","[197.194, 202.2581]"
