,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[125, 150]","[266.3757, 267.711]","[268.7491, 270.4892]","[271.1225, 273.2674]","[271.3462, 271.7524]","[265.7216, 265.7216]","[267.8866, 269.8129]","[269.8939, 270.8571]","[271.9013, 271.9013]","[265.5784, 265.6388]","[259.2555, 259.3763]","[261.6289, 262.1545]","[264.0023, 264.9328]"
"[150, 175]","[249.5921, 308.6071]","[252.0662, 315.9364]","[258.8045, 312.5441]","[255.0435, 313.1049]","[249.2672, 312.5342]","[254.4265, 301.3159]","[246.9367, 303.8503]","[248.7476, 296.9735]","[248.1354, 292.0326]","[249.0479, 287.3757]","[245.5802, 292.4528]","[256.5586, 289.7405]"
"[175, 200]","[249.2759, 309.9854]","[254.5619, 314.1847]","[256.2069, 315.9191]","[254.6989, 315.1376]","[248.8244, 316.3865]","[249.6749, 311.1914]","[253.2479, 303.376]","[251.087, 299.8141]","[248.6059, 295.2482]","[245.6654, 293.048]","[246.0457, 293.5307]","[255.222, 292.3667]"
"[200, 225]","[247.6433, 309.221]","[254.098, 313.1105]","[255.2388, 316.4535]","[254.572, 315.3236]","[249.9846, 315.1415]","[250.479, 310.2278]","[250.4755, 306.565]","[250.5432, 301.7402]","[249.4594, 296.2057]","[245.3976, 294.3427]","[243.8001, 295.1226]","[254.9952, 290.4813]"
"[225, 250]","[247.0888, 307.6465]","[253.3163, 311.7381]","[255.3987, 315.0166]","[254.6677, 315.1005]","[251.2908, 314.5005]","[251.8422, 309.8259]","[251.0906, 307.026]","[251.1465, 302.4375]","[249.9471, 297.2194]","[246.1718, 294.7987]","[242.4285, 296.7325]","[253.1367, 291.2041]"
"[250, 275]","[248.3963, 304.674]","[253.1139, 310.1189]","[255.4861, 313.6246]","[254.7673, 314.2603]","[251.8727, 313.4341]","[252.0405, 309.3074]","[251.1005, 307.2126]","[251.5513, 303.1632]","[250.1501, 298.9638]","[246.5099, 296.4004]","[242.4092, 297.6579]","[250.7516, 292.9972]"
"[275, 300]","[249.5812, 302.2418]","[253.2202, 308.1058]","[255.4772, 311.8458]","[254.7697, 313.039]","[251.8854, 312.782]","[252.4862, 308.6673]","[251.1808, 307.4256]","[251.6358, 304.0586]","[250.6999, 300.0853]","[247.0089, 297.7873]","[242.8479, 298.4984]","[248.9355, 294.837]"
"[300, 325]","[250.2467, 301.002]","[253.8365, 305.9141]","[254.9743, 310.5197]","[254.0781, 312.4092]","[251.9373, 312.2336]","[252.3517, 308.9729]","[251.4323, 307.7315]","[252.1524, 304.4085]","[250.7601, 301.294]","[247.5369, 298.8616]","[243.0441, 299.7718]","[248.4261, 295.9994]"
"[325, 350]","[251.4991, 299.6876]","[254.8545, 303.8854]","[254.7888, 309.2492]","[253.7028, 311.5392]","[252.1946, 311.3502]","[252.1921, 309.144]","[251.5373, 308.0897]","[252.5854, 304.7746]","[250.882, 302.3256]","[248.0753, 299.7877]","[243.2858, 300.9882]","[248.2701, 297.0669]"
"[350, 375]","[252.4746, 298.728]","[255.3996, 302.6011]","[254.7216, 308.1114]","[253.5897, 310.4678]","[252.5108, 310.285]","[252.6365, 308.5462]","[251.8324, 308.1654]","[252.8039, 305.3051]","[251.3472, 302.8782]","[239.6758, 309.3647]","[243.7257, 301.6673]","[247.5982, 298.4591]"
"[375, 400]","[253.8828, 297.8642]","[254.9905, 300.3489]","[254.8517, 307.0975]","[255.82, 311.8989]","[250.7416, 307.857]","[249.6266, 305.5245]","[251.9516, 308.8496]","[253.9248, 306.7021]","[250.835, 302.0879]","[223.0118, 326.1862]","[244.2868, 302.6954]","[247.8551, 300.5205]"
"[400, 425]","[254.6498, 296.9611]","[255.6253, 299.8914]","[255.0226, 307.0896]","[255.587, 311.0557]","[250.5401, 307.5087]","[249.6644, 304.7938]","[252.4998, 309.2816]","[254.8456, 306.9177]","[251.569, 302.5443]","[225.5282, 325.1631]","[244.6752, 303.4298]","[248.1006, 301.342]"
"[425, 450]","[254.441, 297.3303]","[255.5538, 299.8419]","[255.4061, 306.6729]","[255.1525, 310.7904]","[250.7047, 306.8306]","[249.7414, 304.4743]","[253.3212, 308.9473]","[255.5465, 306.7054]","[252.0685, 302.4865]","[224.6551, 326.4276]","[245.0717, 304.0551]","[247.8877, 302.0233]"
