,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[125, 150]","[343.9276, 345.7341]","[347.0407, 349.3705]","[350.154, 353.0069]","[350.43, 350.865]","[343.0989, 343.0989]","[346.0618, 348.5986]","[348.5299, 349.7983]","[350.9979, 350.9979]","[342.7929, 342.9114]","[334.5879, 334.8249]","[337.7011, 338.4614]","[340.8143, 342.0977]"
"[150, 175]","[322.2711, 397.8053]","[325.2836, 407.8138]","[334.1982, 403.509]","[329.332, 404.2913]","[321.6064, 403.6071]","[328.5582, 388.4941]","[318.5115, 391.8625]","[320.6814, 383.0131]","[319.7717, 376.7107]","[320.9646, 370.6581]","[316.4369, 377.2542]","[331.1036, 373.3509]"
"[175, 200]","[321.478, 399.6551]","[328.3882, 405.2939]","[330.5703, 407.7287]","[328.6299, 406.7866]","[320.8577, 408.4493]","[321.8969, 401.5412]","[326.3436, 391.3692]","[323.4934, 386.6719]","[320.2428, 380.7442]","[316.3175, 377.9896]","[316.8637, 378.5516]","[329.119, 376.7264]"
"[200, 225]","[319.0242, 398.5087]","[327.5401, 403.5995]","[329.0915, 408.0703]","[328.2454, 406.6835]","[322.1325, 406.5311]","[322.7003, 400.0267]","[322.5988, 395.1683]","[322.5907, 388.8975]","[321.1444, 381.7463]","[315.8172, 379.4034]","[313.6994, 380.4587]","[328.3828, 374.2872]"
"[225, 250]","[317.9708, 396.3109]","[326.2555, 401.5475]","[329.029, 405.9004]","[328.107, 406.0853]","[323.5983, 405.3919]","[324.3654, 399.1115]","[323.1814, 395.5076]","[323.1843, 389.5242]","[321.5534, 382.8241]","[316.6278, 379.7416]","[311.7289, 382.302]","[325.6402, 375.1083]"
"[250, 275]","[319.4015, 392.2281]","[325.7123, 399.1931]","[328.8653, 403.8081]","[327.9786, 404.6886]","[324.1084, 403.7112]","[324.3551, 398.1905]","[322.9743, 395.4686]","[323.5015, 390.1785]","[321.5761, 384.8408]","[316.8673, 381.5479]","[311.5058, 383.244]","[322.3075, 377.2116]"
"[275, 300]","[320.7068, 388.8089]","[325.561, 396.35]","[328.5655, 401.2442]","[327.7179, 402.8125]","[323.8818, 402.5585]","[324.68, 397.0799]","[322.8484, 395.4596]","[323.4021, 391.0473]","[322.0833, 386.0101]","[317.3067, 383.0717]","[311.8633, 384.0684]","[319.7645, 379.305]"
"[300, 325]","[321.3648, 386.8979]","[326.0928, 393.2448]","[327.6242, 399.2641]","[326.572, 401.689]","[323.7141, 401.5339]","[324.2363, 397.2118]","[322.9264, 395.5838]","[323.8437, 391.2176]","[321.9306, 387.3035]","[317.7792, 384.18]","[311.9028, 385.4435]","[318.8974, 380.5252]"
"[325, 350]","[322.7408, 384.9285]","[327.1342, 390.3602]","[327.1187, 397.3328]","[325.8348, 400.2581]","[323.7956, 400.0949]","[323.7754, 397.1536]","[322.8187, 395.7667]","[324.1576, 391.4185]","[321.8511, 388.3616]","[318.2572, 385.092]","[311.999, 386.7368]","[318.4957, 381.6079]"
"[350, 375]","[323.7592, 383.4134]","[327.5931, 388.4107]","[326.7783, 395.5658]","[325.4281, 398.5787]","[323.9468, 398.425]","[324.0956, 396.0944]","[322.9593, 395.5745]","[324.2069, 391.8149]","[322.2434, 388.7707]","[307.3258, 397.0389]","[312.3545, 387.3262]","[317.4207, 383.1092]"
"[375, 400]","[325.3147, 382.0206]","[326.8256, 385.2032]","[326.7103, 393.9613]","[328.0421, 400.1282]","[321.4018, 394.9852]","[319.9568, 391.8922]","[322.9092, 396.2089]","[325.4031, 393.3261]","[321.3648, 387.4449]","[285.8097, 418.2861]","[312.8475, 388.3509]","[317.5304, 385.4998]"
"[400, 425]","[326.0627, 380.5751]","[327.4, 384.3211]","[326.6855, 393.6372]","[327.4769, 398.7447]","[320.8897, 394.2424]","[319.753, 390.6613]","[323.3647, 396.4687]","[326.3513, 393.3027]","[322.0826, 387.7369]","[288.8248, 416.6723]","[313.1215, 389.0057]","[317.6181, 386.2702]"
"[425, 450]","[325.5668, 380.7551]","[327.0691, 383.9612]","[326.9279, 392.7942]","[326.6588, 398.1001]","[320.8495, 393.0726]","[319.6036, 389.9665]","[324.1661, 395.7466]","[327.0028, 392.7407]","[322.493, 387.3704]","[287.498, 417.9806]","[313.4088, 389.5146]","[317.1121, 386.8592]"
"[450, 475]","[325.0742, 380.8203]","[327.0976, 383.7071]","[327.1054, 392.1088]","[325.8771, 397.5534]","[320.4738, 392.435]","[319.3575, 390.0093]","[324.3459, 395.5196]","[327.5179, 392.253]","[322.9226, 387.2839]","[290.8018, 415.508]","[313.9701, 389.8624]","[317.5631, 387.0701]"
"[475, 500]","[324.6497, 380.9593]","[326.9913, 383.8551]","[327.3752, 390.7753]","[326.3169, 396.7917]","[320.5733, 391.9788]","[319.5791, 389.7524]","[324.0548, 395.6232]","[328.1924, 391.9504]","[323.1092, 387.516]","[288.1675, 418.1866]","[315.2249, 389.5727]","[317.9035, 387.5743]"
"[500, 550]","[323.2342, 382.1421]","[327.6682, 383.8334]","[327.6303, 389.4794]","[326.1099, 395.1325]","[320.945, 390.8754]","[319.3558, 390.0658]","[324.7748, 395.9871]","[328.5817, 392.0595]","[322.813, 388.0596]","[289.5337, 417.4737]","[315.3868, 390.0732]","[317.6324, 388.5397]"
"[550, 600]","[322.0555, 383.3949]","[327.9899, 383.0956]","[327.827, 387.9497]","[325.7061, 392.817]","[321.5915, 389.724]","[319.307, 390.3766]","[324.4256, 395.7547]","[327.9614, 392.9017]","[323.0336, 388.5861]","[288.6733, 419.0649]","[315.8866, 390.2134]","[317.432, 389.6672]"
"[600, 650]","[321.1273, 384.5428]","[328.3162, 382.2427]","[327.8602, 386.8226]","[325.3709, 391.006]","[321.7032, 389.2389]","[319.7551, 389.92]","[325.1542, 394.9021]","[328.0192, 392.8842]","[323.6187, 388.4461]","[291.619, 416.9662]","[315.9927, 390.4489]","[317.3996, 390.1563]"
"[650, 700]","[320.352, 385.2474]","[326.3414, 383.3169]","[328.0469, 385.0877]","[325.6272, 389.1661]","[321.4012, 389.0392]","[320.3959, 389.0075]","[324.7977, 394.5266]","[327.9429, 392.8592]","[323.8594, 388.4983]","[294.5487, 414.2215]","[316.324, 389.7936]","[317.8573, 389.7702]"
"[700, 750]","[319.1655, 386.0688]","[325.3218, 383.3981]","[327.8031, 383.8322]","[326.2415, 386.894]","[321.2899, 388.1333]","[319.9196, 388.7152]","[324.006, 394.1377]","[328.5068, 391.7396]","[324.0227, 388.3596]","[301.9575, 407.148]","[317.0511, 388.9554]","[317.8784, 389.6577]"
"[750, 800]","[317.8398, 386.8096]","[324.1623, 383.484]","[327.363, 383.1918]","[326.1056, 385.4187]","[320.9415, 387.2809]","[319.2291, 388.4729]","[323.7461, 393.4172]","[329.0614, 390.8885]","[323.9003, 388.0702]","[302.0452, 406.3459]","[317.5179, 388.1594]","[317.6065, 389.586]"
"[800, 850]","[316.5827, 387.4056]","[320.8704, 385.2145]","[326.3649, 382.7839]","[325.7187, 384.5133]","[320.9144, 385.7412]","[318.1247, 388.3457]","[322.6384, 392.7812]","[328.415, 390.5192]","[323.113, 387.928]","[305.2435, 402.5658]","[317.6499, 387.7085]","[316.1356, 390.2102]"
"[850, 900]","[314.7916, 388.1239]","[317.5061, 386.7214]","[325.159, 382.4059]","[324.8563, 383.5692]","[320.2686, 384.0166]","[316.762, 388.4159]","[321.5906, 392.499]","[327.9016, 390.2837]","[321.7674, 388.2774]","[309.3249, 397.3056]","[316.7718, 387.7343]","[313.8074, 391.4398]"
"[900, 950]","[312.0049, 389.0828]","[314.5139, 387.7988]","[323.6598, 382.3382]","[323.4091, 383.0778]","[319.2082, 382.7111]","[314.8707, 388.3498]","[318.4249, 392.6784]","[326.7512, 390.0119]","[318.5524, 389.7351]","[297.0969, 407.0637]","[314.698, 388.3423]","[309.5189, 393.5414]"
"[950, 1000]","[307.9416, 390.7494]","[311.8253, 388.5176]","[322.0785, 382.4456]","[320.3161, 383.7409]","[317.0028, 382.5108]","[312.3117, 388.9273]","[315.5524, 393.5802]","[324.9542, 390.3433]","[313.8772, 391.6486]","[295.0645, 406.3398]","[311.0189, 389.6254]","[304.9746, 395.6772]"
"[1000, 1050]","[304.0305, 392.4116]","[308.2352, 389.7307]","[320.0133, 382.6365]","[315.4019, 385.2503]","[313.6566, 383.0108]","[309.0407, 389.3435]","[312.7868, 393.6205]","[323.1467, 390.2588]","[309.4343, 393.4061]","[289.458, 408.7974]","[306.4289, 391.8024]","[300.5185, 397.6399]"
"[1050, 1100]","[300.1153, 393.8563]","[303.6815, 391.5697]","[315.4927, 384.2622]","[310.3278, 387.4765]","[310.085, 383.4022]","[304.4792, 391.0264]","[310.288, 393.721]","[321.3871, 390.2559]","[305.6983, 394.8294]","[287.3632, 408.2115]","[301.7555, 393.8052]","[296.7399, 399.0823]"
"[1100, 1150]","[296.1121, 394.8879]","[298.5815, 393.1911]","[309.0593, 386.7914]","[304.6182, 389.9552]","[304.7685, 384.7129]","[299.5625, 392.3391]","[303.4885, 396.3924]","[318.9613, 390.2956]","[302.2596, 395.8136]","[281.7503, 410.9714]","[297.7795, 395.0061]","[292.6072, 400.4354]"
"[1150, 1200]","[291.1979, 396.5765]","[293.6313, 394.9528]","[301.2632, 389.9153]","[298.8947, 391.6937]","[298.9616, 385.7354]","[293.3536, 394.5893]","[295.8056, 399.5668]","[315.6666, 390.7138]","[298.5649, 396.7735]","[273.2435, 416.1058]","[294.0943, 395.8406]","[287.9406, 401.6411]"
"[1200, 1250]","[285.7264, 398.0898]","[288.8096, 395.7977]","[294.334, 391.637]","[294.1766, 391.837]","[292.4315, 386.7003]","[287.8277, 395.3186]","[284.6128, 403.436]","[310.7037, 391.6927]","[293.5072, 398.123]","[269.6087, 415.9026]","[290.073, 396.3178]","[284.118, 402.0777]"
"[1250, 1300]","[281.1411, 397.9645]","[283.8948, 395.827]","[289.0345, 391.3114]","[290.8574, 389.9749]","[286.1223, 386.6324]","[282.4356, 395.3382]","[275.5116, 405.4844]","[302.8514, 394.0735]","[288.9955, 398.2893]","[265.8033, 415.2819]","[285.416, 396.0445]","[280.1334, 401.7681]"
"[1300, 1350]","[277.7521, 395.6198]","[280.0417, 394.0892]","[284.8454, 389.2226]","[286.7277, 387.1242]","[281.1306, 384.6571]","[278.6541, 393.1375]","[271.2338, 403.38]","[294.6851, 394.6335]","[285.6401, 396.1244]","[264.3726, 410.6941]","[281.7669, 394.1225]","[277.8039, 399.5795]"
"[1350, 1400]","[275.7854, 391.7655]","[278.0134, 390.53]","[282.4418, 384.6634]","[283.4528, 382.8783]","[278.1949, 380.3233]","[275.5644, 389.8887]","[271.214, 397.5649]","[289.3707, 391.5953]","[284.5758, 391.2342]","[264.2278, 404.4677]","[280.5433, 388.6167]","[276.1885, 395.2931]"
"[1400, 1450]","[275.4903, 385.9098]","[277.8205, 384.5533]","[279.6624, 379.6103]","[281.3885, 377.1808]","[278.1713, 373.1546]","[274.1665, 384.5852]","[273.1832, 388.8987]","[287.0116, 385.4399]","[284.8413, 384.6032]","[263.7469, 398.4102]","[281.7391, 380.3022]","[276.1171, 389.0007]"
"[1450, 1500]","[276.6428, 379.0241]","[278.8266, 377.0872]","[279.3989, 373.0461]","[281.7814, 369.959]","[279.2044, 366.2505]","[274.2294, 378.4479]","[277.1817, 378.3224]","[287.6198, 377.5799]","[286.1315, 376.9347]","[267.417, 388.9298]","[283.8143, 371.5108]","[277.9161, 380.9361]"
"[1500, 1550]","[279.3142, 371.2437]","[281.6289, 368.3496]","[281.4224, 365.2463]","[283.0115, 363.1482]","[280.6098, 360.4947]","[275.3858, 371.5662]","[280.8226, 368.3665]","[290.0255, 368.6893]","[288.7806, 368.7433]","[272.6218, 378.7783]","[285.9404, 364.1134]","[280.7349, 372.1508]"
"[1550, 1600]","[282.3388, 363.4413]","[283.9163, 360.9365]","[283.5774, 358.1771]","[284.1618, 357.7958]","[282.5903, 355.3952]","[277.7484, 364.8034]","[284.3723, 360.6019]","[291.9062, 361.7906]","[291.1054, 361.2148]","[276.3551, 370.3039]","[288.2298, 357.8655]","[283.8143, 363.3144]"
