,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[85.1483, 199.7396]","[71.0359, 214.3775]","[75.6034, 204.83]","[70.1609, 214.2056]","[83.8482, 191.1173]","[109.8431, 188.3892]","[-97.763, 256.8025]","[-86.0332, 215.1518]","[-89.6861, 222.6709]","[-99.3677, 251.9143]","[-93.8873, 229.0215]","[92.3991, 202.9457]"
"[175, 200]","[83.0227, 188.3234]","[81.7909, 186.0414]","[80.9521, 187.8632]","[79.9556, 184.124]","[86.2496, 182.5483]","[100.275, 175.7633]","[99.2182, 181.2807]","[-86.4965, 221.3825]","[93.3884, 186.5331]","[91.4199, 195.7943]","[89.2887, 194.0018]","[87.3641, 191.9886]"
"[200, 225]","[69.9154, 168.4779]","[70.2203, 165.6185]","[69.0413, 167.533]","[68.9306, 162.6168]","[74.3858, 159.3854]","[88.4052, 154.8867]","[87.3039, 160.5407]","[80.2284, 161.9534]","[82.9391, 162.1564]","[81.0969, 170.086]","[77.3829, 172.1897]","[-80.3025, 256.7897]"
"[225, 250]","[59.6328, 149.3469]","[59.8904, 146.9677]","[59.4309, 149.8069]","[58.0634, 146.7682]","[64.1698, 140.9828]","[75.4355, 136.9285]","[75.7856, 142.9188]","[69.4852, 142.7055]","[73.1607, 142.7456]","[70.015, 150.4506]","[68.1069, 152.3482]","[-68.8103, 221.6385]"
"[250, 275]","[50.1581, 132.797]","[50.8769, 130.1522]","[49.6727, 134.5934]","[47.0415, 133.1958]","[55.4502, 123.6451]","[66.0646, 119.379]","[65.4608, 126.3027]","[59.0589, 127.0834]","[62.7271, 127.2506]","[59.6146, 134.9194]","[57.7057, 135.6796]","[-55.7152, 227.6858]"
"[275, 300]","[43.3435, 116.732]","[44.4954, 114.0966]","[41.9176, 119.4896]","[38.3857, 118.8208]","[46.9709, 109.3912]","[57.959, 104.2835]","[57.0719, 111.2271]","[48.6416, 114.1086]","[53.095, 113.4599]","[49.869, 121.1616]","[47.8711, 120.4114]","[-61.1859, 195.3522]"
"[300, 325]","[38.9467, 102.4401]","[39.8034, 101.3419]","[37.4971, 104.3155]","[34.7305, 103.4113]","[41.9548, 96.4757]","[52.5125, 91.1531]","[50.83, 97.9655]","[41.5087, 102.6457]","[45.3895, 101.7844]","[43.0968, 107.6078]","[42.4809, 106.0083]","[-55.5547, 183.2797]"
"[325, 350]","[36.2158, 90.4606]","[37.2002, 88.8504]","[34.7373, 92.1589]","[32.5034, 90.8874]","[38.4454, 85.326]","[48.0239, 80.8886]","[46.2307, 86.994]","[36.4528, 93.015]","[39.0174, 92.3888]","[37.6484, 96.2631]","[38.4474, 94.1836]","[-68.0671, 205.3749]"
"[350, 375]","[32.5063, 82.8742]","[34.7478, 79.457]","[32.2416, 82.8216]","[30.7415, 81.3294]","[35.4896, 77.3569]","[44.7857, 72.1128]","[42.4533, 78.6874]","[32.6532, 84.9443]","[34.2313, 84.9084]","[32.5993, 88.2911]","[34.8344, 84.9674]","[-62.993, 186.3578]"
"[375, 400]","[29.1027, 77.0457]","[32.2373, 72.013]","[29.7644, 74.9866]","[28.7379, 73.908]","[32.3713, 71.0281]","[41.5076, 65.4813]","[38.4272, 71.9318]","[30.0212, 77.7043]","[30.574, 78.7046]","[28.9168, 81.19]","[31.5932, 77.4719]","[-58.5267, 173.581]"
"[400, 425]","[26.5407, 70.7953]","[30.0213, 65.3451]","[27.4858, 68.242]","[26.4692, 67.7491]","[29.2118, 65.3414]","[37.9486, 60.0673]","[34.3965, 66.3884]","[27.5058, 70.8331]","[27.2423, 72.5832]","[26.2149, 74.2073]","[28.8607, 70.4013]","[-75.3486, 204.0596]"
"[425, 450]","[24.4173, 64.7752]","[27.8888, 59.221]","[26.0545, 61.4246]","[24.6303, 62.0404]","[26.8416, 59.6788]","[34.148, 55.5644]","[31.2352, 60.9048]","[25.1381, 64.8285]","[24.9219, 66.3588]","[23.8805, 68.2095]","[26.854, 64.0441]","[-70.222, 185.6112]"
"[450, 475]","[22.4633, 59.1122]","[26.0917, 53.6292]","[24.8446, 55.3823]","[23.5991, 56.9675]","[25.1062, 54.4552]","[30.8346, 51.3322]","[28.4773, 55.8337]","[23.0743, 59.4712]","[23.0135, 60.4758]","[21.5672, 62.9247]","[-85.4389, 212.7393]","[-75.2638, 199.2596]"
"[475, 500]","[21.4275, 53.5621]","[24.246, 49.0572]","[23.4729, 50.3009]","[22.5343, 52.2869]","[23.5859, 49.8439]","[28.2996, 47.4404]","[26.4318, 51.0393]","[21.2936, 54.5453]","[21.4622, 55.0617]","[20.6096, 57.6997]","[-73.2827, 185.9581]","[21.5776, 54.6778]"
"[500, 550]","[19.8216, 47.0174]","[21.8031, 43.8733]","[21.5762, 44.4857]","[20.7516, 46.3506]","[21.5207, 44.6532]","[25.2123, 42.5839]","[23.5944, 45.8804]","[19.6336, 48.0331]","[19.5124, 48.3086]","[18.6424, 51.207]","[-83.1103, 202.4738]","[20.3875, 48.3683]"
"[550, 600]","[17.9864, 41.4334]","[19.7084, 38.4421]","[20.0397, 38.711]","[20.3996, 39.1486]","[20.4038, 38.0141]","[23.5818, 36.0108]","[21.5107, 39.4499]","[19.1514, 40.3574]","[18.8346, 40.6128]","[17.7343, 43.3302]","[-82.7118, 188.2822]","[19.5834, 42.0253]"
"[600, 650]","[16.6431, 37.482]","[18.1454, 34.7659]","[19.1054, 34.3536]","[20.76, 33.4772]","[20.122, 33.1897]","[22.6996, 31.3929]","[20.7429, 33.9264]","[19.3424, 34.5358]","[19.1369, 34.7033]","[17.6835, 36.8449]","[-92.5995, 207.5463]","[19.1337, 36.68]"
"[650, 700]","[16.7127, 33.6827]","[17.665, 31.9244]","[18.2928, 31.5816]","[20.001, 30.5498]","[19.7124, 30.0324]","[21.1803, 29.0465]","[19.8855, 30.3921]","[19.6128, 30.311]","[19.4233, 30.5468]","[18.2139, 31.6755]","[-96.3484, 211.1626]","[19.0227, 32.4612]"
"[700, 750]","[16.9061, 30.905]","[17.2101, 30.2012]","[17.3192, 30.0687]","[18.3411, 29.5977]","[19.148, 28.208]","[20.0874, 27.2737]","[18.8885, 28.2937]","[19.5465, 27.6833]","[19.0588, 27.7997]","[18.015, 28.3417]","[-95.1047, 205.5381]","[18.0178, 30.0472]"
"[750, 800]","[16.6336, 29.3332]","[16.3267, 29.2699]","[16.225, 29.2011]","[16.9917, 28.864]","[18.7413, 27.2291]","[18.732, 26.7315]","[17.7257, 27.2164]","[19.3956, 25.8067]","[18.341, 26.0256]","[-68.4076, 135.0718]","[-91.0385, 189.6973]","[17.1016, 28.2036]"
"[800, 850]","[15.9906, 28.4221]","[15.3453, 28.6843]","[15.2966, 28.489]","[15.4428, 28.3485]","[17.6164, 26.8397]","[17.3866, 26.7836]","[16.8278, 26.7295]","[18.6364, 25.0181]","[17.5798, 24.9499]","[-97.6868, 202.6446]","[14.8338, 27.4484]","[16.4175, 27.0448]"
"[850, 900]","[14.9998, 28.0011]","[14.3539, 28.4468]","[14.4299, 28.0066]","[14.2964, 27.7478]","[15.877, 26.326]","[16.3017, 26.4667]","[15.9257, 26.4296]","[17.741, 24.613]","[16.7855, 24.5643]","[-100.5438, 212.6194]","[13.9324, 26.8074]","[15.2389, 26.8417]"
"[900, 950]","[14.0435, 27.6311]","[13.4941, 28.2616]","[13.5583, 27.9525]","[13.707, 27.4022]","[15.6498, 25.5359]","[15.9992, 25.549]","[14.9105, 26.1971]","[16.8915, 24.4486]","[16.1013, 24.4016]","[-100.5684, 210.7114]","[12.9415, 26.2209]","[14.2571, 26.7992]"
"[950, 1000]","[12.9628, 27.4929]","[12.7598, 28.0287]","[13.1506, 27.8373]","[13.4595, 27.1094]","[15.2677, 24.8657]","[16.1477, 24.5561]","[14.003, 26.0005]","[16.2762, 24.2809]","[15.7136, 24.3396]","[-107.5086, 225.3899]","[12.1359, 25.8083]","[-49.8163, 98.3405]"
"[1000, 1050]","[22.5037, 37.6864]","[12.0496, 27.9101]","[8.7027, 23.2038]","[12.0249, 25.3218]","[17.1397, 28.059]","[18.4684, 26.1082]","[12.4836, 24.0049]","[12.0101, 20.7153]","[17.3585, 25.7194]","[-112.7113, 176.6416]","[-127.4135, 207.4851]","[-160.7763, 239.1709]"
"[1050, 1100]","[11.9971, 27.4604]","[12.0811, 27.1893]","[12.9642, 26.7264]","[13.4731, 25.9689]","[13.3802, 25.4686]","[14.9639, 24.1016]","[14.0733, 24.6821]","[14.6974, 24.7101]","[15.4499, 24.0191]","[-111.7271, 230.606]","[-86.6177, 160.475]","[-113.0673, 213.3759]"
"[1100, 1150]","[11.3381, 27.9531]","[12.1864, 27.1077]","[13.0459, 26.1329]","[13.1419, 25.6979]","[14.4332, 24.5099]","[14.215, 24.6448]","[14.3648, 24.3828]","[14.5267, 24.5561]","[-108.7058, 222.0378]","[-87.7376, 168.7291]","[6.2737, 35.3753]","[-6.0046, 50.9071]"
"[1150, 1200]","[10.9025, 28.2796]","[11.4777, 27.8831]","[13.0894, 26.2402]","[13.1076, 25.8477]","[15.1411, 24.0841]","[14.933, 24.2274]","[14.8802, 24.5778]","[14.79, 24.3437]","[-102.428, 226.0837]","[14.163, 23.4289]","[-8.977, 53.9969]","[-4.6478, 51.5828]"
