,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[109.2742, 254.6055]","[91.4972, 273.0336]","[97.2081, 260.9831]","[90.4239, 272.7616]","[107.5971, 243.699]","[140.5771, 240.2498]","[-124.8184, 327.8676]","[-109.8538, 274.7227]","[-114.5251, 284.3423]","[-126.8879, 321.6842]","[-119.8882, 292.4486]","[118.5469, 258.6044]"
"[175, 200]","[106.2988, 240.3264]","[104.8587, 237.3241]","[103.6909, 239.7389]","[102.5104, 234.8977]","[110.4029, 233.0295]","[128.2306, 224.4082]","[126.9304, 231.3313]","[-110.4531, 282.7003]","[119.4772, 237.9919]","[116.9473, 249.8255]","[114.2015, 247.5805]","[111.8345, 244.9579]"
"[200, 225]","[89.4944, 214.9749]","[89.9666, 211.263]","[88.392, 213.7812]","[88.2923, 207.4678]","[95.1446, 203.4671]","[112.9931, 197.7481]","[111.6488, 204.8534]","[102.6576, 206.599]","[106.0853, 206.8649]","[103.7233, 216.9881]","[98.9471, 219.7213]","[-102.489, 327.7763]"
"[225, 250]","[76.3089, 190.5023]","[76.6887, 187.4384]","[76.0568, 191.1104]","[74.3507, 187.182]","[82.0367, 179.9289]","[96.3691, 174.7802]","[96.8804, 182.3257]","[88.8748, 182.0051]","[93.5406, 182.0607]","[89.5309, 191.8787]","[87.0581, 194.3446]","[-87.7928, 282.7952]"
"[250, 275]","[64.1639, 169.3269]","[65.1087, 165.943]","[63.5473, 171.6339]","[60.2195, 169.8149]","[70.8609, 157.7364]","[84.3587, 152.3207]","[83.6413, 161.081]","[75.5057, 162.0303]","[80.166, 162.2492]","[76.1986, 172.0142]","[73.7425, 173.0142]","[-70.9658, 290.2597]"
"[275, 300]","[55.4158, 148.7817]","[56.9078, 145.4081]","[53.6019, 152.3096]","[49.1181, 151.4337]","[60.0029, 139.4865]","[73.9836, 132.9878]","[72.8874, 141.7975]","[62.1613, 145.4352]","[67.8299, 144.6092]","[63.7097, 154.4228]","[61.1563, 153.4787]","[-77.9116, 248.9166]"
"[300, 325]","[49.7637, 130.5064]","[50.8727, 129.0913]","[47.9166, 132.9102]","[44.4014, 131.7442]","[53.5675, 122.9565]","[66.9937, 116.1889]","[64.8815, 124.8311]","[53.0168, 130.7733]","[57.9554, 129.6764]","[55.0293, 137.0934]","[54.2426, 135.0577]","[-70.6954, 233.396]"
"[325, 350]","[46.2418, 115.1932]","[47.509, 113.1261]","[44.3592, 117.3629]","[41.5202, 115.7367]","[49.0588, 108.6908]","[61.2352, 103.052]","[58.9765, 110.798]","[46.5331, 118.4502]","[49.7953, 117.6523]","[48.0484, 122.5831]","[49.0622, 119.9366]","[-86.5146, 261.2824]"
"[350, 375]","[41.4794, 105.4839]","[44.3456, 101.1193]","[41.1434, 105.4195]","[39.2372, 103.5188]","[45.2612, 98.4872]","[57.0768, 91.8222]","[54.1257, 100.1688]","[41.6563, 108.1236]","[43.6649, 108.0749]","[41.5846, 112.3775]","[44.4242, 108.1494]","[-79.9906, 236.9442]"
"[375, 400]","[37.1108, 98.0206]","[41.1129, 91.604]","[37.956, 95.401]","[36.6529, 94.0279]","[41.2598, 90.3841]","[52.8686, 83.3359]","[48.9634, 91.5243]","[38.2708, 98.8634]","[38.9761, 100.1306]","[36.8671, 103.2886]","[40.2673, 98.5606]","[-74.2901, 220.5867]"
