,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2200, 2300]","[134.3468, 169.9391]","[142.4387, 184.9989]","[133.5524, 188.9341]","[121.1529, 184.4211]","[119.1038, 181.1788]","[123.1673, 189.0991]","[95.6986, 227.8011]","[98.3108, 213.6105]","[18.6559, 257.742]","[-46.5068, 287.7692]","[-48.2224, 283.2026]","[20.5708, 242.9002]"
"[2300, 2400]","[137.0493, 174.0975]","[146.5832, 184.0386]","[130.1663, 194.112]","[115.0422, 192.5095]","[113.0122, 189.3936]","[120.168, 193.7979]","[83.6418, 241.7571]","[120.5852, 195.5741]","[29.235, 255.7416]","[-60.2181, 314.1596]","[-79.3941, 328.2462]","[-6.6966, 281.5148]"
"[2400, 2500]","[137.3045, 177.2368]","[146.7094, 185.0345]","[130.8479, 194.78]","[116.2722, 194.0641]","[114.6705, 191.0744]","[112.2502, 204.1088]","[99.9563, 226.8741]","[121.2268, 197.3479]","[30.0471, 260.4821]","[-43.3567, 306.0693]","[-64.2643, 322.6214]","[6.958, 274.9465]"
"[2500, 2600]","[138.9382, 180.5966]","[146.3164, 185.7356]","[130.1316, 195.1725]","[116.7518, 195.8302]","[116.5796, 193.374]","[107.8867, 211.4123]","[90.9023, 235.7288]","[120.2123, 197.1142]","[34.7906, 257.9118]","[-35.5697, 306.4096]","[-37.4289, 307.6846]","[18.8663, 273.4161]"
"[2600, 2700]","[141.7732, 182.277]","[146.1087, 188.3545]","[130.7813, 196.4894]","[117.2132, 198.1839]","[117.9253, 195.5722]","[121.9107, 200.6472]","[85.703, 243.4506]","[120.416, 199.6274]","[43.3551, 253.8364]","[-24.9679, 302.686]","[-27.2854, 305.6003]","[36.8104, 262.4883]"
"[2700, 2800]","[144.8387, 183.4741]","[146.0523, 190.887]","[131.859, 198.2999]","[118.8836, 200.3643]","[119.4524, 197.8367]","[127.2878, 198.2185]","[93.8802, 238.3582]","[117.7311, 207.7915]","[76.0297, 230.4292]","[-1.3954, 291.0105]","[-17.3183, 306.9817]","[56.9944, 250.2958]"
"[2800, 2900]","[148.5202, 185.3942]","[147.2934, 193.9516]","[133.3561, 200.262]","[120.8111, 201.7693]","[121.2541, 199.5312]","[116.6598, 212.2472]","[101.9003, 233.3661]","[117.0751, 211.3883]","[95.3638, 214.7641]","[1.371, 293.3045]","[-11.4283, 307.3712]","[78.9258, 234.8578]"
"[2900, 3000]","[149.3323, 185.7547]","[148.7857, 197.5472]","[136.2516, 203.8312]","[123.7956, 203.4641]","[122.7772, 200.1238]","[129.3074, 201.2213]","[96.445, 242.4055]","[119.4663, 214.5687]","[111.9557, 203.0629]","[34.6622, 261.4828]","[-21.9747, 316.0479]","[64.1013, 247.6107]"
"[3000, 3100]","[149.9253, 187.5441]","[150.8533, 200.4408]","[138.9861, 207.2529]","[127.4547, 204.7812]","[125.0676, 200.6614]","[128.6539, 203.923]","[98.0571, 244.3103]","[128.3682, 211.4168]","[115.0981, 206.3086]","[81.8607, 218.8734]","[-20.1824, 316.181]","[57.7882, 254.7959]"
"[3100, 3200]","[153.993, 192.0363]","[154.1044, 204.8521]","[141.2505, 208.389]","[128.9957, 204.4282]","[128.6899, 200.5792]","[135.0438, 205.01]","[116.3239, 233.7154]","[129.5577, 212.3774]","[113.2036, 202.944]","[64.7172, 227.7184]","[-6.0565, 297.8237]","[65.8752, 250.2118]"
