,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2200, 2300]","[162.9295, 205.4121]","[172.7217, 223.7045]","[161.9662, 228.6026]","[146.9853, 223.2119]","[144.471, 219.2699]","[149.2915, 228.7508]","[118.8381, 272.5729]","[126.7034, 250.5904]","[22.3676, 311.9934]","[-54.9587, 346.9336]","[-58.5898, 343.0535]","[24.9799, 293.9726]"
"[2300, 2400]","[165.8059, 210.0191]","[177.1965, 222.2955]","[157.3632, 234.6268]","[139.0777, 232.7413]","[136.5483, 228.9411]","[145.1179, 234.1959]","[105.5297, 287.5684]","[145.6846, 236.3582]","[35.3381, 309.1559]","[-72.7864, 379.789]","[-96.0159, 396.7362]","[-7.8321, 339.7788]"
"[2400, 2500]","[165.6658, 213.2565]","[176.8401, 222.8734]","[157.6995, 234.7329]","[140.134, 233.9384]","[138.1914, 230.361]","[135.2584, 246.0496]","[120.4186, 273.4602]","[146.0362, 237.8609]","[38.7432, 311.3378]","[-52.3414, 368.8755]","[-77.5493, 388.7939]","[8.6711, 330.9151]"
"[2500, 2600]","[167.1613, 216.6655]","[175.8857, 223.0657]","[156.4031, 234.5433]","[140.3033, 235.4103]","[140.0747, 232.47]","[129.6226, 254.1195]","[109.2097, 283.3389]","[144.4452, 236.9493]","[42.7628, 309.0524]","[-42.7908, 368.284]","[-45.0618, 369.7534]","[22.9539, 328.1247]"
"[2600, 2700]","[170.1073, 218.0399]","[175.1434, 225.5765]","[156.7395, 235.4536]","[140.4521, 237.5471]","[141.2756, 234.4324]","[146.0489, 240.5035]","[102.6823, 291.7967]","[144.2991, 239.298]","[51.9583, 304.2454]","[-29.3662, 362.1526]","[-32.7942, 366.1809]","[44.396, 314.0665]"
"[2700, 2800]","[173.2801, 218.8355]","[174.5758, 227.9431]","[157.5847, 236.9452]","[142.0445, 239.4947]","[142.6965, 236.4771]","[152.0362, 236.9268]","[112.1567, 284.8777]","[140.6955, 248.3833]","[90.8942, 275.4379]","[-1.6723, 347.8117]","[-20.764, 366.8211]","[68.4233, 298.5801]"
"[2800, 2900]","[177.1863, 220.4828]","[175.5733, 230.9628]","[158.932, 238.6045]","[143.9282, 240.4652]","[144.4287, 237.8017]","[138.9638, 252.9535]","[121.41, 278.1368]","[139.5168, 251.9556]","[113.6391, 255.9286]","[2.3001, 348.7136]","[-12.9041, 365.2881]","[94.3843, 279.2172]"
"[2900, 3000]","[177.6517, 220.2593]","[176.8367, 234.5353]","[161.9106, 242.1565]","[147.0689, 241.8158]","[145.8337, 237.8493]","[153.5791, 239.1356]","[114.5649, 288.0636]","[141.9529, 255.0253]","[133.07, 241.3488]","[41.1903, 310.7357]","[-26.1888, 375.5058]","[76.5133, 293.6365]"
"[3000, 3100]","[177.8464, 221.7387]","[178.7841, 237.2875]","[164.6883, 245.5219]","[150.9888, 242.6845]","[148.1368, 237.7993]","[152.3668, 241.6473]","[116.1457, 289.4956]","[152.0949, 250.5628]","[136.4159, 244.5045]","[96.9945, 259.3613]","[-23.9864, 374.5764]","[68.8046, 301.306]"
"[3100, 3200]","[182.1324, 226.4179]","[182.1149, 241.8237]","[166.8933, 246.1682]","[152.3761, 241.5777]","[151.9826, 237.0299]","[159.4732, 242.245]","[137.3836, 276.1623]","[153.0668, 250.9828]","[133.7868, 239.8301]","[76.4539, 269.069]","[-7.2415, 351.8137]","[78.1766, 294.9998]"
