,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[0.00021, 0.00149]","[0.00039, 0.00119]","[0.00057, 0.00089]","[0.00065, 0.00076]","[0.0, 0.04393]","[0.0, 0.01885]","[0.0006, 0.00091]","[0.0, 0.03153]","[0.0, 0.02786]","[0.00043, 0.00136]","[0.0, 0.0021]","[2e-05, 0.00179]"
"[175, 200]","[0.0, 0.00913]","[0.00038, 0.00132]","[0.00051, 0.00146]","[0.00076, 0.00142]","[0.0, 0.0229]","[0.0, 0.00329]","[0.001, 0.00172]","[0.0, 0.0264]","[0.0, 0.02662]","[0.0, 0.01925]","[0.0, 0.02586]","[0.00073, 0.00175]"
"[200, 225]","[0.0, 0.01179]","[0.0004, 0.00118]","[0.00053, 0.00123]","[0.0007, 0.00148]","[0.0, 0.02205]","[0.0, 0.01267]","[0.0, 0.00475]","[0.0, 0.02314]","[0.0, 0.01963]","[0.0, 0.02482]","[0.0, 0.02786]","[0.00106, 0.00179]"
"[225, 250]","[0.0, 0.00979]","[0.0005, 0.001]","[0.00047, 0.00115]","[0.00081, 0.00132]","[0.0, 0.02102]","[0.0, 0.02031]","[0.0, 0.00901]","[0.0, 0.02339]","[0.0, 0.01513]","[0.0, 0.02565]","[0.0, 0.02447]","[0.00093, 0.00166]"
"[250, 275]","[0.0, 0.00924]","[0.00047, 0.00103]","[0.00039, 0.00107]","[0.00079, 0.00111]","[0.0, 0.01611]","[0.0, 0.01933]","[0.00069, 0.00174]","[0.0, 0.021]","[0.00107, 0.00151]","[0.0, 0.0225]","[0.0, 0.02582]","[0.00108, 0.0017]"
"[275, 300]","[0.0, 0.01376]","[0.00045, 0.00108]","[0.0, 0.00184]","[0.00066, 0.00122]","[0.0, 0.01583]","[0.0, 0.01901]","[0.0, 0.01151]","[0.0, 0.01568]","[0.00098, 0.00138]","[0.0, 0.02441]","[0.0, 0.02601]","[0.00113, 0.00182]"
"[300, 325]","[0.0, 0.01295]","[0.00049, 0.00105]","[0.00045, 0.00096]","[0.00067, 0.00115]","[0.0, 0.01339]","[0.0, 0.01776]","[0.0, 0.00653]","[0.0, 0.00605]","[0.00057, 0.00118]","[0.0, 0.01816]","[0.0, 0.02309]","[0.00076, 0.00196]"
"[325, 350]","[0.0, 0.01707]","[0.00051, 0.00116]","[0.00034, 0.00112]","[0.00025, 0.00155]","[0.0, 0.01431]","[0.0, 0.01771]","[0.0, 0.00221]","[0.0, 0.00485]","[0.0004, 0.00104]","[0.00074, 0.0012]","[0.0, 0.02232]","[0.00074, 0.00198]"
"[350, 375]","[0.0, 0.01699]","[0.00056, 0.00118]","[0.0005, 0.00097]","[0.00024, 0.00145]","[0.0, 0.01549]","[0.0, 0.01104]","[0.0, 0.01383]","[0.0, 0.01072]","[0.00052, 0.00113]","[0.0, 0.00744]","[0.0, 0.02037]","[0.00087, 0.00167]"
"[375, 400]","[0.0, 0.00585]","[0.00044, 0.00086]","[0.00037, 0.00091]","[0.00036, 0.00141]","[0.0, 0.01372]","[0.0, 0.01463]","[0.0, 0.00625]","[0.0, 0.01502]","[0.00055, 0.00145]","[0.0, 0.01572]","[0.0, 0.02723]","[0.00101, 0.00167]"
"[400, 425]","[0.0, 0.01554]","[0.00057, 0.00111]","[0.00048, 0.00107]","[0.00021, 0.00145]","[0.0, 0.01316]","[0.0, 0.00875]","[0.00073, 0.00116]","[0.0, 0.01659]","[0.00082, 0.00126]","[0.0, 0.02324]","[0.0, 0.01891]","[0.00094, 0.00144]"
"[425, 450]","[0.0, 0.01345]","[0.00047, 0.00103]","[0.00035, 0.00108]","[0.00064, 0.00111]","[0.0, 0.01337]","[0.0, 0.01699]","[0.00087, 0.00121]","[0.0, 0.01614]","[0.00083, 0.00124]","[0.0, 0.025]","[0.0, 0.02035]","[0.00092, 0.00155]"
"[450, 475]","[0.0, 0.0074]","[0.00044, 0.00093]","[0.00043, 0.00093]","[0.00058, 0.00119]","[0.0, 0.01473]","[0.0, 0.01787]","[0.00088, 0.00125]","[0.0, 0.01611]","[0.0, 0.00812]","[0.0, 0.01775]","[0.0, 0.02107]","[0.00085, 0.00147]"
"[475, 500]","[0.0, 0.0094]","[0.00046, 0.001]","[0.00031, 0.00109]","[0.00039, 0.00136]","[0.0, 0.01532]","[0.0, 0.0178]","[0.00096, 0.00116]","[0.0, 0.0141]","[0.00053, 0.00107]","[0.0, 0.00217]","[0.0, 0.01787]","[0.00078, 0.0014]"
"[500, 550]","[0.0, 0.01503]","[0.0005, 0.00117]","[0.00046, 0.00096]","[0.00042, 0.00122]","[0.0, 0.01468]","[0.0, 0.01824]","[0.00094, 0.00127]","[0.0, 0.0136]","[0.00027, 0.00122]","[0.0, 0.00226]","[0.0, 0.01397]","[0.0, 0.00974]"
"[550, 600]","[0.0, 0.00423]","[0.00047, 0.00082]","[0.00035, 0.00096]","[0.0, 0.00222]","[0.0, 0.01521]","[0.0, 0.0188]","[0.00078, 0.00129]","[0.0, 0.01002]","[0.00056, 0.00085]","[0.0, 0.00175]","[0.0, 0.01546]","[0.0, 0.00797]"
"[600, 650]","[0.0, 0.00282]","[0.00032, 0.00095]","[0.00032, 0.00099]","[0.00076, 0.00102]","[0.0, 0.01477]","[0.0, 0.02018]","[0.00096, 0.00122]","[0.0, 0.01257]","[0.00049, 0.00098]","[0.0, 0.0022]","[0.0, 0.01338]","[0.0004, 0.00147]"
"[650, 700]","[0.0, 0.01279]","[0.00047, 0.00106]","[0.00037, 0.00102]","[0.00062, 0.00105]","[0.0, 0.01498]","[0.0, 0.01706]","[0.00089, 0.00122]","[0.0, 0.01271]","[0.0, 0.00694]","[0.0, 0.00816]","[0.0, 0.01574]","[0.0, 0.0091]"
"[700, 750]","[0.0, 0.01521]","[0.00064, 0.00107]","[0.00053, 0.00094]","[0.0, 0.00161]","[0.0, 0.01448]","[0.0, 0.00992]","[0.00086, 0.00109]","[0.0, 0.01458]","[0.0, 0.00792]","[0.0, 0.01033]","[0.0, 0.0152]","[0.0, 0.01095]"
"[750, 800]","[0.0, 0.01406]","[0.00021, 0.00142]","[0.00045, 0.00103]","[0.00018, 0.00142]","[0.0, 0.01442]","[0.00053, 0.00123]","[0.00052, 0.00098]","[0.0, 0.00557]","[0.00039, 0.00093]","[0.0, 0.00473]","[0.0, 0.01323]","[0.0, 0.00922]"
"[800, 850]","[0.0, 0.00659]","[0.0, 0.00426]","[0.00035, 0.00105]","[0.0, 0.0017]","[0.0, 0.01445]","[0.00062, 0.00114]","[0.00047, 0.00091]","[0.00035, 0.00078]","[0.00039, 0.00091]","[0.0, 0.0023]","[0.0, 0.01696]","[0.0, 0.01026]"
"[850, 900]","[0.0, 0.01568]","[0.00064, 0.00101]","[0.00049, 0.0009]","[0.0, 0.00179]","[0.0, 0.01475]","[0.00039, 0.00143]","[0.00048, 0.00097]","[0.00036, 0.00073]","[0.00038, 0.0008]","[0.00075, 0.00101]","[0.0, 0.01554]","[0.0, 0.01405]"
"[900, 950]","[0.0, 0.01706]","[0.00062, 0.00103]","[0.0005, 0.00089]","[0.0, 0.00154]","[0.0, 0.01403]","[0.00061, 0.00117]","[0.00052, 0.00091]","[0.0, 0.00411]","[0.00034, 0.00092]","[0.0, 0.00264]","[0.0, 0.01909]","[0.0, 0.01159]"
"[950, 1000]","[0.0, 0.01711]","[0.00066, 0.00094]","[0.00042, 0.00096]","[0.0, 0.00207]","[0.0, 0.01444]","[0.0, 0.00351]","[0.00046, 0.00093]","[0.00021, 0.00088]","[0.0004, 0.00092]","[0.0, 0.0138]","[0.0, 0.02095]","[0.0, 0.01236]"
"[1000, 1050]","[0.0, 0.01667]","[0.00055, 0.00108]","[0.00024, 0.00116]","[0.0, 0.0018]","[0.0, 0.01438]","[0.00074, 0.001]","[0.00046, 0.00094]","[0.00034, 0.00078]","[0.00045, 0.00083]","[0.0, 0.01249]","[0.0, 0.01824]","[0.0, 0.01273]"
"[1050, 1100]","[0.0, 0.01701]","[0.00062, 0.00099]","[0.00022, 0.00121]","[0.00041, 0.00117]","[0.0, 0.01435]","[0.00026, 0.00143]","[0.00056, 0.00083]","[0.00035, 0.00083]","[0.00037, 0.001]","[0.0, 0.01777]","[0.0, 0.0171]","[0.0, 0.01035]"
"[1100, 1150]","[0.0, 0.01697]","[0.00052, 0.00106]","[0.00035, 0.00112]","[0.00048, 0.00121]","[0.0, 0.01676]","[0.00079, 0.00104]","[0.00043, 0.00101]","[0.00043, 0.0007]","[0.00046, 0.0008]","[0.0, 0.0124]","[0.0, 0.01708]","[0.0, 0.00885]"
"[1150, 1200]","[0.0, 0.01667]","[0.0006, 0.001]","[0.00037, 0.00098]","[0.00058, 0.00099]","[0.0, 0.01498]","[0.0, 0.0077]","[0.00056, 0.00091]","[0.00038, 0.00074]","[0.00043, 0.00079]","[0.0, 0.01437]","[0.0, 0.01695]","[0.0, 0.01418]"
"[1200, 1250]","[0.0, 0.01692]","[0.00042, 0.00112]","[0.00045, 0.00088]","[0.00066, 0.00093]","[0.0, 0.0143]","[0.0, 0.01447]","[0.00065, 0.00098]","[0.00052, 0.00069]","[0.0005, 0.00072]","[0.0, 0.01671]","[0.0, 0.01642]","[0.0, 0.01195]"
"[1250, 1300]","[0.0, 0.01687]","[0.00058, 0.00093]","[0.0, 0.00175]","[0.00069, 0.00113]","[0.0, 0.01903]","[0.00075, 0.00115]","[0.00056, 0.00089]","[9e-05, 0.00103]","[0.00046, 0.00081]","[0.0, 0.01639]","[0.0, 0.01677]","[0.0, 0.00577]"
"[1300, 1350]","[0.0, 0.01655]","[0.00054, 0.00102]","[0.0, 0.0032]","[0.00069, 0.00097]","[0.0, 0.01644]","[0.00069, 0.0011]","[0.00048, 0.00095]","[0.0, 0.00539]","[0.00053, 0.00079]","[0.0, 0.01715]","[0.0, 0.01672]","[0.0, 0.01101]"
"[1350, 1400]","[0.0, 0.01629]","[0.00052, 0.0011]","[0.0, 0.00464]","[0.00055, 0.00099]","[0.0, 0.01428]","[0.0, 0.00907]","[0.00032, 0.00119]","[0.00039, 0.00078]","[0.00034, 0.00089]","[0.0, 0.01824]","[0.0, 0.01244]","[0.0, 0.01618]"
