,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[2600, 2700]","[0.00062, 0.09809]","[0.0, 0.09481]","[0.0, 0.10225]","[0.0, 0.09545]","[0.0, 0.09482]","[0.0, 0.067]","[0.0, 0.06073]","[0.0, 0.05731]","[0.0, 0.06007]","[0.0, 0.06491]","[0.0, 0.08502]","[0.00286, 0.08994]"
"[2700, 2800]","[0.0, 0.09984]","[0.0, 0.09639]","[0.0, 0.09916]","[0.0, 0.09859]","[0.0, 0.093]","[0.0, 0.06416]","[0.0, 0.06009]","[0.0, 0.05739]","[0.0, 0.05701]","[0.0, 0.06365]","[0.0, 0.08204]","[0.0, 0.10156]"
"[2800, 2900]","[0.0, 0.10005]","[0.0, 0.09622]","[0.0, 0.09792]","[0.0, 0.09795]","[0.0, 0.09243]","[0.0, 0.06319]","[0.0, 0.05946]","[0.0, 0.05658]","[0.0, 0.0581]","[0.0, 0.06291]","[0.0, 0.08455]","[0.0, 0.09353]"
"[2900, 3000]","[0.0, 0.09957]","[0.0, 0.09587]","[0.0, 0.10167]","[0.0, 0.09645]","[0.0, 0.09201]","[0.0, 0.06319]","[0.0, 0.05829]","[0.0, 0.05698]","[0.0, 0.05994]","[0.0, 0.06855]","[0.0, 0.08703]","[0.0, 0.09673]"
"[3000, 3100]","[0.0, 0.09972]","[0.0, 0.09486]","[0.0, 0.09743]","[0.0, 0.09596]","[0.0, 0.09242]","[0.0, 0.06547]","[0.0, 0.05954]","[0.0, 0.05996]","[0.0, 0.06146]","[0.0, 0.0682]","[0.0, 0.08222]","[0.0, 0.09521]"
"[3100, 3200]","[0.0, 0.09984]","[0.0, 0.09405]","[0.0, 0.0959]","[0.0, 0.0952]","[0.0, 0.09248]","[0.0, 0.06719]","[0.0, 0.06484]","[0.0, 0.05939]","[0.0, 0.05755]","[0.0, 0.06123]","[0.0, 0.08145]","[0.0, 0.09324]"
"[3200, 3300]","[0.0, 0.09941]","[0.0, 0.0932]","[0.0, 0.09631]","[0.0, 0.09696]","[0.0, 0.09256]","[0.0, 0.06669]","[0.0, 0.05954]","[0.0, 0.0532]","[0.0, 0.05378]","[0.0, 0.05892]","[0.0, 0.079]","[0.0, 0.09159]"
"[3300, 3400]","[0.0, 0.09789]","[0.0, 0.09364]","[0.0, 0.0983]","[0.0, 0.09689]","[0.0, 0.0894]","[0.0, 0.0622]","[0.0, 0.05433]","[0.0, 0.05109]","[0.0, 0.05129]","[0.0, 0.05695]","[0.0, 0.07783]","[0.0, 0.09244]"
"[3400, 3500]","[0.0, 0.09666]","[0.0, 0.09441]","[0.0, 0.09916]","[0.0, 0.0939]","[0.0, 0.08913]","[0.0, 0.07645]","[0.0, 0.05389]","[0.0, 0.05061]","[0.0, 0.05013]","[0.0, 0.05683]","[0.0, 0.07794]","[0.0, 0.09275]"
"[3500, 3600]","[0.0, 0.09631]","[0.0, 0.09465]","[0.0, 0.09634]","[0.0, 0.09208]","[0.0, 0.08685]","[0.0, 0.05943]","[0.0, 0.05238]","[0.0, 0.04931]","[0.0, 0.05047]","[0.0, 0.05689]","[0.0, 0.07815]","[0.0, 0.09137]"
