,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[125, 150]","[0.21194, 0.32987]","[0.29564, 0.29564]","[0.25374, 0.4254]","[0.09462, 0.63607]","[0.29713, 0.3461]","[0.16938, 0.23319]","[0.03204, 0.09239]","[0.0, 0.01453]","[0.0, 0.03451]","[0.0913, 0.12408]","[0.20283, 0.20283]","[0.22371, 0.28268]"
"[150, 175]","[0.0, 0.33581]","[0.0, 0.41595]","[0.0, 0.51809]","[0.0, 0.91469]","[0.0, 0.51647]","[0.0, 0.4672]","[0.0, 2.12964]","[0.0, 0.07422]","[0.0, 0.09939]","[0.0, 0.52675]","[0.0, 0.35411]","[0.0, 1.62088]"
"[175, 200]","[0.0, 0.31567]","[0.0, 0.39794]","[0.0, 0.46777]","[0.0, 0.80165]","[0.0, 0.45557]","[0.0, 0.28805]","[0.0, 0.70931]","[0.0, 0.63801]","[0.0, 0.16193]","[0.0, 1.00512]","[0.0, 0.66458]","[0.0, 1.4737]"
"[200, 225]","[0.0, 0.43359]","[0.0, 0.38314]","[0.0, 0.42886]","[0.0, 0.73497]","[0.0, 0.34871]","[0.0, 0.19846]","[0.0, 0.34256]","[0.0, 0.74079]","[0.0, 0.10104]","[0.0, 0.99673]","[0.0, 0.53861]","[0.0, 1.40337]"
"[225, 250]","[0.0, 0.36591]","[0.0, 0.35266]","[0.0, 0.49077]","[0.0, 0.77334]","[0.0, 0.24788]","[0.0, 0.24871]","[0.0, 0.74379]","[0.0, 0.66195]","[0.01084, 0.0803]","[0.0, 0.92669]","[0.0, 0.66647]","[0.0, 1.52622]"
"[250, 275]","[0.0, 0.54428]","[0.0, 0.33289]","[0.0, 0.38986]","[0.0, 0.96828]","[0.0, 0.2102]","[0.0, 0.16411]","[0.0, 0.82085]","[0.0, 0.74254]","[0.01117, 0.08113]","[0.0, 0.78885]","[0.01282, 0.08184]","[0.0, 1.46628]"
"[275, 300]","[0.0, 0.28804]","[0.0, 0.32149]","[0.0, 0.36482]","[0.0, 1.01059]","[0.0, 0.18586]","[0.0, 0.13885]","[0.0, 0.26619]","[0.0, 0.69817]","[0.0, 0.24746]","[0.0, 0.66243]","[0.01499, 0.08341]","[0.0, 1.81375]"
"[300, 325]","[0.0, 0.25641]","[0.0, 0.2892]","[0.0, 0.34664]","[0.0, 1.02444]","[0.0, 0.17202]","[0.0, 0.2319]","[0.0, 0.42967]","[0.0, 0.77978]","[0.0, 0.5828]","[0.0, 0.57011]","[0.01045, 0.07985]","[0.0, 1.57915]"
"[325, 350]","[0.0, 0.27575]","[0.0, 0.26273]","[0.0, 0.3549]","[0.0, 0.82745]","[0.0, 0.18666]","[0.0, 0.11595]","[0.0, 0.26843]","[0.0, 0.74923]","[0.0, 0.51663]","[0.0, 0.77751]","[0.00918, 0.07628]","[0.0, 1.3205]"
"[350, 375]","[0.0, 0.23386]","[0.0, 0.24317]","[0.0, 0.32101]","[0.0, 0.64872]","[0.0, 0.14186]","[0.0, 0.09303]","[0.0, 0.48413]","[0.0, 0.74843]","[0.0, 0.68125]","[0.0, 0.75063]","[0.0, 0.68817]","[0.0, 1.50604]"
"[375, 400]","[0.0, 0.236]","[0.0, 0.22055]","[0.0, 0.29016]","[0.0, 0.51926]","[0.0, 0.13493]","[0.0, 0.2892]","[0.0, 0.15077]","[0.0, 0.79157]","[0.0, 0.58162]","[0.0, 0.62497]","[0.0, 0.82129]","[0.0, 0.96218]"
"[400, 425]","[0.0, 0.32857]","[0.0, 0.211]","[0.0, 0.28243]","[0.0, 0.27772]","[0.0, 0.13944]","[0.0, 0.14804]","[0.0, 0.24404]","[0.0, 0.7766]","[0.0, 0.69051]","[0.0, 0.73445]","[0.0, 0.92034]","[0.0, 1.4177]"
"[425, 450]","[0.0, 0.21131]","[0.0, 0.20518]","[0.0, 0.26585]","[0.0, 0.29888]","[0.0, 0.13171]","[0.0, 0.114]","[0.0, 0.52456]","[0.0, 0.80377]","[0.0, 0.68037]","[0.0, 0.69786]","[0.0, 0.99805]","[0.0, 1.42702]"
"[450, 475]","[0.0, 0.19321]","[0.0, 0.18918]","[0.0, 0.25518]","[0.0, 0.26]","[0.0, 0.16668]","[0.0, 0.1161]","[0.0, 1.09513]","[0.0, 0.75207]","[0.0, 0.52757]","[0.0, 0.82127]","[0.0, 0.81161]","[0.0, 1.26221]"
"[475, 500]","[0.0, 0.17837]","[0.0, 0.18591]","[0.0, 0.28366]","[0.0, 0.29062]","[0.0, 0.16196]","[0.0, 0.16052]","[0.0, 0.85232]","[0.0, 0.76975]","[0.0, 0.63162]","[0.0, 1.02042]","[0.0, 0.89438]","[0.0, 1.1535]"
"[500, 550]","[0.0, 0.18367]","[0.0, 0.18267]","[0.0, 0.23376]","[0.0, 0.24774]","[0.0, 0.20808]","[0.0, 0.07675]","[0.0, 0.32429]","[0.0, 0.72801]","[0.0, 0.67918]","[0.0, 0.97299]","[0.0, 0.92764]","[0.0, 1.33836]"
"[550, 600]","[0.0, 0.17908]","[0.0, 0.161]","[0.0, 0.22337]","[0.0, 0.2286]","[0.0, 0.23041]","[0.0, 0.07324]","[0.0, 0.2843]","[0.0, 0.66427]","[0.0, 0.52995]","[0.0, 0.91453]","[0.0, 1.03419]","[0.0, 1.02578]"
"[600, 650]","[0.0, 0.1644]","[0.0, 0.16086]","[0.0, 0.20991]","[0.0, 0.19377]","[0.0, 0.13177]","[0.0, 0.07931]","[0.0, 0.44914]","[0.0, 0.65204]","[0.0, 0.59053]","[0.0, 0.93294]","[0.0, 1.23294]","[0.0, 1.02217]"
"[650, 700]","[0.0, 0.11789]","[0.0, 0.19084]","[0.0, 0.18988]","[0.0, 0.19706]","[0.0, 0.07868]","[0.0, 0.06381]","[0.0, 0.20292]","[0.0, 0.52357]","[0.0, 0.66818]","[0.0, 1.0736]","[0.0, 1.30401]","[0.0, 0.99406]"
