,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[125, 150]","[0.00093, 0.00101]","[0.00071, 0.00071]","[0.00052, 0.00063]","[0.00059, 0.00101]","[0.00107, 0.00139]","[0.0, 0.00447]","[0.0, 0.00283]","[0.0008, 0.0009]","[0.00045, 0.00053]","[0.00047, 0.00053]","[0.0008, 0.0008]","[0.00102, 0.00106]"
"[150, 175]","[0.0, 0.0179]","[0.0, 0.02339]","[0.0, 0.00397]","[0.0, 0.01565]","[0.0, 0.00475]","[0.00024, 0.00164]","[0.0, 0.0207]","[0.00045, 0.00134]","[0.0, 0.00239]","[0.0, 0.00888]","[0.0, 0.00692]","[0.0, 0.01419]"
"[175, 200]","[0.0, 0.01999]","[0.0, 0.0272]","[0.0, 0.01013]","[0.0, 0.0148]","[0.0, 0.00744]","[0.0, 0.00183]","[0.0, 0.01507]","[0.0, 0.01124]","[0.0, 0.00538]","[0.0, 0.01199]","[0.0, 0.0087]","[0.0, 0.01543]"
"[200, 225]","[0.0, 0.0226]","[0.0, 0.02548]","[0.0, 0.00829]","[0.0, 0.01461]","[0.0, 0.00687]","[9e-05, 0.00168]","[0.0, 0.0141]","[0.0, 0.012]","[0.0, 0.00413]","[0.0, 0.01259]","[0.0, 0.00754]","[0.0, 0.01543]"
"[225, 250]","[0.0, 0.02028]","[0.0, 0.02466]","[0.0, 0.00816]","[0.0, 0.01332]","[0.0, 0.00572]","[3e-05, 0.00172]","[0.0, 0.01329]","[0.0, 0.01107]","[0.0, 0.00273]","[0.0, 0.01249]","[0.0, 0.00892]","[0.0, 0.01903]"
"[250, 275]","[0.0, 0.02059]","[0.0, 0.02341]","[0.0, 0.00848]","[0.0, 0.01358]","[0.0, 0.00646]","[0.0, 0.00209]","[0.0, 0.01359]","[0.0, 0.01136]","[0.0, 0.00266]","[0.0, 0.01412]","[0.0, 0.00209]","[0.0, 0.02114]"
"[275, 300]","[0.0, 0.01904]","[0.0, 0.0233]","[0.0, 0.01064]","[0.0, 0.0131]","[0.0, 0.00479]","[0.0001, 0.00155]","[0.0, 0.01183]","[0.0, 0.01073]","[0.0, 0.00775]","[0.0, 0.01354]","[0.0, 0.00276]","[0.0, 0.02131]"
"[300, 325]","[0.0, 0.01826]","[0.0, 0.02626]","[0.0, 0.00325]","[0.0, 0.01293]","[0.0, 0.00297]","[0.0, 0.00177]","[0.0, 0.01244]","[0.0, 0.01112]","[0.0, 0.01165]","[0.0, 0.01244]","[0.0, 0.00166]","[0.0, 0.02291]"
"[325, 350]","[0.0, 0.01892]","[0.0, 0.02409]","[0.0, 0.00698]","[0.0, 0.0125]","[0.0, 0.00227]","[0.00021, 0.00136]","[0.0, 0.01173]","[0.0, 0.01053]","[0.0, 0.01053]","[0.0, 0.01211]","[0.00051, 0.00098]","[0.0, 0.02339]"
"[350, 375]","[0.0, 0.01722]","[0.0, 0.02553]","[0.0, 0.00746]","[0.0, 0.01213]","[0.0, 0.00247]","[0.00018, 0.00138]","[0.0, 0.01221]","[0.0, 0.01051]","[0.0, 0.01094]","[0.0, 0.01198]","[0.0, 0.01004]","[0.0, 0.02404]"
