,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[0.0, 2.66657]","[0.0, 6.44791]","[0.0, 0.78742]","[0.02927, 0.10765]","[0.01844, 0.08949]","[0.0, 1.04446]","[0.0, 1.14117]","[0.0, 0.60794]","[0.00752, 0.08711]","[0.0, 0.80202]","[0.0, 0.19356]","[0.0, 0.37625]"
"[175, 200]","[0.0, 2.83128]","[0.0, 1.5337]","[0.0, 0.72864]","[0.0, 1.15291]","[0.0, 0.27208]","[0.0, 1.59779]","[0.0, 1.41134]","[0.0, 0.86597]","[0.0, 0.10388]","[0.0, 1.14033]","[0.0, 0.84934]","[0.0, 0.5524]"
"[200, 225]","[0.0, 2.73995]","[0.0, 0.41828]","[0.0, 0.45219]","[0.0, 0.12353]","[0.0, 0.37266]","[0.0, 1.95479]","[0.0, 0.5098]","[0.01532, 0.12317]","[0.0, 0.18139]","[0.0, 0.10332]","[0.0, 0.73815]","[0.0, 0.43056]"
"[225, 250]","[0.0, 2.62436]","[0.0, 0.52908]","[0.0, 0.48665]","[0.0, 0.54883]","[0.0, 0.46758]","[0.0, 2.02281]","[0.0, 1.05617]","[0.00336, 0.10253]","[0.0, 0.17672]","[0.0, 0.12333]","[0.0, 1.08458]","[0.0, 0.38606]"
"[250, 275]","[0.0, 2.46176]","[0.0, 0.36057]","[0.0, 0.90448]","[0.0, 0.22359]","[0.0, 0.11958]","[0.0, 2.17584]","[0.0, 0.51117]","[0.01357, 0.09382]","[0.0, 0.18947]","[0.01314, 0.09147]","[0.0, 0.73704]","[0.0, 0.69666]"
"[275, 300]","[0.0, 2.41966]","[0.0, 0.14334]","[0.0, 0.53602]","[0.0, 0.6354]","[0.00147, 0.10795]","[0.0, 1.70387]","[0.0, 0.68682]","[0.0, 0.11993]","[0.0, 0.13055]","[0.01339, 0.09404]","[0.0, 0.84269]","[0.0, 0.81672]"
"[300, 325]","[0.0, 2.1198]","[0.0, 0.69228]","[0.0, 0.4121]","[0.0, 0.14459]","[0.0, 0.17289]","[0.0, 2.32876]","[0.0, 1.1885]","[0.0, 0.29129]","[0.0, 0.12792]","[0.01448, 0.09546]","[0.0, 1.2155]","[0.0, 0.70186]"
"[325, 350]","[0.0, 1.88918]","[0.0, 0.55009]","[0.0, 0.27475]","[0.01454, 0.10158]","[0.0, 0.30526]","[0.0, 1.52208]","[0.0, 0.58522]","[0.0, 0.44133]","[0.0, 0.1456]","[0.00127, 0.09817]","[0.0, 0.6384]","[0.0, 0.59198]"
"[350, 375]","[0.0, 2.14955]","[0.0, 0.27448]","[0.0, 0.42958]","[0.01157, 0.10523]","[0.0, 1.37379]","[0.0, 1.84013]","[0.0, 0.28915]","[0.0, 0.34103]","[0.0, 0.1593]","[0.01811, 0.09147]","[0.0, 0.43147]","[0.0, 0.72488]"
"[375, 400]","[0.0, 1.89798]","[0.0, 0.14314]","[0.0, 0.44056]","[0.01362, 0.1021]","[0.01014, 0.09872]","[0.0, 2.33947]","[0.0, 0.53845]","[0.0, 0.42112]","[0.0, 0.19777]","[0.01841, 0.09171]","[0.0, 0.81602]","[0.0, 0.70102]"
"[400, 425]","[0.0, 1.48213]","[0.0, 0.35081]","[0.0, 0.55027]","[0.01466, 0.10201]","[0.0124, 0.09655]","[0.0, 1.65867]","[0.0, 1.09957]","[0.0, 0.39488]","[0.0, 0.19245]","[0.00937, 0.1026]","[0.0, 0.13665]","[0.0, 0.6842]"
"[425, 450]","[0.0, 1.50557]","[0.0, 0.19628]","[0.0, 0.50055]","[0.01417, 0.10184]","[0.0088, 0.10042]","[0.0, 1.56472]","[0.0, 0.53573]","[0.0, 0.32031]","[0.0, 0.27455]","[0.00221, 0.10992]","[0.0, 0.30876]","[0.0, 0.51181]"
"[450, 475]","[0.0, 1.85255]","[0.0, 0.26508]","[0.0, 0.3758]","[0.01375, 0.10217]","[0.01294, 0.09662]","[0.0, 1.8284]","[0.0, 1.07925]","[0.0, 0.83804]","[0.0, 0.22791]","[0.0, 0.16872]","[0.0, 0.28967]","[0.0, 1.74988]"
"[475, 500]","[0.0, 2.02545]","[0.0, 0.36625]","[0.0, 0.85607]","[0.0, 0.13986]","[0.01273, 0.09694]","[0.0, 2.27021]","[0.0, 0.72887]","[0.0, 1.17454]","[0.0, 0.22562]","[0.01287, 0.09847]","[0.0, 0.15683]","[0.0, 0.64412]"
"[500, 550]","[0.0, 1.88601]","[0.0, 0.67906]","[0.0, 1.33434]","[0.01529, 0.10187]","[0.00992, 0.10075]","[0.0, 1.96897]","[0.0, 0.52886]","[0.0, 0.75983]","[0.0, 0.19786]","[0.00963, 0.10264]","[0.0, 0.30877]","[0.0, 1.50611]"
"[550, 600]","[0.0, 2.14099]","[0.0, 0.61037]","[0.0, 0.65821]","[0.0, 0.11887]","[0.01456, 0.0966]","[0.0, 1.59583]","[0.0, 0.27982]","[0.0, 1.19293]","[0.0, 0.18756]","[0.01616, 0.09649]","[0.0, 0.51431]","[0.0, 1.10265]"
"[600, 650]","[0.0, 2.37209]","[0.0, 0.19589]","[0.0, 1.82367]","[0.0, 0.37637]","[0.01452, 0.09719]","[0.0, 1.97909]","[0.0, 0.21721]","[0.0, 0.89804]","[0.0, 0.17094]","[0.01034, 0.10242]","[0.0, 0.2434]","[0.0, 1.0232]"
"[650, 700]","[0.0, 2.0076]","[0.0, 0.3822]","[0.0, 1.56955]","[0.0, 0.32383]","[0.01424, 0.09747]","[0.0, 1.64337]","[0.0, 0.57569]","[0.0, 0.46119]","[0.0, 0.13773]","[0.0, 0.12971]","[0.0, 0.27427]","[0.0, 0.71657]"
"[700, 750]","[0.0, 2.20433]","[0.0, 0.92073]","[0.0, 0.62098]","[0.0, 0.14105]","[0.01388, 0.09772]","[0.0, 1.98846]","[0.0, 0.29056]","[0.0, 0.8847]","[0.0, 0.19509]","[0.0, 0.16147]","[0.0, 0.25841]","[0.0, 0.73853]"
"[750, 800]","[0.0, 2.19106]","[0.0, 0.39916]","[0.0, 0.72628]","[0.0, 0.24837]","[0.0, 0.13603]","[0.0, 1.90448]","[0.0, 0.27792]","[0.0, 1.14331]","[0.0, 0.2064]","[0.01075, 0.1147]","[0.0, 0.50664]","[0.0, 0.91557]"
"[800, 850]","[0.0, 2.21084]","[0.0, 0.45198]","[0.0, 0.2506]","[0.0, 0.37651]","[0.0, 0.27398]","[0.0, 2.03707]","[0.0, 1.0806]","[0.0, 0.17412]","[0.0, 0.14177]","[0.01904, 0.13225]","[0.0, 0.70749]","[0.0, 0.51591]"
"[850, 900]","[0.0, 1.9898]","[0.0, 0.98294]","[0.0, 0.49692]","[0.0, 0.76094]","[0.01204, 0.09301]","[0.0, 1.47343]","[0.0, 0.13387]","[0.01332, 0.09869]","[0.0, 0.13804]","[0.0, 0.35864]","[0.0, 1.07729]","[0.0, 0.53423]"
