,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[0.0, 0.03034]","[0.0, 0.03153]","[0.0, 0.00998]","[0.0, 0.00385]","[0.0, 0.00238]","[0.0, 0.02026]","[0.0, 0.02358]","[0.0, 0.01533]","[3e-05, 0.00165]","[0.0, 0.01672]","[0.0, 0.00309]","[0.0, 0.01468]"
"[175, 200]","[0.0, 0.02501]","[0.0, 0.02027]","[0.0, 0.01041]","[0.0, 0.01669]","[0.0, 0.01358]","[0.0, 0.02516]","[0.0, 0.02787]","[0.0, 0.01629]","[0.0, 0.00978]","[0.0, 0.01053]","[0.0, 0.01193]","[0.0, 0.01382]"
"[200, 225]","[0.0, 0.0203]","[0.0, 0.01863]","[0.0, 0.0095]","[0.0, 0.00691]","[0.0, 0.01212]","[0.0, 0.02551]","[0.0, 0.0228]","[0.0, 0.00327]","[0.0, 0.01469]","[0.0, 0.00601]","[0.0, 0.00975]","[0.0, 0.00802]"
"[225, 250]","[0.0, 0.02118]","[0.0, 0.01604]","[0.0, 0.01147]","[0.0, 0.00951]","[0.0, 0.01509]","[0.0, 0.02314]","[0.0, 0.02641]","[6e-05, 0.00162]","[0.0, 0.01656]","[0.0, 0.00724]","[0.0, 0.01052]","[0.0, 0.0083]"
"[250, 275]","[0.0, 0.02161]","[0.0, 0.0159]","[0.0, 0.01092]","[0.0, 0.00585]","[0.0, 0.01127]","[0.0, 0.02459]","[0.0, 0.01938]","[0.00062, 0.00217]","[0.0, 0.01781]","[0.0, 0.00424]","[0.0, 0.00951]","[0.0, 0.0102]"
"[275, 300]","[0.0, 0.01896]","[0.0, 0.01512]","[0.0, 0.00946]","[0.0, 0.01133]","[0.0, 0.00805]","[0.0, 0.02626]","[0.0, 0.01916]","[0.0, 0.00573]","[0.0, 0.01629]","[0.0, 0.00449]","[0.0, 0.01191]","[0.0, 0.01087]"
"[300, 325]","[0.0, 0.01887]","[0.0, 0.01616]","[0.0, 0.00851]","[0.00031, 0.00148]","[0.0, 0.01041]","[0.0, 0.02333]","[0.0, 0.02364]","[0.0, 0.01023]","[0.0, 0.0151]","[0.0, 0.00684]","[0.0, 0.01175]","[0.0, 0.01053]"
"[325, 350]","[0.0, 0.01902]","[0.0, 0.01223]","[0.0, 0.00798]","[0.0, 0.00189]","[0.0, 0.01081]","[0.0, 0.02127]","[0.0, 0.01999]","[0.0, 0.01229]","[0.0, 0.01702]","[0.0, 0.00238]","[0.0, 0.01152]","[0.0, 0.00888]"
"[350, 375]","[0.0, 0.01758]","[0.0, 0.0113]","[0.0, 0.00799]","[0.00028, 0.00136]","[0.0, 0.01139]","[0.0, 0.0215]","[0.0, 0.02118]","[0.0, 0.01207]","[0.0, 0.01697]","[0.0, 0.00262]","[0.0, 0.01088]","[0.0, 0.01056]"
"[375, 400]","[0.0, 0.01775]","[0.0, 0.0121]","[0.0, 0.00923]","[0.00034, 0.00122]","[0.0, 0.00507]","[0.0, 0.02403]","[0.0, 0.02362]","[0.0, 0.01303]","[0.0, 0.01729]","[0.0, 0.00648]","[0.0, 0.01072]","[0.0, 0.01031]"
"[400, 425]","[0.0, 0.01689]","[0.0, 0.01459]","[0.0, 0.01279]","[0.00067, 0.00146]","[0.00066, 0.00193]","[0.0, 0.02384]","[0.0, 0.02082]","[0.0, 0.01147]","[0.0, 0.01771]","[0.0, 0.00685]","[0.0, 0.00698]","[0.0, 0.00967]"
"[425, 450]","[0.0, 0.01693]","[0.0, 0.01567]","[0.0, 0.01446]","[0.00051, 0.00166]","[0.0, 0.00305]","[0.0, 0.01902]","[0.0, 0.02102]","[0.0, 0.01196]","[0.0, 0.01774]","[0.0, 0.00666]","[0.0, 0.00957]","[0.0, 0.01056]"
"[450, 475]","[0.0, 0.01591]","[0.0, 0.01463]","[0.0, 0.01265]","[0.00037, 0.00128]","[0.00014, 0.00194]","[0.0, 0.01761]","[0.0, 0.02109]","[0.0, 0.0126]","[0.0, 0.01797]","[0.0, 0.00959]","[0.0, 0.00642]","[0.0, 0.01333]"
"[475, 500]","[0.0, 0.01951]","[0.0, 0.01477]","[0.0, 0.01137]","[0.00034, 0.00141]","[0.0, 0.00298]","[0.0, 0.01892]","[0.0, 0.01543]","[0.0, 0.01241]","[0.0, 0.01732]","[0.0, 0.0102]","[0.0, 0.00493]","[0.0, 0.01403]"
"[500, 550]","[0.0, 0.01931]","[0.0, 0.01684]","[0.0, 0.01464]","[0.00012, 0.00168]","[0.0, 0.00442]","[0.0, 0.01997]","[0.0, 0.0161]","[0.0, 0.01239]","[0.0, 0.01698]","[0.0, 0.01037]","[0.0, 0.00495]","[0.0, 0.01702]"
"[550, 600]","[0.0, 0.01521]","[0.0, 0.01394]","[0.0, 0.01143]","[2e-05, 0.00155]","[0.00028, 0.00189]","[0.0, 0.02058]","[0.0, 0.01848]","[0.0, 0.01396]","[0.0, 0.01553]","[0.0, 0.01013]","[0.0, 0.00541]","[0.0, 0.02042]"
