,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[125, 150]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0073, 0.02919]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]","[0.0, 30.0]"
"[150, 175]","[0.0, 0.52925]","[0.0, 0.28742]","[0.0, 0.4172]","[0.0, 0.32355]","[0.0, 0.19341]","[0.0, 0.12218]","[0.07307, 0.15062]","[0.0, 0.88632]","[0.07699, 0.78743]","[0.13406, 0.73029]","[0.06888, 0.53816]","[0.09079, 0.22703]"
"[175, 200]","[0.0, 0.31439]","[0.0, 0.27699]","[0.0, 0.31765]","[0.0, 0.18776]","[0.0, 0.1668]","[0.0, 0.48077]","[0.0, 0.55]","[0.0, 0.66209]","[0.0, 0.64587]","[0.0, 0.62696]","[0.0, 0.52405]","[0.0, 0.41433]"
"[200, 225]","[0.0, 0.21473]","[0.0, 0.17574]","[0.0, 0.21111]","[0.0, 0.10919]","[0.0, 0.10411]","[0.0, 0.25945]","[0.0, 0.45648]","[0.0, 0.51471]","[0.0, 0.53933]","[0.0, 0.41841]","[0.0, 0.34096]","[0.0, 0.20534]"
"[225, 250]","[0.0, 0.16418]","[0.0, 0.13574]","[0.0, 0.15478]","[0.0, 0.07991]","[0.0, 0.07573]","[0.0, 0.13865]","[0.0, 0.41268]","[0.0, 0.48676]","[0.0, 0.49275]","[0.0, 0.27977]","[0.0, 0.19442]","[0.0, 0.11832]"
"[250, 275]","[0.0, 0.13994]","[0.0, 0.11907]","[0.0, 0.13648]","[0.0, 0.06885]","[0.0, 0.29454]","[0.0021, 0.1119]","[0.0, 0.35617]","[0.0, 0.47037]","[0.0, 0.45108]","[0.0, 0.21121]","[0.0, 0.12061]","[0.0, 0.10509]"
"[275, 300]","[0.0, 0.12265]","[0.0, 0.10745]","[0.0, 0.10845]","[0.0, 0.06055]","[0.0, 0.05795]","[0.0, 0.09784]","[0.0, 0.28015]","[0.0, 0.44485]","[0.0, 0.42462]","[0.0, 0.19079]","[0.0, 0.08928]","[0.0, 0.09502]"
"[300, 325]","[0.0, 0.10564]","[0.0, 0.0998]","[0.0, 0.10421]","[0.0, 0.06059]","[0.0, 0.05415]","[0.0, 0.08932]","[0.0, 0.19006]","[0.0, 0.4077]","[0.0, 0.39472]","[0.0, 0.15154]","[0.0, 0.08935]","[0.0, 0.10099]"
"[325, 350]","[0.0, 0.11223]","[0.0, 0.09556]","[0.0, 0.11352]","[0.0, 0.06409]","[0.0, 0.04999]","[0.0, 0.07092]","[0.01894, 0.10828]","[0.0, 0.37495]","[0.0, 0.3758]","[0.0, 0.15721]","[0.0, 0.08639]","[0.0, 0.0893]"
"[350, 375]","[0.0, 0.10588]","[0.0, 0.11635]","[0.0, 0.09952]","[0.0, 0.06472]","[0.0, 0.04858]","[0.0, 0.06831]","[0.01293, 0.0979]","[0.0, 0.33861]","[0.0, 0.34866]","[0.0, 0.14724]","[0.0, 0.08345]","[0.0, 0.38806]"
