,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[150, 175]","[0.0, 0.00234]","[0.00083, 0.00144]","[0.0, 0.00531]","[0.0008, 0.00119]","[0.00059, 0.00095]","[0.00047, 0.00076]","[0.00058, 0.00071]","[0.00055, 0.00104]","[0.00063, 0.00124]","[0.00072, 0.00123]","[0.00022, 0.00165]","[0.00047, 0.0014]"
"[175, 200]","[0.0, 0.00243]","[0.0, 0.00629]","[0.0, 0.01003]","[0.0, 0.00434]","[0.0005, 0.00105]","[0.00042, 0.00084]","[0.00044, 0.00091]","[0.00019, 0.00144]","[0.0, 0.00554]","[0.00034, 0.00139]","[0.00031, 0.00129]","[0.0001, 0.00157]"
"[200, 225]","[0.00017, 0.00175]","[0.0, 0.00804]","[0.0, 0.00913]","[0.0, 0.00329]","[0.00057, 0.00091]","[0.00043, 0.0008]","[9e-05, 0.00122]","[0.00062, 0.0009]","[0.00049, 0.00111]","[0.00033, 0.00118]","[0.00026, 0.00116]","[0.00041, 0.00114]"
"[225, 250]","[0.0, 0.00191]","[0.0, 0.00431]","[0.0, 0.00537]","[0.0, 0.00277]","[0.00048, 0.00094]","[0.00048, 0.00079]","[0.00011, 0.00124]","[0.0005, 0.00098]","[0.0, 0.0019]","[0.00038, 0.00103]","[0.00032, 0.00103]","[0.00038, 0.00108]"
"[250, 275]","[0.00014, 0.00154]","[0.0, 0.00457]","[0.0, 0.00445]","[0.0, 0.00346]","[0.0, 0.00407]","[0.0005, 0.00078]","[9e-05, 0.00127]","[0.00059, 0.00089]","[0.0, 0.00584]","[0.00024, 0.00115]","[0.00035, 0.00096]","[0.00041, 0.001]"
"[275, 300]","[0.0, 0.00233]","[0.0, 0.00341]","[0.0, 0.00404]","[0.0, 0.00472]","[0.00016, 0.00125]","[0.0005, 0.00077]","[0.00031, 0.00101]","[0.00046, 0.00097]","[0.0, 0.00304]","[0.00037, 0.001]","[0.00054, 0.00076]","[0.00034, 0.00103]"
"[300, 325]","[0.0, 0.00167]","[0.0, 0.00346]","[0.0, 0.00428]","[0.0, 0.00648]","[0.00063, 0.00081]","[0.00057, 0.0007]","[0.00052, 0.00076]","[0.00054, 0.00084]","[0.00054, 0.00087]","[0.0004, 0.00095]","[0.00046, 0.00082]","[0.00045, 0.00089]"
"[325, 350]","[0.00022, 0.00136]","[0.0, 0.00795]","[0.0, 0.00385]","[0.0, 0.00661]","[0.00061, 0.00082]","[0.00053, 0.00071]","[0.00045, 0.00079]","[0.00054, 0.00082]","[0.00053, 0.00087]","[0.00049, 0.00084]","[0.00048, 0.00077]","[0.00056, 0.00077]"
"[350, 375]","[0.00022, 0.00148]","[0.0, 0.013]","[0.0, 0.00436]","[0.0, 0.00662]","[0.00061, 0.00077]","[0.0005, 0.00069]","[0.00056, 0.00068]","[0.00054, 0.00084]","[0.00051, 0.00089]","[0.00038, 0.00091]","[0.00049, 0.00072]","[0.00048, 0.00088]"
"[375, 400]","[0.00028, 0.00137]","[0.0, 0.01179]","[0.0, 0.00499]","[0.0, 0.00677]","[0.0, 0.00321]","[0.00052, 0.00068]","[0.00055, 0.00068]","[0.00054, 0.00083]","[7e-05, 0.00133]","[0.00036, 0.00094]","[0.00037, 0.00084]","[0.00055, 0.00078]"
