,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00097, 0.00233]","[0.00124, 0.00300]","[0.00002, 0.00333]","[0.00000, 0.00471]","[0.00000, 0.00869]","[0.00000, 0.00975]","[0.00000, 0.01779]","[0.00000, 0.01679]","[0.00425, 0.00514]","[0.00000, 0.01888]","[0.00030, 0.00197]","[0.00000, 0.00212]"
"[7, 8]","[0.00012, 0.00287]","[0.00116, 0.00287]","[0.00029, 0.00316]","[0.00000, 0.00425]","[0.00000, 0.00897]","[0.00000, 0.00922]","[0.00000, 0.01676]","[0.00000, 0.01878]","[0.00000, 0.02989]","[0.00000, 0.01514]","[0.00028, 0.00252]","[0.00000, 0.00200]"
"[8, 9]","[0.00000, 0.00319]","[0.00085, 0.00258]","[0.00002, 0.00306]","[0.00000, 0.00319]","[0.00000, 0.00745]","[0.00000, 0.00836]","[0.00000, 0.01824]","[0.00000, 0.01709]","[0.00000, 0.03148]","[0.00000, 0.01046]","[0.00053, 0.00279]","[0.00023, 0.00233]"
"[9, 10]","[0.00000, 0.00482]","[0.00083, 0.00255]","[0.00001, 0.00301]","[0.00000, 0.00321]","[0.00000, 0.00883]","[0.00000, 0.00828]","[0.00000, 0.02210]","[0.00000, 0.01528]","[0.00000, 0.03146]","[0.00000, 0.00749]","[0.00078, 0.00254]","[0.00036, 0.00228]"
"[10, 11]","[0.00000, 0.00823]","[0.00085, 0.00258]","[0.00002, 0.00296]","[0.00000, 0.00302]","[0.00000, 0.00762]","[0.00000, 0.01050]","[0.00000, 0.01769]","[0.00000, 0.01445]","[0.00000, 0.02873]","[0.00000, 0.00643]","[0.00048, 0.00267]","[0.00032, 0.00236]"
"[11, 12]","[0.00000, 0.00578]","[0.00087, 0.00272]","[0.00001, 0.00303]","[0.00000, 0.00335]","[0.00000, 0.00991]","[0.00000, 0.01343]","[0.00000, 0.01846]","[0.00000, 0.01604]","[0.00000, 0.02190]","[0.00000, 0.00612]","[0.00047, 0.00238]","[0.00012, 0.00226]"
"[12, 13]","[0.00000, 0.00582]","[0.00097, 0.00307]","[0.00028, 0.00319]","[0.00000, 0.00547]","[0.00000, 0.00846]","[0.00000, 0.00711]","[0.00000, 0.01579]","[0.00000, 0.01237]","[0.00000, 0.02504]","[0.00000, 0.00529]","[0.00084, 0.00262]","[0.00057, 0.00275]"
"[13, 14]","[0.00073, 0.00259]","[0.00093, 0.00294]","[0.00000, 0.00357]","[0.00000, 0.00528]","[0.00000, 0.00674]","[0.00000, 0.00815]","[0.00000, 0.01288]","[0.00000, 0.01288]","[0.00000, 0.02729]","[0.00000, 0.00701]","[0.00068, 0.00261]","[0.00000, 0.00281]"
"[14, 15]","[0.00000, 0.00349]","[0.00098, 0.00288]","[0.00000, 0.00508]","[0.00000, 0.00381]","[0.00000, 0.00734]","[0.00000, 0.00899]","[0.00000, 0.01433]","[0.00000, 0.01165]","[0.00000, 0.02031]","[0.00000, 0.00677]","[0.00057, 0.00268]","[0.00002, 0.00275]"
"[15, 16]","[0.00000, 0.00521]","[0.00064, 0.00322]","[0.00000, 0.00577]","[0.00000, 0.00395]","[0.00000, 0.00855]","[0.00000, 0.00706]","[0.00000, 0.01765]","[0.00000, 0.01083]","[0.00000, 0.02050]","[0.00000, 0.01164]","[0.00000, 0.00366]","[0.00009, 0.00264]"
"[16, 17]","[0.00000, 0.00528]","[0.00070, 0.00310]","[0.00000, 0.00732]","[0.00000, 0.00440]","[0.00000, 0.00862]","[0.00000, 0.00888]","[0.00000, 0.01340]","[0.00000, 0.01289]","[0.00000, 0.01476]","[0.00000, 0.01423]","[0.00000, 0.00321]","[0.00000, 0.00276]"
"[17, 18]","[0.00000, 0.00570]","[0.00102, 0.00301]","[0.00000, 0.00729]","[0.00000, 0.00368]","[0.00000, 0.00825]","[0.00000, 0.00535]","[0.00000, 0.01168]","[0.00000, 0.01360]","[0.00000, 0.00975]","[0.00000, 0.01392]","[0.00040, 0.00244]","[0.00000, 0.00274]"
"[18, 19]","[0.00000, 0.00482]","[0.00079, 0.00287]","[0.00000, 0.00758]","[0.00000, 0.00505]","[0.00000, 0.00915]","[0.00000, 0.01127]","[0.00000, 0.01198]","[0.00000, 0.01190]","[0.00000, 0.00915]","[0.00000, 0.01239]","[0.00045, 0.00255]","[0.00000, 0.00384]"
"[19, 20]","[0.00000, 0.00460]","[0.00073, 0.00292]","[0.00000, 0.00775]","[0.00000, 0.00414]","[0.00000, 0.01035]","[0.00000, 0.00645]","[0.00000, 0.01117]","[0.00000, 0.01177]","[0.00000, 0.00940]","[0.00000, 0.01292]","[0.00006, 0.00299]","[0.00000, 0.00633]"
"[20, 21]","[0.00000, 0.00439]","[0.00086, 0.00273]","[0.00000, 0.00715]","[0.00000, 0.00440]","[0.00000, 0.01106]","[0.00000, 0.00724]","[0.00000, 0.01204]","[0.00000, 0.01077]","[0.00000, 0.00828]","[0.00000, 0.01304]","[0.00035, 0.00272]","[0.00000, 0.00599]"
"[21, 22]","[0.00000, 0.00413]","[0.00082, 0.00274]","[0.00000, 0.00741]","[0.00000, 0.00435]","[0.00000, 0.01277]","[0.00000, 0.00971]","[0.00000, 0.01299]","[0.00000, 0.01105]","[0.00000, 0.00869]","[0.00000, 0.01277]","[0.00040, 0.00256]","[0.00000, 0.00538]"
"[22, 23]","[0.00000, 0.00429]","[0.00074, 0.00264]","[0.00000, 0.00657]","[0.00000, 0.00386]","[0.00000, 0.01194]","[0.00000, 0.01111]","[0.00000, 0.01127]","[0.00000, 0.01089]","[0.00000, 0.00836]","[0.00000, 0.01510]","[0.00035, 0.00255]","[0.00000, 0.00545]"
"[23, 24]","[0.00000, 0.00603]","[0.00068, 0.00276]","[0.00000, 0.00740]","[0.00000, 0.00409]","[0.00000, 0.00984]","[0.00000, 0.00977]","[0.00000, 0.01124]","[0.00000, 0.01104]","[0.00000, 0.00857]","[0.00000, 0.01518]","[0.00029, 0.00260]","[0.00000, 0.00541]"
"[24, 25]","[0.00000, 0.00610]","[0.00072, 0.00280]","[0.00000, 0.00706]","[0.00000, 0.00356]","[0.00000, 0.00825]","[0.00000, 0.00877]","[0.00000, 0.01242]","[0.00000, 0.01201]","[0.00000, 0.00880]","[0.00000, 0.01291]","[0.00000, 0.00304]","[0.00000, 0.00623]"
"[25, 26]","[0.00000, 0.00536]","[0.00068, 0.00273]","[0.00000, 0.00367]","[0.00000, 0.00335]","[0.00000, 0.00744]","[0.00000, 0.00649]","[0.00000, 0.01451]","[0.00000, 0.01180]","[0.00000, 0.00836]","[0.00000, 0.01090]","[0.00002, 0.00280]","[0.00000, 0.00495]"
"[26, 27]","[0.00000, 0.00620]","[0.00064, 0.00286]","[0.00000, 0.00679]","[0.00000, 0.00395]","[0.00000, 0.00840]","[0.00000, 0.00735]","[0.00000, 0.01117]","[0.00000, 0.01264]","[0.00000, 0.00738]","[0.00000, 0.01134]","[0.00000, 0.00310]","[0.00000, 0.00478]"
"[27, 28]","[0.00000, 0.00572]","[0.00068, 0.00260]","[0.00000, 0.00595]","[0.00000, 0.00417]","[0.00000, 0.00951]","[0.00000, 0.00858]","[0.00000, 0.01074]","[0.00000, 0.01310]","[0.00000, 0.00839]","[0.00000, 0.01195]","[0.00018, 0.00265]","[0.00000, 0.00473]"
"[28, 29]","[0.00000, 0.00658]","[0.00057, 0.00274]","[0.00000, 0.00647]","[0.00000, 0.00410]","[0.00000, 0.00950]","[0.00000, 0.00766]","[0.00000, 0.01191]","[0.00000, 0.01216]","[0.00000, 0.00680]","[0.00000, 0.01119]","[0.00041, 0.00238]","[0.00000, 0.00409]"
"[29, 30]","[0.00000, 0.00554]","[0.00064, 0.00265]","[0.00000, 0.00661]","[0.00000, 0.00535]","[0.00000, 0.00971]","[0.00000, 0.00775]","[0.00000, 0.00966]","[0.00000, 0.01167]","[0.00000, 0.00517]","[0.00000, 0.01064]","[0.00044, 0.00239]","[0.00000, 0.00782]"
"[30, 31]","[0.00000, 0.00578]","[0.00064, 0.00269]","[0.00000, 0.00642]","[0.00000, 0.00531]","[0.00000, 0.00970]","[0.00000, 0.00783]","[0.00000, 0.01072]","[0.00000, 0.01159]","[0.00000, 0.00567]","[0.00000, 0.01009]","[0.00035, 0.00235]","[0.00000, 0.00312]"
"[31, 32]","[0.00000, 0.00591]","[0.00056, 0.00274]","[0.00000, 0.00678]","[0.00000, 0.00487]","[0.00000, 0.00869]","[0.00000, 0.00752]","[0.00000, 0.01168]","[0.00000, 0.01133]","[0.00000, 0.00893]","[0.00000, 0.01077]","[0.00000, 0.00278]","[0.00000, 0.00365]"
"[32, 33]","[0.00000, 0.00520]","[0.00056, 0.00271]","[0.00000, 0.00663]","[0.00000, 0.00486]","[0.00000, 0.00946]","[0.00000, 0.00715]","[0.00000, 0.01107]","[0.00000, 0.01054]","[0.00000, 0.00695]","[0.00000, 0.01098]","[0.00030, 0.00246]","[0.00000, 0.00433]"
